John	PERSON
J.	PERSON
Christmann	PERSON
IV	O
,	O
Stephen	PERSON
J.	PERSON
Riney	PERSON
,	O
Margery	PERSON
M.	PERSON
Harris	PERSON
,	O
P.	PERSON
Anthony	PERSON
Lannie	PERSON
,	O
W.	PERSON
Kregg	PERSON
Olson	PERSON
,	O
Timothy	PERSON
J.	PERSON
Sullivan	PERSON
,	O
Timothy	PERSON
R.	PERSON
Custer	PERSON
,	O
Rebecca	PERSON
A.	PERSON
Hoyt	PERSON
,	O
James	PERSON
L.	PERSON
House	PERSON
,	O
Steven	PERSON
J.	PERSON
Keenan	PERSON
,	O
Faron	PERSON
J.	PERSON
Thibodeaux	PERSON
,	O
Grady	PERSON
L.	PERSON
Ables	PERSON
,	O
David	PERSON
Chi	PERSON
,	O
Gary	PERSON
T.	PERSON
Clark	PERSON
,	O
Castlen	O
M.	O
Kennedy	O
,	O
Cory	PERSON
L.	PERSON
Loegering	PERSON
,	O
Rajesh	PERSON
Sharma	PERSON
,	O
John	PERSON
J.	PERSON
Christmann	PERSON
IV	O
,	O
Stephen	PERSON
J.	PERSON
Riney	PERSON
,	O
Margery	PERSON
M.	PERSON
Harris	PERSON
,	O
P.	PERSON
Anthony	PERSON
Lannie	PERSON
,	O
W.	PERSON
Kregg	PERSON
Olson	PERSON
,	O
Timothy	PERSON
J.	PERSON
Sullivan	PERSON
,	O
Timothy	PERSON
R.	PERSON
Custer	PERSON
,	O
Rebecca	PERSON
A.	PERSON
Hoyt	PERSON
,	O
James	PERSON
L.	PERSON
House	PERSON
,	O
Steven	PERSON
J.	PERSON
Keenan	PERSON
,	O
Faron	PERSON
J.	PERSON
Thibodeaux	PERSON
,	O
Grady	PERSON
L.	PERSON
Ables	PERSON
,	O
David	PERSON
Chi	PERSON
,	O
Gary	PERSON
T.	PERSON
Clark	PERSON
,	O
Castlen	O
M.	O
Kennedy	O
,	O
Cory	PERSON
L.	PERSON
Loegering	PERSON
,	O
Rajesh	PERSON
Sharma	PERSON
,	O
John	PERSON
J.	PERSON
Christmann	PERSON
IV	O
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
and	O
President	TITLE
Stephen	PERSON
J.	PERSON
Riney	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
Margery	PERSON
M.	PERSON
Harris	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Human	DEPARTMENT
Resources	DEPARTMENT
P.	PERSON
Anthony	PERSON
Lannie	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
General	TITLE
Counsel	TITLE
W.	PERSON
Kregg	PERSON
Olson	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Corporate	DEPARTMENT
Reservoir	DEPARTMENT
Engineering	DEPARTMENT
Timothy	PERSON
J.	PERSON
Sullivan	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Operations	DEPARTMENT
Support	DEPARTMENT
Timothy	PERSON
R.	PERSON
Custer	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
North	O
America	O
Land	O
,	O
Government	O
Affairs	O
and	O
Real	O
Estate	O
Rebecca	PERSON
A.	PERSON
Hoyt	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
and	O
Controller	TITLE
James	PERSON
L.	PERSON
House	PERSON
,	O
Senior	TITLE
Region	TITLE
Vice	TITLE
President	TITLE
--	O
Egypt	O
,	O
Mid-Continent	O
,	O
Gulf	O
Coast	O
,	O
Gulf	O
of	O
Mexico	O
and	O
International	O
New	O
Ventures	O
Steven	PERSON
J.	PERSON
Keenan	PERSON
,	O
Senior	TITLE
Region	TITLE
Vice	TITLE
President	TITLE
--	O
Delaware	O
Basin	O
Region	O
Faron	PERSON
J.	PERSON
Thibodeaux	PERSON
,	O
Senior	TITLE
Region	TITLE
Vice	TITLE
President	TITLE
--	O
Permian	O
Region	O
Grady	PERSON
L.	PERSON
Ables	PERSON
,	O
Senior	TITLE
Region	TITLE
Vice	TITLE
President	TITLE
--	O
North	O
Sea	O
and	O
Canada	O
David	PERSON
Chi	PERSON
,	O
Region	TITLE
Vice	TITLE
President	TITLE
--	O
Egypt	O
Region	O
and	O
General	TITLE
Manager	TITLE
,	O
Apache	O
Egypt	O
Gary	PERSON
T.	PERSON
Clark	PERSON
,	O
Vice	TITLE
President	TITLE
--	O
Investor	O
Relations	O
Cory	PERSON
L.	PERSON
Loegering	PERSON
,	O
Region	TITLE
Vice	TITLE
President	TITLE
--	O
UK	O
Region	O
and	O
Managing	O
Director	TITLE
,	O
Apache	O
North	O
Sea	O
Rajesh	PERSON
Sharma	PERSON
,	O
Corporate	TITLE
Secretary	TITLE
and	TITLE
Assistant	TITLE
General	TITLE
Counsel	TITLE
--	O
Governance	O
Follow	O
Apache	O
Alerts	O
,	O
Newsfeeds	O
,	O
Media	O
&	O
Investor	O
Center	O
Mobile	O
App	O
,	O
www.apachecorp.com/About_Apache/Management/index.aspx	O
