Coreworx	O
Americas	O
,	O
Coreworx	O
EMEA	O
,	O
Coreworx	O
Asia	O
,	O
Projects	O
OnLine	O
-LRB-	O
Legacy	O
-RRB-	O
,	O
Knowledge	O
OnLine	O
,	O
Citrix	O
,	O
Supplier/Contractor	O
,	O
Remote	O
Connection	O
Manager	O
,	O
Brasil	O
,	O
España	O
,	O
CEO	TITLE
Corporate	O
Executives	O
,	O
Operating	O
Executives	O
,	O
Corporate	O
Officers	O
,	O
David	O
Seaton	O
serves	O
as	O
the	O
chairman	O
and	O
chief	O
executive	O
officer	O
of	O
Fluor	O
Corporation	O
,	O
one	O
of	O
the	O
world	O
's	O
leading	O
and	O
largest	O
engineering	O
,	O
procurement	O
,	O
construction	O
and	O
maintenance	O
services	O
companies	O
.	O
He	O
became	O
CEO	TITLE
and	O
joined	O
Fluor	O
's	O
board	O
of	O
directors	O
in	O
February	O
2011	O
,	O
and	O
was	O
elected	O
to	O
the	O
role	O
of	O
chairman	O
of	O
the	O
board	O
in	O
February	O
2012.	O
,	O
Read	O
the	O
full	O
biography	O
,	O
Ray	PERSON
F.	PERSON
Barnard	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Systems	DEPARTMENT
&	DEPARTMENT
Supply	DEPARTMENT
Chain	DEPARTMENT
View	O
bio	O
,	O
Jose	PERSON
Bustamante	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
Business	DEPARTMENT
Development	DEPARTMENT
&	DEPARTMENT
Strategy	DEPARTMENT
View	O
bio	O
,	O
Garry	PERSON
W.	PERSON
Flowers	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Project	DEPARTMENT
Support	DEPARTMENT
Services	DEPARTMENT
View	O
bio	O
,	O
Carlos	PERSON
M.	PERSON
Hernandez	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Legal	TITLE
Officer	TITLE
and	O
Secretary	TITLE
View	O
bio	O
,	O
Mark	PERSON
Landry	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
View	O
bio	O
,	O
Peter	PERSON
Oosterveer	PERSON
Chief	TITLE
Operating	TITLE
Officer	TITLE
View	O
bio	O
,	O
Biggs	PERSON
C.	PERSON
Porter	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
View	O
bio	O
,	O
Bruce	PERSON
A.	PERSON
Stanski	PERSON
President	TITLE
,	O
Fluor	DEPARTMENT
Government	DEPARTMENT
Group	DEPARTMENT
View	O
bio	O
,	O
Arnold	PERSON
Steenbakker	PERSON
CEO	TITLE
,	O
Stork	DEPARTMENT
View	O
bio	O
,	O
Jim	PERSON
Brittain	PERSON
President	TITLE
,	O
Energy	DEPARTMENT
&	DEPARTMENT
Chemicals	DEPARTMENT
--	O
Americas	O
View	O
bio	O
,	O
Ken	PERSON
R.	PERSON
Choudhary	PERSON
,	O
Ph.D.	O
.	O
President	TITLE
,	O
Energy	DEPARTMENT
&	DEPARTMENT
Chemicals	DEPARTMENT
-	O
Asia	O
Pacific	O
View	O
bio	O
,	O
Tracey	PERSON
Cook	PERSON
President	TITLE
,	O
AMECO	DEPARTMENT
View	O
bio	O
,	O
Hans	PERSON
Dekker	PERSON
President	TITLE
,	O
Infrastructure	DEPARTMENT
View	O
bio	O
,	O
Juan	PERSON
G.	PERSON
Hernández	PERSON
President	TITLE
,	O
Life	DEPARTMENT
Sciences	DEPARTMENT
&	DEPARTMENT
Advanced	DEPARTMENT
Manufacturing	DEPARTMENT
View	O
bio	O
,	O
Rick	PERSON
Koumouris	PERSON
President	TITLE
,	O
Mining	DEPARTMENT
&	DEPARTMENT
Metals	DEPARTMENT
View	O
bio	O
,	O
Jason	PERSON
Kraynek	PERSON
Vice	TITLE
President	TITLE
,	O
Business	DEPARTMENT
Transformation	DEPARTMENT
&	DEPARTMENT
Innovation	DEPARTMENT
View	O
bio	O
,	O
Matthew	PERSON
McSorley	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
of	O
Execution	DEPARTMENT
&	DEPARTMENT
Resources	DEPARTMENT
View	O
bio	O
,	O
Angus	PERSON
Murray	PERSON
Quality	O
&	O
CPI	O
Lead	O
View	O
bio	O
,	O
Jack	PERSON
Penley	PERSON
President	TITLE
,	O
Construction	DEPARTMENT
&	DEPARTMENT
Fabrication	DEPARTMENT
View	O
bio	O
,	O
David	PERSON
Pereira	PERSON
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Commercial	DEPARTMENT
Operations	DEPARTMENT
View	O
bio	O
,	O
Chris	PERSON
Tye	PERSON
President	TITLE
,	O
Power	DEPARTMENT
View	O
bio	O
,	O
Lisa	PERSON
Bottle	PERSON
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Affairs	DEPARTMENT
View	O
bio	O
,	O
Robin	PERSON
Chopra	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Controller	O
,	O
and	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
View	O
bio	O
,	O
Wendy	PERSON
Hallgren	PERSON
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Compliance	DEPARTMENT
View	O
bio	O
,	O
James	PERSON
M.	PERSON
Lucas	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Tax	DEPARTMENT
,	O
Treasury	DEPARTMENT
,	O
and	O
Treasurer	TITLE
View	O
bio	O
,	O
David	PERSON
Marventano	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Government	DEPARTMENT
Relations	DEPARTMENT
View	O
bio	O
,	O
Robert	PERSON
C.	PERSON
Taylor	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
of	O
Information	DEPARTMENT
Technology	DEPARTMENT
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
View	O
bio	O
,	O
Geoff	PERSON
Telfer	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Finance	DEPARTMENT
and	O
Investor	DEPARTMENT
Relations	DEPARTMENT
View	O
bio	O
,	O
Chairman	O
and	O
CEO	TITLE
David	O
T.	O
Seaton	O
,	O
Ray	PERSON
F.	PERSON
Barnard	PERSON
,	O
Jose	PERSON
Bustamante	PERSON
,	O
Garry	PERSON
W.	PERSON
Flowers	PERSON
,	O
Carlos	PERSON
M.	PERSON
Hernandez	PERSON
,	O
Mark	PERSON
Landry	PERSON
,	O
Peter	PERSON
Oosterveer	PERSON
,	O
Biggs	PERSON
C.	PERSON
Porter	PERSON
,	O
Bruce	PERSON
A.	PERSON
Stanski	PERSON
,	O
Arnold	PERSON
Steenbakker	PERSON
,	O
Jim	PERSON
Brittain	PERSON
,	O
Ken	PERSON
R.	PERSON
Choudhary	PERSON
,	O
Ph.D.	O
,	O
Tracey	PERSON
Cook	PERSON
,	O
Taco	O
de	O
Haan	O
,	O
Hans	PERSON
Dekker	PERSON
,	O
Juan	PERSON
G.	PERSON
Hernández	PERSON
,	O
Rick	PERSON
Koumouris	PERSON
,	O
Jason	PERSON
Kraynek	PERSON
,	O
Matthew	PERSON
McSorley	PERSON
,	O
Angus	PERSON
Murray	PERSON
,	O
Jack	PERSON
Penley	PERSON
,	O
David	PERSON
Pereira	PERSON
,	O
Chris	PERSON
Tye	PERSON
,	O
Mike	O
Wheeler	O
,	O
Lisa	PERSON
Bottle	PERSON
,	O
Robin	PERSON
Chopra	PERSON
,	O
Wendy	PERSON
Hallgren	PERSON
,	O
James	PERSON
M.	PERSON
Lucas	PERSON
,	O
David	PERSON
Marventano	PERSON
,	O
Robert	PERSON
C.	PERSON
Taylor	PERSON
,	O
Geoff	PERSON
Telfer	PERSON
,	O
http://www.fluor.com/about_fluor/leadership/Pages/default.aspx	O
