Spectrum	O
Brands	O
,	O
Fidelity	O
&	O
Guaranty	O
Life	O
,	O
Salus	O
Capital	O
Partners	O
,	O
FrontStreet	O
Re	O
,	O
Compass	O
Production	O
GP	O
,	O
LLC	O
,	O
CorAmerica	O
,	O
open	O
,	O
Omar	PERSON
M.	PERSON
Asali	PERSON
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
open	O
,	O
George	PERSON
C.	PERSON
Nicholson	PERSON
Acting	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
open	O
,	O
David	PERSON
M.	PERSON
Maura	PERSON
Managing	TITLE
Director	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
of	O
Investments	DEPARTMENT
,	O
open	O
,	O
Ehsan	PERSON
Zargar	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
and	TITLE
Corporate	TITLE
Secretary	TITLE
,	O
open	O
,	O
James	PERSON
Hart	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
of	O
Communications	DEPARTMENT
,	O
http://www.hrggroup.com/phoenix.zhtml?c=118763&p=irol-investmentteam	O
