Executive	O
officers	O
,	O
Corporate	O
governance	O
guidelines	O
,	O
Trust	O
and	O
compliance	O
,	O
Bylaws	O
,	O
Other	O
relationships	O
,	O
Director	TITLE
compensation	O
,	O
Executive	O
compensation	O
,	O
Beneficial	O
ownership	O
,	O
Director	TITLE
independence	O
standards	O
,	O
Contact	O
the	O
board	O
,	O
Director	TITLE
attendance	O
at	O
annual	O
meeting	O
of	O
stockholders	O
,	O
Virginia	PERSON
M.	PERSON
Rometty	PERSON
,	O
Chairman	TITLE
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
Michelle	PERSON
H.	PERSON
Browdy	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Legal	DEPARTMENT
and	DEPARTMENT
Regulatory	DEPARTMENT
Affairs	DEPARTMENT
,	O
and	O
General	DEPARTMENT
Counsel	DEPARTMENT
Erich	PERSON
Clementi	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Bruno	PERSON
V.	PERSON
Di	PERSON
Leo	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Diane	PERSON
Gherson	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Jon	PERSON
C.	PERSON
Iwata	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Marketing	DEPARTMENT
and	DEPARTMENT
Communications	DEPARTMENT
Martin	PERSON
Jetter	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Technology	DEPARTMENT
Services	DEPARTMENT
James	PERSON
J.	PERSON
Kavanaugh	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Transformation	DEPARTMENT
and	DEPARTMENT
Operations	DEPARTMENT
Dr.	O
John	O
E.	O
Kelly	O
,	O
III	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Solutions	DEPARTMENT
Portfolio	DEPARTMENT
and	DEPARTMENT
Research	DEPARTMENT
Kenneth	PERSON
M.	PERSON
Keverian	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Strategy	DEPARTMENT
Arvind	PERSON
Krishna	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Director	TITLE
of	O
IBM	DEPARTMENT
Research	DEPARTMENT
Robert	PERSON
J.	PERSON
LeBlanc	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Cloud	DEPARTMENT
Robert	PERSON
J.	PERSON
Picciano	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Analytics	DEPARTMENT
Michael	PERSON
D.	PERSON
Rhodin	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Watson	DEPARTMENT
Tom	PERSON
Rosamilia	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Systems	DEPARTMENT
Martin	PERSON
Schroeter	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
Bridget	PERSON
A.	PERSON
van	PERSON
Kralingen	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Business	DEPARTMENT
Services	DEPARTMENT
FAQ	O
,	O
Glossary	O
,	O
Guide	O
to	O
financial	O
statements	O
,	O
How	O
to	O
read	O
annual	O
reports	O
,	O
Provide	O
feedback	O
,	O
www.ibm.com/investor/governance/executive-officers.html	O
