READ	O
BIO	O
Chris	PERSON
Policinski	PERSON
President	TITLE
and	O
CEO	TITLE
,	O
READ	O
BIO	O
Loren	PERSON
Heeringa	PERSON
SVP	TITLE
and	O
CHRO	TITLE
,	O
READ	O
BIO	O
Peter	PERSON
Janzen	PERSON
SVP	TITLE
,	O
General	TITLE
Counsel	TITLE
and	O
CAO	TITLE
,	O
READ	O
BIO	O
Jerry	PERSON
Kaminski	PERSON
EVP	TITLE
and	O
COO	TITLE
,	O
International	DEPARTMENT
,	O
READ	O
BIO	O
Dan	PERSON
Knutson	PERSON
EVP	TITLE
and	O
CFO	TITLE
,	O
READ	O
BIO	O
Tim	PERSON
Scott	PERSON
SVP	TITLE
and	O
CMO	TITLE
,	O
READ	O
BIO	O
Mike	PERSON
Vande	PERSON
Logt	PERSON
EVP	TITLE
and	O
COO	TITLE
,	O
Winfield	DEPARTMENT
US	DEPARTMENT
,	O
READ	O
BIO	O
Brett	PERSON
Bruggeman	PERSON
SVP	TITLE
,	O
Strategic	O
Development	O
,	O
Winfield	DEPARTMENT
US	DEPARTMENT
,	O
READ	O
BIO	O
Doug	PERSON
Brunt	PERSON
SVP	TITLE
,	O
Ag	DEPARTMENT
Customer	DEPARTMENT
Accounts	DEPARTMENT
,	O
READ	O
BIO	O
John	PERSON
Ellenberger	PERSON
SVP	TITLE
,	O
U.S.	DEPARTMENT
Dairy	DEPARTMENT
Foods	DEPARTMENT
,	O
READ	O
BIO	O
Mitch	PERSON
Eviston	PERSON
SVP	TITLE
,	O
Marketing	O
,	O
WinField	O
,	O
READ	O
BIO	O
Dave	PERSON
Hoogmoed	PERSON
EVP	TITLE
and	O
COO	TITLE
,	O
Purina	DEPARTMENT
Animal	DEPARTMENT
Nutrition	DEPARTMENT
,	O
READ	O
BIO	O
Rob	PERSON
McClelland	PERSON
President	TITLE
and	O
CEO	TITLE
,	O
FLM	O
+	O
,	O
READ	O
BIO	O
Mike	PERSON
Macrie	PERSON
SVP	TITLE
and	O
CIO	TITLE
,	O
https://www.landolakesinc.com/company/managementteam/default.aspx	O
