Helium	O
-LRB-	O
He	O
-RRB-	O
,	O
Hydrogen	O
-LRB-	O
H2	O
-RRB-	O
,	O
Krypton	O
-LRB-	O
Kr	O
-RRB-	O
,	O
Neon	O
-LRB-	O
Ne	O
-RRB-	O
,	O
Oil	O
&	O
Gas	O
Services	O
,	O
We	O
offer	O
a	O
number	O
of	O
gas	O
injection	O
services	O
from	O
full	O
pilot	O
projects	O
to	O
well	O
stimulation	O
,	O
to	O
increase	O
the	O
output	O
of	O
your	O
oil	O
and	O
gas	O
wells	O
.	O
Stephen	PERSON
F.	PERSON
Angel	PERSON
,	O
Chairman	TITLE
,	O
President	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Matthew	PERSON
J.	PERSON
White	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Eduardo	PERSON
Menezes	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Scott	PERSON
E.	PERSON
Telesz	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Anne	PERSON
K.	PERSON
Roby	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Guillermo	PERSON
Bichara	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
&	O
Corporate	TITLE
Secretary	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Vanessa	PERSON
Abrahams-John	PERSON
,	O
Director	TITLE
of	O
Global	O
Diversity	O
,	O
Inclusion	O
and	O
Talent	O
Acquisition	O
,	O
Praxair	O
,	O
Inc.	O
,	O
Domingos	PERSON
H.G.	PERSON
Bulus	PERSON
,	O
President	TITLE
,	O
Praxair	O
South	O
America	O
,	O
President	TITLE
,	O
White	O
Martins	O
Gases	O
Industriais	O
Ltda.	O
,	O
Sean	PERSON
Durbin	PERSON
,	O
President	TITLE
,	O
Praxair	O
Canada	O
,	O
Lisa	PERSON
A.	PERSON
Esneault	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Global	O
Communications	O
&	O
Public	O
Relations	O
,	O
Praxair	O
,	O
Inc.	O
,	O
Kevin	PERSON
C.	PERSON
Foti	PERSON
,	O
President	TITLE
,	O
U.S.	O
Industrial	O
Gases	O
,	O
Eduardo	PERSON
Galvan	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Global	O
Operations	O
Excellence	O
,	O
Benjamin	PERSON
Glazer	PERSON
,	O
President	TITLE
,	O
Praxair	O
Mexico	O
,	O
Timothy	PERSON
S.	PERSON
Heenan	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Treasury	DEPARTMENT
&	DEPARTMENT
Tax	DEPARTMENT
,	O
Praxair	O
,	O
Inc.	O
,	O
Kelcey	PERSON
E.	PERSON
Hoyt	PERSON
,	O
Vice	TITLE
President	TITLE
&	O
Controller	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Scott	PERSON
W.	PERSON
Kaltrider	PERSON
,	O
President	TITLE
,	O
Praxair	O
Distribution	O
,	O
Inc.	O
,	O
Gabriel	PERSON
Kiewek	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Global	DEPARTMENT
Procurement	DEPARTMENT
&	DEPARTMENT
Materials	DEPARTMENT
Management	DEPARTMENT
,	O
Praxair	O
,	O
Inc.	O
,	O
Riva	PERSON
Krut	PERSON
,	O
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Sustainability	TITLE
Officer	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
David	PERSON
B.	PERSON
Lewis	PERSON
,	O
General	TITLE
Auditor	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Pierre	PERSON
Lüthi	PERSON
,	O
President	TITLE
,	O
Praxair	O
Surface	O
Technologies	O
,	O
Inc.	O
,	O
Michael	PERSON
A.	PERSON
Marino	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Global	O
Supply	O
Systems	O
,	O
Praxair	O
,	O
Inc.	O
,	O
Earl	PERSON
Newsome	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Chief	O
Information	O
Officer	O
,	O
Praxair	O
,	O
Inc.	O
,	O
Fabricio	PERSON
Nunes	PERSON
,	O
Assistant	TITLE
General	TITLE
Counsel	TITLE
&	O
Chief	TITLE
Compliance	TITLE
Officer	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
John	PERSON
M.	PERSON
Panikar	PERSON
,	O
President	TITLE
,	O
Praxair	O
Asia	O
,	O
Juan	PERSON
Pelaez	PERSON
,	O
Director	TITLE
,	O
Investor	DEPARTMENT
Relations	DEPARTMENT
,	O
Praxair	O
,	O
Inc.	O
,	O
Samir	PERSON
J.	PERSON
Serhan	PERSON
,	O
President	TITLE
,	O
Global	DEPARTMENT
HyCO	DEPARTMENT
,	O
Praxair	O
,	O
Inc.	O
,	O
Todd	PERSON
A.	PERSON
Skare	PERSON
,	O
Chief	TITLE
Technology	TITLE
Officer	TITLE
,	O
Praxair	O
,	O
Inc.	O
,	O
Richard	PERSON
