About	O
AltriaCurrently	O
selected	O
Our	O
Companies	O
Responsibility	O
Investors	O
Altria	O
|	O
About	O
Altria	O
|	O
Our	O
Management	O
Team	O
,	O
At-A-Glance	O
Our	O
Mission	O
&	O
Values	O
Our	O
Management	O
TeamCurrently	O
selected	O
Corporate	O
Management	O
Team	O
Operating	O
Companies	O
Leadership	O
Functional	O
Leadership	O
Our	O
Heritage	O
Our	O
Employees	O
Board	O
of	O
Directors	O
&	O
Committees	O
Corporate	O
Governance	O
Government	O
Affairs	O
Altria	O
Ventures	O
Federal	O
Regulation	O
of	O
Tobacco	O
Our	O
Management	O
Team	O
Martin	PERSON
J.	PERSON
Barrington	PERSON
Chairman	O
Chief	O
Executive	O
Officer	O
President	O
Altria	O
Group	O
,	O
Inc.	O
.	O
James	PERSON
E.	PERSON
Dillard	PERSON
III	PERSON
Senior	O
Vice	O
President	O
,	O
Research	O
,	O
Development	O
and	O
Regulatory	O
Affairs	O
,	O
Chief	O
Innovation	O
Officer	O
Altria	O
Group	O
,	O
Inc	O
.	O
William	O
F.	O
Gifford	O
,	O
Jr.	O
.	O
Chief	O
Financial	O
Officer	O
Altria	O
Group	O
,	O
Inc.	O
.	O
Craig	PERSON
A.	PERSON
Johnson	PERSON
President	O
Chief	O
Executive	O
Officer	O
Altria	O
Group	O
Distribution	O
Company	O
Denise	PERSON
F.	PERSON
Keane	PERSON
Executive	O
Vice	O
President	O
General	O
Counsel	O
Altria	O
Group	O
,	O
Inc.	O
.	O
Sal	PERSON
Mancuso	PERSON
Senior	O
Vice	O
President	O
Strategy	O
,	O
Planning	O
and	O
Procurement	O
Altria	O
Group	O
,	O
Inc.	O
.	O
Charles	PERSON
N.	PERSON
Whitaker	PERSON
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
,	O
Compliance	DEPARTMENT
and	DEPARTMENT
Information	DEPARTMENT
Services	DEPARTMENT
,	O
Chief	DEPARTMENT
Compliance	DEPARTMENT
Officer	DEPARTMENT
Altria	O
Group	O
,	O
Inc.	O
Howard	PERSON
A.	PERSON
Willard	PERSON
III	PERSON
Chief	O
Operating	O
