Chairman	TITLE
Chief	TITLE
Executive	TITLE
Officer	TITLE
Belgacem	PERSON
Chariag	PERSON
President	TITLE
Senior	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Legal	TITLE
and	TITLE
Governance	TITLE
Officer	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Information	TITLE
Officer	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
Chief	TITLE
Commercial	TITLE
Officer	TITLE
Senior	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Financial	TITLE
Officer	TITLE
Art	PERSON
Soucy	PERSON
President	TITLE
Senior	TITLE
Advisor	TITLE
