Giovanni	PERSON
Caforio	PERSON
Charles	PERSON
Bancroft	PERSON
Emmanuel	PERSON
Blin	PERSON
Francis	PERSON
Cuss	PERSON
John	PERSON
Elicker	PERSON
Murdo	PERSON
Gordon	PERSON
Ann	PERSON
Powell	PERSON
Judge	PERSON
Sandra	PERSON
Leung	PERSON
Anne	PERSON
Nielsen	PERSON
Lou	PERSON
Schmukler	PERSON
Paul	PERSON
von	PERSON
Autenried	PERSON
Giovanni	PERSON
Caforio	PERSON
Chief	TITLE
Executive	TITLE
Officer	TITLE
Charles	PERSON
Bancroft	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Financial	TITLE
Officer	TITLE
Emmanuel	PERSON
Blin	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Strategy	TITLE
Officer	TITLE
Francis	PERSON
Cuss	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Scientific	TITLE
Officer	TITLE
John	PERSON
Elicker	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
Murdo	PERSON
Gordon	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Commercial	TITLE
Officer	TITLE
Ann	PERSON
Powell	PERSON
Judge	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
Sandra	PERSON
Leung	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
General	TITLE
Counsel	TITLE
Anne	PERSON
Nielsen	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Compliance	TITLE
and	TITLE
Ethics	TITLE
Officer	TITLE
Lou	PERSON
Schmukler	PERSON
President	TITLE
Paul	PERSON
von	PERSON
Autenried	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
Chief	TITLE
Information	TITLE
Officer	TITLE
