English	O
,	O
Español	O
,	O
Analyst	O
Coverage	O
,	O
MICHAEL	PERSON
F.	PERSON
NEIDORFF	PERSON
,	O
Chairman	TITLE
,	O
President	TITLE
and	O
CEO	TITLE
,	O
Centene	DEPARTMENT
Corporation	DEPARTMENT
ORLANDO	PERSON
AYALA	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Chairman	TITLE
,	O
Emerging	DEPARTMENT
Markets	DEPARTMENT
&	O
Chief	TITLE
Advisor	TITLE
to	O
Chief	O
Operating	O
Officer	O
,	O
Microsoft	O
Corporation	O
ROBERT	PERSON
K.	PERSON
DITMORE	PERSON
,	O
Former	O
President	TITLE
and	O
COO	O
,	O
UnitedHealthcare	O
Corporation	O
FREDERICK	PERSON
H.	PERSON
EPPINGER	PERSON
,	O
President	TITLE
and	O
CEO	TITLE
,	O
The	DEPARTMENT
Hanover	DEPARTMENT
Insurance	DEPARTMENT
Group	DEPARTMENT
,	O
Inc.	O
.	O
VICKI	PERSON
B.	PERSON
ESCARRA	PERSON
,	O
CEO	TITLE
of	O
Opportunity	O
International	O
,	O
and	O
former	TITLE
Director	TITLE
of	TITLE
Health	TITLE
Net	TITLE
,	O
Inc.	O
.	O
RICHARD	PERSON
A.	PERSON
GEPHARDT	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
Gephardt	O
and	O
Associates	O
,	O
Former	O
Majority	O
Leader	O
of	O
the	O
U.S.	O
House	O
of	O
Representatives	O
JOHN	PERSON
R.	PERSON
ROBERTS	PERSON
,	O
Retired	TITLE
Regional	TITLE
Managing	TITLE
Partner	TITLE
,	O
Arthur	O
Andersen	O
,	O
LLP	O
DAVID	PERSON
L.	PERSON
STEWARD	PERSON
,	O
Chairman	TITLE
of	TITLE
the	TITLE
Board	TITLE
,	O
World	O
Wide	O
Technology	O
,	O
Inc.	O
.	O
TOMMY	PERSON
G.	PERSON
THOMPSON	PERSON
,	O
Former	TITLE
Health	TITLE
&	TITLE
Human	TITLE
Services	TITLE
Secretary	TITLE
,	O
Former	TITLE
Governor	TITLE
of	O
Wisconsin	O
http://www.centene.com/investors/corporate-governance/board-of-directors/	O
