Press	O
Room	O
&	O
Media	O
Releases	O
Investor	O
Tools	O
Investor	O
Presentations	O
and	O
Webcasts	O
Stock	O
Quotes	O
Stock	O
Charts	O
Earnings	O
Estimates	O
Email	O
Alerts	O
SEC	O
Filings	O
,	O
Annual	O
Reports	O
&	O
Proxy	O
Statements	O
,	O
Analyst	O
Coverage	O
,	O
Investor	O
Facts	O
,	O
Quorum	O
Health	O
Corporation	O
Spinoff	O
,	O
Careers	O
,	O
Physician	O
and	O
Advanced	O
Practitioner	O
Opportunities	O
Job	O
Opportunities	O
Career	O
Information	O
Physician	O
and	O
Advanced	O
Practitioner	O
Opportunities	O
,	O
Job	O
Opportunities	O
,	O
Career	O
Information	O
,	O
Wayne	PERSON
T.	PERSON
Smith	PERSON
,	O
Chairman	O
of	O
the	O
Board	O
and	O
Chief	O
Executive	O
Officer	O
,	O
Wayne	O
Smith	O
serves	O
as	O
Chairman	O
of	O
the	O
Board	O
and	O
Chief	O
Executive	O
Officer	O
,	O
of	O
Community	O
Health	O
Systems	O
,	O
Inc.	O
.	O
He	O
is	O
one	O
of	O
the	O
most	O
tenured	O
executives	O
in	O
the	O
hospital	O
industry	O
and	O
has	O
led	O
the	O
Company	O
's	O
growth	O
from	O
a	O
small	O
rural	O
hospital	O
organization	O
to	O
become	O
the	O
largest	O
operator	O
of	O
hospitals	O
in	O
the	O
nation	O
,	O
as	O
measured	O
by	O
number	O
of	O
facilities	O
.	O
Smith	O
has	O
been	O
named	O
one	O
of	O
the	O
100	O
Most	O
Influential	O
People	O
in	O
Healthcare	O
by	O
Modern	O
Healthcare	O
,	O
magazine	O
for	O
the	O
past	O
14	O
years	O
and	O
a	O
Top	O
CEO	O
for	O
the	O
healthcare	O
facilities	O
sector	O
by	O
Institutional	O
Investor	O
,	O
several	O
times	O
in	O
the	O
past	O
decade	O
.	O
Read	O
Bio	O
,	O
W.	PERSON
Larry	PERSON
Cash	PERSON
,	O
President	O
,	O
Financial	DEPARTMENT
Services	DEPARTMENT
and	O
Chief	O
Financial	O
Officer	O
David	PERSON
L.	PERSON
Miller	PERSON
,	O
President	O
and	O
Chief	O
Operating	O
Officer	O
Lynn	PERSON
T.	PERSON
Simon	PERSON
,	O
M.D.	O
,	O
President	O
,	O
Clinical	DEPARTMENT
Services	DEPARTMENT
and	O
Chief	O
Quality	O
Officer	O
Tim	PERSON
L.	PERSON
Hingtgen	PERSON
,	O
Executive	O
Vice	O
President	O
--	O
Operations	DEPARTMENT
Rachel	PERSON
A.	PERSON
Seifert	PERSON
,	O
Executive	O
Vice	O
President	O
,	O
Secretary	O
and	O
General	O
Counsel	O
Martin	PERSON
G.	PERSON
Schweinhart	PERSON
,	O
Executive	O
Vice	O
President	O
,	O
Administration	DEPARTMENT
Martin	PERSON
J.	PERSON
Bonick	PERSON
,	O
President	O
,	O
Division	DEPARTMENT
I	DEPARTMENT
Operations	DEPARTMENT
Michael	PERSON
T.	PERSON
Portacci	PERSON
,	O
President	O
,	O
Division	DEPARTMENT
II	DEPARTMENT
Operations	DEPARTMENT
Robert	PERSON
O.	PERSON
Horrar	PERSON
,	O
President	O
,	O
Division	DEPARTMENT
III	DEPARTMENT
Operations	DEPARTMENT
John	PERSON
McClellan	PERSON
,	O
President	O
,	O
Division	DEPARTMENT
IV	DEPARTMENT
Operations	DEPARTMENT
Paul	PERSON
Smith	PERSON
,	O
President	O
,	O
Division	DEPARTMENT
V	DEPARTMENT
Operations	DEPARTMENT
Andrea	O
E.	O
-LRB-	O
Andi	O
-RRB-	O
Bosshart	O
,	O
Senior	O
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Compliance	DEPARTMENT
and	O
Privacy	O
Officer	O
T.	PERSON
Mark	PERSON
Buford	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Internal	DEPARTMENT
Audit	DEPARTMENT
Larry	PERSON
M.	PERSON
Carlton	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Revenue	DEPARTMENT
Management	DEPARTMENT
Ben	PERSON
Fordham	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Litigation	O
Counsel	O
Tomi	PERSON
Galin	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Communications	DEPARTMENT
,	O
Marketing	DEPARTMENT
and	O
Public	DEPARTMENT
Affairs	DEPARTMENT
Kevin	PERSON
Hammons	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Accounting	O
Officer	O
Kenneth	PERSON
D.	PERSON
Hawkins	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Acquisitions	DEPARTMENT
&	DEPARTMENT
Development	DEPARTMENT
Michael	PERSON
M.	PERSON
Lynd	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Financial	DEPARTMENT
Services	DEPARTMENT
Tim	PERSON
G.	PERSON
Marlette	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Purchasing	O
Officer	O
Pamela	PERSON
T.	PERSON
Rudisill	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Chief	O
Nursing	O
Officer	O
Ronald	PERSON
J.	PERSON
Shafer	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Manish	PERSON
Shah	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Information	O
Officer	O
Leadership	O
Quality	O
starts	O
at	O
the	O
top	O
.	O
The	O
committed	O
and	O
experienced	O
leadership	O
team	O
at	O
Community	O
Health	O
Systems	O
sets	O
the	O
standard	O
for	O
company	O
excellence	O
and	O
strives	O
to	O
inspire	O
success	O
at	O
every	O
level	O
.	O
With	O
a	O
track	O
record	O
of	O
operational	O
excellence	O
,	O
financial	O
performance	O
and	O
the	O
proven	O
ability	O
to	O
apply	O
astute	O
business	O
strategies	O
across	O
the	O
organization	O
,	O
our	O
management	O
team	O
shares	O
a	O
vision	O
for	O
how	O
community	O
hospitals	O
can	O
thrive	O
when	O
they	O
are	O
supported	O
by	O
the	O
resources	O
of	O
a	O
larger	O
organization	O
.	O
Executive	O
Leadership	O
Wayne	PERSON
T.	PERSON
Smith	PERSON
Chairman	O
of	O
the	O
Board	O
and	O
Chief	O
Executive	O
Officer	O
Wayne	O
Smith	O
serves	O
as	O
Chairman	O
of	O
the	O
Board	O
and	O
Chief	O
Executive	O
Officer	O
of	O
Community	O
Health	O
Systems	O
,	O
Inc.	O
.	O
He	O
is	O
one	O
of	O
the	O
most	O
tenured	O
executives	O
in	O
the	O
hospital	O
