Dover	O
India	O
,	O
Careers	O
,	O
Contact	O
us	O
,	O
LinkedIn	O
,	O
YouTube	O
,	O
Robert	PERSON
A.	PERSON
Livingston	PERSON
,	O
President	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Sandra	PERSON
A.	PERSON
Arkell	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Controller	TITLE
,	O
William	PERSON
Bosway	PERSON
,	O
President	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Refrigeration	DEPARTMENT
&	O
Food	DEPARTMENT
Equipment	DEPARTMENT
,	O
Ivonne	PERSON
M.	PERSON
Cabrera	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
&	O
Secretary	TITLE
,	O
Brad	PERSON
M.	PERSON
Cerepak	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
C.	PERSON
Anderson	PERSON
Fincher	PERSON
,	O
President	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Dover	DEPARTMENT
Engineered	DEPARTMENT
Systems	DEPARTMENT
,	O
Paul	PERSON
E.	PERSON
Goldberg	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Investor	DEPARTMENT
Relations	DEPARTMENT
,	O
S.	PERSON
Gary	PERSON
Kennon	PERSON
,	O
President	TITLE
,	O
Dover	DEPARTMENT
Business	DEPARTMENT
Services	DEPARTMENT
,	O
Jay	PERSON
L.	PERSON
Kloosterboer	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
,	O
James	PERSON
S.	PERSON
Moran	PERSON
,	O
Vice	TITLE
President	TITLE
&	O
Treasurer	TITLE
,	O
Sivasankaran	PERSON
Somasundaram	PERSON
,	O
President	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Dover	DEPARTMENT
Energy	DEPARTMENT
,	O
William	PERSON
W.	PERSON
Spurgeon	PERSON
,	O
President	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Dover	DEPARTMENT
Fluid	DEPARTMENT
Management	DEPARTMENT
,	O
Russell	PERSON
E.	PERSON
Toney	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Global	DEPARTMENT
Sourcing	DEPARTMENT
,	O
http://www.dovercorporation.com/globalnavigation/about-dover/management	O
