Larry	PERSON
D.	PERSON
Young	PERSON
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
,	O
Marty	PERSON
Ellen	PERSON
,	O
Chief	O
Financial	O
Officer	O
,	O
Larry	PERSON
D.	PERSON
Young	PERSON
President	O
and	O
Chief	O
Executive	O
Officer	O
As	O
president	O
and	O
CEO	O
of	O
Dr	O
Pepper	O
Snapple	O
Group	O
,	O
Larry	O
Young	O
leads	O
a	O
team	O
of	O
19,000	O
passionate	O
employees	O
who	O
make	O
,	O
market	O
,	O
sell	O
and	O
distribute	O
more	O
than	O
50	O
iconic	O
beverage	O
brands	O
across	O
North	O
America	O
and	O
the	O
Caribbean	O
.	O
He	O
joined	O
the	O
company	O
in	O
2006	O
as	O
president	O
and	O
chief	O
operating	O
officer	O
of	O
its	O
newly	O
formed	O
Bottling	O
Group	O
division	O
following	O
the	O
acquisition	O
of	O
Dr	O
Pepper/Seven	O
Up	O
Bottling	O
Group	O
,	O
where	O
he	O
had	O
served	O
as	O
president	O
and	O
CEO	O
.	O
In	O
October	O
2007	O
,	O
he	O
became	O
president	O
and	O
CEO	O
and	O
led	O
its	O
spinoff	O
the	O
following	O
May	O
from	O
Cadbury	O
Schweppes	O
plc.	O
.	O
Larry	O
played	O
a	O
central	O
role	O
in	O
helping	O
create	O
a	O
new	O
business	O
model	O
for	O
a	O
fully	O
integrated	O
beverage	O
company	O
.	O
By	O
integrating	O
brand	O
ownership	O
and	O
marketing	O
with	O
bottling	O
and	O
distribution	O
operations	O
,	O
the	O
company	O
is	O
able	O
to	O
build	O
its	O
leading	O
brands	O
with	O
a	O
reliable	O
,	O
sustainable	O
and	O
secure	O
route	O
to	O
market	O
.	O
In	O
his	O
nearly	O
40-year	O
career	O
in	O
the	O
industry	O
,	O
Larry	O
has	O
produced	O
and	O
sold	O
virtually	O
every	O
type	O
of	O
beverage	O
in	O
the	O
Americas	O
and	O
across	O
Europe	O
and	O
Russia	O
.	O
He	O
previously	O
served	O
more	O
than	O
25	O
years	O
in	O
the	O
Pepsi	O
system	O
,	O
most	O
recently	O
with	O
PepsiAmericas	O
and	O
before	O
that	O
with	O
Pepsi-Cola	O
General	O
Bottlers	O
,	O
where	O
he	O
began	O
on	O
a	O
route	O
truck	O
and	O
worked	O
his	O
way	O
to	O
President	O
and	O
Chief	O
Operating	O
Officer	O
.	O
Larry	O
was	O
inducted	O
into	O
the	O
Beverage	O
World	O
Soft	O
Drink	O
Hall	O
of	O
Fame	O
in	O
2008	O
,	O
was	O
named	O
Executive	O
of	O
the	O
Year	O
by	O
Beverage	O
Industry	O
magazine	O
in	O
2010	O
and	O
,	O
in	O
2015	O
,	O
received	O
Beverage	O
Forum	O
's	O
Lifetime	O
Achievement	O
Award	O
.	O
From	O
2008	O
to	O
2010	O
,	O
he	O
served	O
as	O
chairman	O
of	O
the	O
board	O
of	O
the	O
American	O
Beverage	O
Association	O
.	O
He	O
and	O
his	O
wife	O
,	O
Colette	O
,	O
live	O
in	O
Dallas	O
and	O
are	O
both	O
natives	O
of	O
Springfield	O
,	O
Mo.	O
.	O
Marty	PERSON
Ellen	PERSON
Chief	O
Financial	O
Officer	O
Marty	PERSON
Ellen	PERSON
is	O
chief	O
financial	O
officer	O
for	O
Dr	O
Pepper	O
Snapple	O
Group	O
,	O
Inc.	O
.	O
He	O
is	O
responsible	O
for	O
the	O
company	O
's	O
finance	O
and	O
IT	O
organizations	O
.	O
Marty	O
joined	O
the	O
company	O
in	O
April	O
2010	O
and	O
brings	O
to	O
his	O
role	O
more	O
than	O
25	O
years	O
of	O
broad	O
experience	O
serving	O
as	O
chief	O
financial	O
officer	O
with	O
companies	O
in	O
the	O
manufacturing	O
,	O
distribution	O
,	O
franchising	O
and	O
services	O
industries	O
.	O
Prior	O
to	O
his	O
appointment	O
at	O
DPS	O
,	O
he	O
served	O
as	O
senior	O
vice	O
president	O
and	O
chief	O
financial	O
officer	O
of	O
Snap-on	O
Incorporated	O
,	O
a	O
global	O
innovator	O
,	O
manufacturer	O
and	O
marketer	O
of	O
tools	O
,	O
diagnostics	O
,	O
equipment	O
,	O
software	O
and	O
service	O
solutions	O
for	O
professional	O
users	O
.	O
His	O
previous	O
experience	O
includes	O
a	O
role	O
as	O
senior	O
vice	O
president	O
and	O
chief	O
financial	O
officer	O
at	O
Whitman	O
Corporation	O
,	O
which	O
then	O
owned	O
Pepsi	O
Cola	O
General	O
Bottlers	O
,	O
Inc.	O
.	O
While	O
at	O
Whitman	O
,	O
Marty	O
was	O
instrumental	O
in	O
developing	O
and	O
executing	O
strategy	O
,	O
including	O
the	O
realignment	O
and	O
expansion	O
of	O
Pepsi	O
bottling	O
territories	O
in	O
the	O
U.S.	O
and	O
central	O
Europe	O
.	O
He	O
began	O
his	O
career	O
as	O
a	O
senior	O
audit	O
manager	O
with	O
the	O
international	O
accounting	O
firm	O
,	O
Price	O
Waterhouse	O
.	O
Marty	O
holds	O
a	O
bachelor	O
's	O
degree	O
in	O
accounting	O
from	O
the	O
University	O
of	O
Illinois	O
,	O
is	O
a	O
certified	O
public	O
accountant	O
and	O
earned	O
a	O
master	O
's	O
degree	O
in	O
business	O
administration	O
from	O
Northwestern	O
University	O
's	O
Kellogg	O
Graduate	O
School	O
of	O
Management	O
,	O
where	O
he	O
serves	O
on	O
the	O
Alumni	O
Advisory	O
Board	O
.	O
Marty	O
also	O
serves	O
on	O
the	O
Board	O
of	O
Directors	O
of	O
Eagle	O
Materials	O
Inc.	O
.	O
Jim	O
Baldwin	O
Executive	O
Vice	O
President	O
and	O
General	O
Counsel	O
,	O
James	O
``	O
Jim	O
''	O
Baldwin	O
is	O
executive	O
vice	O
president	O
and	O
general	O
counsel	O
for	O
Dr	O
Pepper	O
Snapple	O
Group	O
,	O
Inc.	O
.	O
In	O
this	O
role	O
,	O
Jim	O
oversees	O
all	O
legal	O
issues	O
for	O
the	O
company	O
.	O
Jim	O
has	O
played	O
a	O
key	O
strategic	O
role	O
in	O
the	O
company	O
's	O
major	O
acquisitions	O
and	O
restructurings	O
.	O
He	O
was	O
involved	O
in	O
the	O
establishment	O
of	O
DPS	O
in	O
2008	O
when	O
the	O
company	O
separated	O
from	O
Cadbury	O
Schweppes	O
plc.	O
.	O
Previously	O
,	O
he	O
played	O
a	O
central	O
role	O
in	O
consolidating	O
Cadbury	O
Schweppes	O
'	O
North	O
American	O
beverage	O
operations	O
into	O
Cadbury	O
Schweppes	O
Americas	O
Beverages	O
,	O
as	O
well	O
as	O
the	O
subsequent	O
acquisition	O
of	O
Dr	O
Pepper/Seven-Up	O
Bottling	O
Group	O
and	O
several	O
other	O
bottling	O
and	O
distribution	O
businesses	O
.	O
He	O
also	O
helped	O
lead	O
the	O
acquisition	O
of	O
several	O
of	O
DPS	O
's	O
leading	O
brands	O
.	O
Jim	O
joined	O
the	O
company	O
in	O
1997	O
as	O
assistant	O
general	O
counsel	O
,	O
where	O
he	O
provided	O
support	O
to	O
the	O
Licensing	O
team	O
on	O
strengthening	O
the	O
company	O
's	O
bottling	O
network	O
and	O
route	O
to	O
market	O
.	O
The	O
following	O
year	O
,	O
he	O
was	O
promoted	O
to	O
general	O
counsel	O
for	O
Mott	O
's	O
in	O
Stamford	O
,	O
Conn.	O
,	O
where	O
he	O
oversaw	O
the	O
legal	O
aspects	O
of	O
the	O
finished	O
goods	O
business	O
.	O
In	O
June	O
2002	O
,	O
he	O
relocated	O
to	O
Dallas	O
to	O
head	O
up	O
the	O
legal	O
department	O
at	O
Dr	O
Pepper/Seven	O
Up	O
as	O
senior	O
vice	O
president	O
and	O
general	O
counsel	O
.	O
He	O
was	O
promoted	O
to	O
his	O
current	O
role	O
a	O
year	O
later	O
.	O
Prior	O
to	O
DPS	O
and	O
Cadbury	O
Schweppes	O
,	O
Jim	O
was	O
a	O
partner	O
in	O
the	O
Dallas	O
office	O
of	O
the	O
Houston-based	O
law	O
firm	O
of	O
Hutcheson	O
&	O
Grundy	O
.	O
He	O
began	O
his	O
law	O
career	O
with	O
the	O
firm	O
of	O
Berman	O
,	O
Mitchell	O
,	O
Yeager	O
and	O
Gerber	O
.	O
Jim	O
graduated	O
Cum	O
Laude	O
with	O
a	O
bachelor	O
's	O
degree	O
in	O
English	O
from	O
Washington	O
&	O
Lee	O
University	O
and	O
earned	O
his	O
Juris	O
Doctorate	O
from	O
Southern	O
Methodist	O
University	O
.	O
He	O
lives	O
in	O
Dallas	O
with	O
his	O
wife	O
,	O
Susan	O
,	O
and	O
their	O
daughters	O
,	O
Sarah	O
and	O
Marie	O
.	O
Rodger	O
Collins	O
President	O
-	O
Packaged	O
Beverages	O
,	O
Rodger	O
Collins	O
is	O
president	O
of	O
packaged	O
beverages	O
for	O
Dr	O
Pepper	O
Snapple	O
Group	O
,	O
Inc.	O
.	O
In	O
this	O
role	O
he	O
is	O
responsible	O
for	O
the	O
company-owned	O
routes	O
to	O
market	O
for	O
both	O
the	O
direct	O
store	O
delivery	O
-LRB-	O
DSD	O
-RRB-	O
and	O
warehouse	O
direct	O
businesses	O
.	O
Additionally	O
,	O
he	O
leads	O
the	O
coast-to-coast	O
account	O
selling	O
teams	O
and	O
the	O
related	O
operating	O
,	O
category	O
and	O
revenue	O
management	O
support	O
groups	O
.	O
Rodger	O
joined	O
the	O
company	O
in	O
2006	O
through	O
its	O
acquisition	O
of	O
Dr	O
Pepper/Seven-Up	O
Bottling	O
Group	O
.	O
He	O
has	O
been	O
with	O
the	O
Bottling	O
Group	O
and	O
its	O
predecessor	O
companies	O
for	O
35	O
years	O
.	O
Prior	O
to	O
assuming	O
his	O
current	O
role	O
in	O
2007	O
,	O
he	O
served	O
as	O
Midwest	O
division	O
president	O
beginning	O
in	O
2005	O
,	O
based	O
in	O
Chicago	O
.	O
Previously	O
,	O
Rodger	O
held	O
region	O
vice	O
president	O
or	O
division	O
vice	O
president	O
roles	O
from	O
1991	O
to	O
2005	O
in	O
company	O
locations	O
in	O
Columbus	O
,	O
Ohio	O
,	O
Holland	O
,	O
Mich.	O
,	O
and	O
Cleveland	O
.	O
Earlier	O
,	O
he	O
held	O
numerous	O
management	O
positions	O
in	O
sales	O
and	O
marketing	O
,	O
based	O
in	O
Cleveland	O
,	O
Youngstown	O
and	O
Akron	O
,	O
Ohio	O
.	O
Rodger	O
joined	O
the	O
company	O
in	O
1978	O
in	O
route	O
sales	O
.	O
Rodger	O
also	O
serves	O
on	O
the	O
board	O
of	O
directors	O
for	O
the	O
American	O
Beverage	O
Association	O
as	O
well	O
as	O
Big	O
Red	O
,	O
Inc.	O
.	O
He	O
and	O
his	O
wife	O
,	O
Renee	O
,	O
live	O
in	O
Frisco	O
and	O
have	O
twin	O
sons	O
.	O
Derry	O
Hobson	O
Executive	O
Vice	O
President	O
-	O
Supply	O
Chain	O
,	O
Derry	O
Hobson	O
serves	O
as	O
executive	O
vice	O
president	O
of	O
supply	O
chain	O
for	O
Dr	O
Pepper	O
Snapple	O
Group	O
,	O
Inc.	O
.	O
In	O
this	O
role	O
,	O
he	O
is	O
responsible	O
for	O
all	O
supply	O
chain	O
functions	O
,	O
including	O
manufacturing	O
,	O
engineering	O
,	O
packaging	O
,	O
procurement	O
,	O
environmental	O
health	O
and	O
safety	O
,	O
supply	O
chain	O
planning	O
,	O
logistics	O
,	O
concentrate	O
manufacturing	O
and	O
corporate	O
facilities	O
.	O
Derry	O
has	O
more	O
than	O
40	O
years	O
of	O
senior	O
operations	O
and	O
general	O
manager	O
experience	O
.	O
He	O
assumed	O
his	O
current	O
role	O
in	O
October	O
2007	O
after	O
serving	O
as	O
senior	O
vice	O
president	O
of	O
manufacturing	O
.	O
He	O
joined	O
the	O
company	O
in	O
2006	O
through	O
its	O
acquisition	O
of	O
Dr	O
Pepper/Seven-Up	O
Bottling	O
Group	O
,	O
where	O
he	O
served	O
as	O
