Skip	O
to	O
main	O
content	O
,	O
Business	O
lines	O
Business	O
Global	O
brands	O
Brands	O
Investors	O
Login	O
Social	O
Select	O
country	O
Menu	O
Search	O
Energy	O
Technology	O
Current	O
issues	O
Environment	O
Community	O
Company	O
Natural	O
gas	O
Environment	O
and	O
safety	O
Operations	O
Policy	O
Technology	O
Oil	O
Environment	O
and	O
safety	O
Policy	O
Technology	O
Outlook	O
for	O
Energy	O
Introduction	O
Global	O
fundamentals	O
Meeting	O
growing	O
demand	O
Lowering	O
emissions	O
Fulfilling	O
future	O
supply	O
Energy	O
today	O
and	O
tomorrow	O
Charts	O
Videos	O
Research	O
and	O
development	O
Approach	O
Feasibility	O
Investments	O
Advanced	O
biofuels	O
Carbon	O
capture	O
and	O
sequestration	O
Advanced	O
carbonate	O
fuel	O
cell	O
technology	O
Controlled	O
freeze	O
zone	O
Developing	O
cutting	O
edge	O
technology	O
Deepwater	O
drilling	O
Environment	O
and	O
safety	O
Technology	O
Energy	O
efficiency	O
Cogeneration	O
Mitigating	O
greenhouse	O
gas	O
emissions	O
in	O
our	O
operations	O
Exploration	O
Full	O
wavefield	O
inversion	O
Seismic	O
mapping	O
Extended	O
reach	O
technology	O
Environment	O
and	O
safety	O
Technology	O
Hydraulic	O
fracturing	O
Environment	O
and	O
safety	O
Technology	O
Liquefied	O
natural	O
gas	O
Environment	O
and	O
safety	O
Operations	O
Policy	O
Technology	O
Vehicle	O
technologies	O
Advanced	O
motor	O
oils	O
Advanced	O
plastics	O
Hydrogen	O
fuel	O
cells	O
Accountability	O
Conflict	O
minerals	O
Political	O
involvement	O
Transparency	O
Arctic	O
Experience	O
Presence	O
Working	O
in	O
the	O
Arctic	O
Community	O
of	O
respect	O
Climate	O
ExxonMobil	O
's	O
perspective	O
Engaging	O
on	O
climate	O
change	O
Meeting	O
global	O
needs	O
Reducing	O
emissions	O
Driving	O
innovation	O
Promoting	O
efficiency	O
Energy	O
policy	O
LNG	O
exports	O
U.S.	O
energy	O
policy	O
Hydraulic	O
fracturing	O
Environment	O
and	O
safety	O
Technology	O
Oil	O
sands	O
Canadian	O
oil	O
sands	O
Energy	O
efficiency	O
U.S.	O
tax	O
policy	O
American	O
competitiveness	O
Current	O
tax	O
issues	O
U.S.	O
tax	O
and	O
duty	O
payments	O
Water	O
Fundamentals	O
Policy	O
considerations	O
Water	O
and	O
energy	O
Water	O
framework	O
Emergency	O
preparedness	O
Spill	O
prevention	O
and	O
response	O
Environmental	O
performance	O
Air	O
emissions	O
reductions	O
Ecosystem	O
services	O
Environmental	O
drilling	O
initiatives	O
Environmental	O
stewardship	O
Freshwater	O
management	O
Site	O
remediation	O
Spill	O
performance	O
Corporate	O
Citizenship	O
Report	O
Download	O
the	O
full	O
report	O
and	O
highlights	O
About	O
this	O
report	O
Safety	O
,	O
health	O
and	O
the	O
workplace	O
Environmental	O
performance	O
Managing	O
climate	O
change	O
risks	O
Community	O
and	O
social	O
impact	O
Local	O
development	O
and	O
supply	O
chain	O
management	O
Corporate	O
governance	O
Feedback	O
Human	O
rights	O
Managing	O
community	O
impacts	O
Respecting	O
rights	O
Security	O
concerns	O
Local	O
economic	O
development	O
Our	O
approach	O
Local	O
hiring	O
Supplier	O
development	O
Supply	O
chain	O
management	O
Malaria	O
Partners	O
Program	O
Successes	O
World	O
Malaria	O
Day	O
Math	O
and	O
science	O
Be	O
an	O
engineer	O
Bernard	O
Harris	O
Summer	O
Science	O
Camp	O
Change	O
the	O
Equation	O
Diversity	O
and	O
international	O
initiatives	O
Mickelson	O
ExxonMobil	O
Teachers	O
Academy	O
National	O
Math	O
and	O
Science	O
Initiative	O
Think	O
it	O
up	O
Other	O
programs	O
Partner	O
spotlight	O
Bernard	O
Harris	O
Summer	O
Science	O
Camp	O
Socioeconomics	O
Indigenous	O
peoples	O
Cultural	O
heritage	O
and	O
diversity	O
Human	O
rights	O
Land	O
use	O
and	O
resettlement	O
Transparency	O
and	O
corruption	O
Community	O
relations	O
Economic	O
development	O
Teacher	O
Appreciation	O
Week	O
Let	O
's	O
celebrate	O
our	O
teachers	O
Women	O
's	O
economic	O
opportunity	O
African	O
First	O
Ladies	O
Summit	O
Award-winning	O
mobile	O
service	O
for	O
women	O
entrepreneurs	O
Investing	O
in	O
women	O
Partners	O
Roadmap	O
for	O
promoting	O
women	O
's	O
economic	O
empowerment	O
Worldwide	O
giving	O
Employee	O
giving	O
ExxonMobil	O
Foundation	O
Giving	O
guidelines	O
Worldwide	O
Giving	O
Report	O
About	O
us	O
Guiding	O
principles	O
History	O
Management	O
Safety	O
and	O
health	O
Careers	O
Career	O
opportunities	O
Employment	O
policies	O
Global	O
diversity	O
Our	O
employees	O
Consumer	O
products	O
and	O
services	O
Customer	O
support	O
ExxonMobil	O
payment	O
and	O
rewards	O
