Timothy	PERSON
J.	PERSON
Mayopoulos	PERSON
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
David	PERSON
Benson	PERSON
,	O
Executive	O
Vice	O
President	O
Chief	O
Financial	O
Officer	O
Andrew	PERSON
Bon	PERSON
Salle	PERSON
,	O
Executive	O
Vice	O
President	O
Single-Family	DEPARTMENT
Business	DEPARTMENT
Brian	PERSON
P.	PERSON
Brooks	PERSON
,	O
Executive	O
Vice	O
President	O
,	O
General	O
Counsel	O
,	O
and	O
Corporate	O
Secretary	O
Joy	PERSON
Cianci	PERSON
,	O
Senior	O
Vice	O
President	O
Single-Family	DEPARTMENT
Credit	DEPARTMENT
Portfolio	DEPARTMENT
Management	DEPARTMENT
Maureen	PERSON
Davenport	PERSON
,	O
Senior	O
Vice	O
President	O
Chief	O
Communications	O
Officer	O
Jeffery	PERSON
R.	PERSON
Hayward	PERSON
,	O
Executive	O
Vice	O
President	O
and	O
Head	O
of	O
Multifamily	O
Nancy	PERSON
Jardini	PERSON
,	O
Senior	O
Vice	O
President	O
Chief	O
Compliance	O
Officer	O
Kimberly	PERSON
Johnson	PERSON
,	O
Senior	O
Vice	O
President	O
Chief	O
Risk	O
Officer	O
Bruce	PERSON
Lee	PERSON
,	O
Senior	O
Vice	O
President	O
Operations	DEPARTMENT
and	DEPARTMENT
Technology	DEPARTMENT
http://www.fanniemae.com/portal/about-us/company-overview/fm-leadership.html	O
