Merchant	O
Acquiring	O
Referral	O
Program	O
,	O
eCommerce	O
&	O
Mobile	O
Commerce	O
,	O
Internet	O
Banking	O
&	O
Bill	O
Pay	O
,	O
Frank	PERSON
Bisignano	PERSON
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
``	O
We	O
are	O
in	O
the	O
business	O
of	O
helping	O
our	O
clients	O
grow	O
their	O
businesses	O
.	O
We	O
want	O
to	O
work	O
with	O
each	O
of	O
you	O
to	O
prepare	O
for	O
the	O
next	O
generation	O
of	O
payments	O
technology	O
.	O
''	O
--	O
Frank	PERSON
Bisignano	PERSON
,	O
Chairman	TITLE
and	O
CEO	O
,	O
Cindy	PERSON
Armine-Klein	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Control	TITLE
Officer	TITLE
,	O
Dan	PERSON
Charron	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Head	TITLE
of	O
Global	DEPARTMENT
Business	DEPARTMENT
Solutions	DEPARTMENT
,	O
Guy	PERSON
Chiarello	PERSON
President	TITLE
,	O
Christopher	PERSON
Foskett	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Head	TITLE
of	O
Corporate	DEPARTMENT
&	DEPARTMENT
Business	DEPARTMENT
Development	DEPARTMENT
,	O
Andrew	PERSON
Gelb	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Global	O
Financial	O
Solutions	O
,	O
Jeff	PERSON
Hack	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Global	DEPARTMENT
Business	DEPARTMENT
Solutions	DEPARTMENT
,	O
Tom	PERSON
Higgins	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Administrative	TITLE
Officer	TITLE
,	O
Christine	PERSON
Larsen	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Operations	TITLE
Officer	TITLE
,	O
Gustavo	PERSON
Marin	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Head	TITLE
of	O
Latin	O
America	O
Region	O
,	O
Anthony	PERSON
S.	PERSON
Marino	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Head	TITLE
of	O
Human	DEPARTMENT
Resources	DEPARTMENT
,	O
Barry	PERSON
C.	PERSON
McCarthy	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Network	DEPARTMENT
and	DEPARTMENT
Security	DEPARTMENT
Solutions	DEPARTMENT
,	O
Michael	PERSON
Neborak	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Director	TITLE
of	O
Finance	O
,	O
Himanshu	PERSON
Patel	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Joseph	PERSON
Plumeri	PERSON
Vice	TITLE
Chairman	TITLE
,	O
Adam	PERSON
Rosman	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
General	TITLE
Counsel	TITLE
,	O
https://www.firstdata.com/en_us/about-first-data/leadership-team.html	O
