Michael	O
T.	O
McDonnell	O
,	O
President	O
&	O
Chief	O
Executive	O
Officer	O
,	O
Kurt	O
L.	O
Drake	O
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Compliance	O
Officer	O
,	O
Robert	O
D.	O
Kenny	O
,	O
Executive	O
Vice	O
President	O
,	O
Chief	O
Executive	O
Officer	O
,	O
General	O
Cable	O
Europe	O
and	O
Africa	O
,	O
Gregory	O
J.	O
Lampert	O
,	O
Executive	O
Vice	O
President	O
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
,	O
General	O
Cable	O
,	O
The	O
Americas	O
,	O
Emerson	O
C.	O
Moser	O
,	O
Senior	O
Vice	O
President	O
,	O
General	O
Counsel	O
and	O
Corporate	O
Secretary	O
,	O
Brian	O
J.	O
Robinson	O
,	O
Executive	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
,	O
http://investor.generalcable.com/phoenix.zhtml?c=81254&p=irol-govManage	O
