History	O
,	O
Our	O
Model	O
,	O
Our	O
Ethos	O
,	O
Leadership	O
,	O
Chairman	O
and	O
Chief	O
Executive	O
Officer	O
Phebe	O
N.	O
Novakovic	O
,	O
John	PERSON
P.	PERSON
Casey	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Marine	DEPARTMENT
Systems	DEPARTMENT
S.	PERSON
Daniel	PERSON
Johnson	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Information	DEPARTMENT
Systems	DEPARTMENT
and	DEPARTMENT
Technology	DEPARTMENT
President	TITLE
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
President	TITLE
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
,	O
Mark	PERSON
C.	PERSON
Roualet	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Combat	DEPARTMENT
Systems	DEPARTMENT
Gregory	PERSON
S.	PERSON
Gallopoulos	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
General	O
Counsel	O
and	O
Secretary	O
M.	PERSON
Amy	PERSON
Gilliland	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
and	DEPARTMENT
Administration	DEPARTMENT
Robert	PERSON
W.	PERSON
Helm	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Planning	DEPARTMENT
and	DEPARTMENT
Development	DEPARTMENT
Jason	PERSON
W.	PERSON
Aiken	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
Ira	PERSON
P.	PERSON
Berman	PERSON
,	O
Vice	TITLE
President	TITLE
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Administration	DEPARTMENT
and	DEPARTMENT
General	DEPARTMENT
Counsel	DEPARTMENT
,	O
Gulfstream	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Administration	DEPARTMENT
and	DEPARTMENT
General	DEPARTMENT
Counsel	DEPARTMENT
,	O
Gulfstream	O
,	O
Mark	PERSON
L.	PERSON
Burns	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
Gulfstream	O
President	TITLE
,	O
Gulfstream	O
,	O
Daniel	PERSON
G.	PERSON
Clare	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
Vice	TITLE
President	TITLE
,	O
Gulfstream	O
Vice	TITLE
President	TITLE
,	O
Gulfstream	O
,	O
David	PERSON
H.	PERSON
Fogg	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Treasurer	O
Jeffrey	PERSON
S.	PERSON
Geiger	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
Electric	DEPARTMENT
Boat	DEPARTMENT
President	TITLE
,	O
Electric	DEPARTMENT
Boat	DEPARTMENT
,	O
Firat	PERSON
H.	PERSON
Gezen	PERSON
,	O
President	TITLE
,	O
Ordnance	DEPARTMENT
and	DEPARTMENT
Tactical	DEPARTMENT
Systems	DEPARTMENT
President	TITLE
,	O
Ordnance	DEPARTMENT
and	DEPARTMENT
Tactical	DEPARTMENT
Systems	DEPARTMENT
,	O
Frederick	PERSON
J.	PERSON
Harris	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
Bath	O
Iron	O
Works	O
,	O
President	TITLE
,	O
NASSCO	O
President	TITLE
,	O
Bath	O
Iron	O
Works	O
,	O
President	TITLE
,	O
NASSCO	O
,	O
Kenneth	PERSON
R.	PERSON
Hayduk	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Tax	DEPARTMENT
Thomas	PERSON
W.	PERSON
Kirchmaier	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Special	DEPARTMENT
Projects	DEPARTMENT
Kimberly	PERSON
A.	PERSON
Kuryea	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Controller	TITLE
Christopher	PERSON
Marzilli	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
Mission	DEPARTMENT
Systems	DEPARTMENT
President	TITLE
,	O
Mission	DEPARTMENT
Systems	DEPARTMENT
,	O
Alfonso	PERSON
J.	PERSON
Ramonet	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
European	DEPARTMENT
Land	DEPARTMENT
Systems	DEPARTMENT
President	TITLE
,	O
European	DEPARTMENT
Land	DEPARTMENT
Systems	DEPARTMENT
,	O
Robert	PERSON
E.	PERSON
Smith	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
Jet	DEPARTMENT
Aviation	DEPARTMENT
President	TITLE
,	O
Jet	DEPARTMENT
Aviation	DEPARTMENT
,	O
Gary	PERSON
L.	PERSON
Whited	PERSON
,	O
Vice	TITLE
President	TITLE
President	TITLE
,	O
Land	DEPARTMENT
Systems	DEPARTMENT
President	TITLE
,	O
Land	DEPARTMENT
Systems	DEPARTMENT
,	O
Back	O
to	O
Top	O
,	O
www.generaldynamics.com/about/executive-team/	O
