Leadership	O
,	O
Executive	O
Officers	O
Board	O
of	O
Directors	O
,	O
Executive	O
Officers	O
,	O
Management	O
Committee	O
,	O
Lloyd	O
C.	O
Blankfein	O
Chairman	O
and	O
Chief	O
Executive	O
Officer	O
,	O
Gary	O
D.	O
Cohn	O
President	O
and	O
Chief	O
Operating	O
Officer	O
,	O
Michael	O
Sherwood	O
Vice	O
Chairman	O
,	O
Mark	O
Schwartz	O
Vice	O
Chairman	O
and	O
Chairman	O
of	O
Goldman	O
Sachs	O
Asia	O
Pacific	O
,	O
Harvey	O
M.	O
Schwartz	O
Executive	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
,	O
Gregory	O
K.	O
Palm	O
Executive	O
Vice	O
President	O
,	O
General	O
Counsel	O
and	O
Secretary	O
of	O
the	O
Corporation	O
,	O
Alan	O
M.	O
Cohen	O
Executive	O
Vice	O
President	O
and	O
Head	O
of	O
Global	O
Compliance	O
,	O
John	O
F.	O
W.	O
Rogers	O
Executive	O
Vice	O
President	O
,	O
Chief	O
of	O
Staff	O
and	O
Secretary	O
to	O
the	O
Board	O
,	O
Edith	O
W.	O
Cooper	O
Executive	O
Vice	O
President	O
and	O
Global	O
Head	O
of	O
Human	O
Capital	O
Management	O
,	O
http://www.goldmansachs.com/who-we-are/leadership/executive-officers/	O
