Facebook	O
,	O
Twitter	O
,	O
LinkedIn	O
,	O
Google	O
+	O
,	O
Blogger	O
,	O
Digg	O
,	O
James	PERSON
H.	PERSON
Quigley	PERSON
,	O
Chairman	TITLE
of	O
the	O
Board	O
,	O
Former	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Deloitte	O
Touche	O
Tohmatsu	O
Limited	O
,	O
Rodney	PERSON
F.	PERSON
Chase	PERSON
,	O
Former	TITLE
Deputy	TITLE
Group	TITLE
Chief	TITLE
Executive	TITLE
,	O
BP	O
,	O
Terrence	PERSON
J.	PERSON
Checki	PERSON
,	O
Former	TITLE
Executive	TITLE
Vice	TITLE
President	TITLE
and	TITLE
Head	TITLE
,	O
Emerging	DEPARTMENT
Markets	DEPARTMENT
and	DEPARTMENT
International	DEPARTMENT
Affairs	DEPARTMENT
,	O
Federal	DEPARTMENT
Reserve	DEPARTMENT
Bank	DEPARTMENT
of	DEPARTMENT
New	DEPARTMENT
York	DEPARTMENT
,	O
Harvey	PERSON
Golub	PERSON
,	O
Former	TITLE
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
American	DEPARTMENT
Express	DEPARTMENT
,	O
John	PERSON
B.	PERSON
Hess	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Edith	PERSON
E.	PERSON
Holiday	PERSON
,	O
Former	TITLE
Assistant	TITLE
to	O
the	O
President	TITLE
of	O
the	O
United	O
States	O
and	O
Secretary	O
of	O
the	O
Cabinet	O
;	O
former	TITLE
General	TITLE
Counsel	TITLE
,	O
United	DEPARTMENT
States	DEPARTMENT
Department	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
Treasury	DEPARTMENT
,	O
Dr.	PERSON
Risa	PERSON
Lavizzo-Mourey	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
The	DEPARTMENT
Robert	DEPARTMENT
Wood	DEPARTMENT
Johnson	DEPARTMENT
Foundation	DEPARTMENT
,	O
David	PERSON
McManus	PERSON
,	O
Former	TITLE
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Pioneer	DEPARTMENT
Natural	DEPARTMENT
Resources	DEPARTMENT
,	O
Dr.	PERSON
Kevin	PERSON
O.	PERSON
Meyers	PERSON
,	O
Former	TITLE
Senior	TITLE
Vice	TITLE
President	TITLE
of	O
E&P	DEPARTMENT
for	O
the	O
Americas	O
,	O
ConocoPhillips	O
,	O
John	PERSON
H.	PERSON
Mullin	PERSON
III	PERSON
,	O
Chairman	TITLE
,	O
Ridgeway	DEPARTMENT
Farm	DEPARTMENT
LLC	DEPARTMENT
;	O
former	TITLE
Managing	TITLE
Director	TITLE
,	O
Dillon	O
,	O
Read	O
&	O
Co.	O
.	O
Inc.	O
,	O
Fredric	PERSON
G.	PERSON
Reynolds	PERSON
,	O
Former	TITLE
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
