Executive	O
officers	O
,	O
Corporate	O
governance	O
guidelines	O
,	O
Trust	O
and	O
compliance	O
,	O
Bylaws	O
,	O
Other	O
relationships	O
,	O
Director	O
compensation	O
,	O
Executive	O
compensation	O
,	O
Beneficial	O
ownership	O
,	O
Director	O
independence	O
standards	O
,	O
Contact	O
the	O
board	O
,	O
Director	O
attendance	O
at	O
annual	O
meeting	O
of	O
stockholders	O
,	O
Press	O
room	O
biographies	O
,	O
Virginia	PERSON
M.	PERSON
Rometty	PERSON
Chairman	O
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
Simon	O
J.	O
Beaumont	O
Vice	O
President	O
and	O
Treasurer	O
Michelle	PERSON
H.	PERSON
Browdy	PERSON
Senior	O
Vice	O
President	O
,	O
Legal	DEPARTMENT
and	DEPARTMENT
Regulatory	DEPARTMENT
Affairs	DEPARTMENT
,	O
and	O
General	DEPARTMENT
Counsel	DEPARTMENT
Erich	PERSON
Clementi	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Bruno	PERSON
V.	PERSON
Di	PERSON
Leo	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Diane	PERSON
Gherson	PERSON
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Jon	PERSON
C.	PERSON
Iwata	PERSON
Senior	O
Vice	O
President	O
,	O
Marketing	DEPARTMENT
and	DEPARTMENT
Communications	DEPARTMENT
Martin	PERSON
Jetter	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Technology	DEPARTMENT
Services	DEPARTMENT
James	PERSON
J.	PERSON
Kavanaugh	PERSON
Senior	O
Vice	O
President	O
,	O
Transformation	DEPARTMENT
and	DEPARTMENT
Operations	DEPARTMENT
Dr.	O
John	O
E.	O
Kelly	O
,	O
III	O
Senior	O
Vice	O
President	O
,	O
Solutions	DEPARTMENT
Portfolio	DEPARTMENT
and	DEPARTMENT
Research	DEPARTMENT
Kenneth	PERSON
M.	PERSON
Keverian	PERSON
Senior	O
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Strategy	DEPARTMENT
Arvind	PERSON
Krishna	PERSON
Senior	O
Vice	O
President	O
and	O
Director	O
of	O
IBM	DEPARTMENT
Research	DEPARTMENT
Robert	PERSON
J.	PERSON
LeBlanc	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Cloud	DEPARTMENT
Christina	O
M.	O
Montgomery	O
Vice	O
President	O
,	O
Assistant	O
General	DEPARTMENT
Counsel	DEPARTMENT
and	O
Secretary	O
Robert	PERSON
J.	PERSON
Picciano	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Analytics	DEPARTMENT
Michael	PERSON
D.	PERSON
Rhodin	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Watson	DEPARTMENT
Tom	PERSON
Rosamilia	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Systems	DEPARTMENT
Martin	PERSON
Schroeter	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Stanley	O
J.	O
Sutula	O
III	O
Vice	O
President	O
and	O
Controller	O
Bridget	PERSON
A.	PERSON
van	PERSON
Kralingen	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Business	DEPARTMENT
Services	DEPARTMENT
Back	O
to	O
top	O
Virginia	PERSON
M.	PERSON
Rometty	PERSON
,	O
Chairman	O
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
Michelle	PERSON
H.	PERSON
Browdy	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Legal	DEPARTMENT
and	DEPARTMENT
Regulatory	DEPARTMENT
Affairs	DEPARTMENT
,	O
and	O
General	DEPARTMENT
Counsel	DEPARTMENT
Erich	PERSON
Clementi	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Bruno	PERSON
V.	PERSON
Di	PERSON
Leo	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Diane	PERSON
Gherson	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Jon	PERSON
C.	PERSON
Iwata	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Marketing	DEPARTMENT
and	DEPARTMENT
Communications	DEPARTMENT
Martin	PERSON
Jetter	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Technology	DEPARTMENT
Services	DEPARTMENT
James	PERSON
J.	PERSON
Kavanaugh	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Transformation	DEPARTMENT
and	DEPARTMENT
Operations	DEPARTMENT
Dr.	O
John	O
E.	O
Kelly	O
,	O
III	O
,	O
Senior	O
Vice	O
President	O
,	O
Solutions	DEPARTMENT
Portfolio	DEPARTMENT
and	DEPARTMENT
Research	DEPARTMENT
Kenneth	PERSON
M.	PERSON
Keverian	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Strategy	DEPARTMENT
Arvind	PERSON
Krishna	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Director	O
of	O
IBM	DEPARTMENT
Research	DEPARTMENT
Robert	PERSON
J.	PERSON
LeBlanc	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Cloud	DEPARTMENT
Robert	PERSON
J.	PERSON
Picciano	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Analytics	DEPARTMENT
Michael	PERSON
D.	PERSON
Rhodin	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Watson	DEPARTMENT
Tom	PERSON
Rosamilia	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Systems	DEPARTMENT
Martin	PERSON
Schroeter	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Bridget	PERSON
A.	PERSON
van	PERSON
Kralingen	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Business	DEPARTMENT
Services	DEPARTMENT
Press	O
room	O
biographies	O
Virginia	PERSON
M.	PERSON
Rometty	PERSON
Chairman	O
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
Simon	O
J.	O
Beaumont	O
Vice	O
President	O
and	O
Treasurer	O
Michelle	PERSON
H.	PERSON
Browdy	PERSON
Senior	O
Vice	O
President	O
,	O
Legal	DEPARTMENT
and	DEPARTMENT
Regulatory	DEPARTMENT
Affairs	DEPARTMENT
,	O
and	O
General	DEPARTMENT
Counsel	DEPARTMENT
Erich	PERSON
Clementi	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Bruno	PERSON
V.	PERSON
Di	PERSON
Leo	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Sales	DEPARTMENT
&	DEPARTMENT
Distribution	DEPARTMENT
Diane	PERSON
Gherson	PERSON
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Jon	PERSON
C.	PERSON
Iwata	PERSON
Senior	O
Vice	O
President	O
,	O
Marketing	DEPARTMENT
and	DEPARTMENT
Communications	DEPARTMENT
Martin	PERSON
Jetter	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Technology	DEPARTMENT
Services	DEPARTMENT
James	PERSON
J.	PERSON
Kavanaugh	PERSON
Senior	O
Vice	O
President	O
,	O
Transformation	DEPARTMENT
and	DEPARTMENT
Operations	DEPARTMENT
Dr.	O
John	O
E.	O
Kelly	O
,	O
III	O
Senior	O
Vice	O
President	O
,	O
Solutions	DEPARTMENT
Portfolio	DEPARTMENT
and	DEPARTMENT
Research	DEPARTMENT
Kenneth	PERSON
M.	PERSON
Keverian	PERSON
Senior	O
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Strategy	DEPARTMENT
Arvind	PERSON
Krishna	PERSON
Senior	O
Vice	O
President	O
and	O
Director	O
of	O
IBM	DEPARTMENT
Research	DEPARTMENT
Robert	PERSON
J.	PERSON
LeBlanc	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Cloud	DEPARTMENT
Christina	O
M.	O
Montgomery	O
Vice	O
President	O
,	O
Assistant	O
General	DEPARTMENT
Counsel	DEPARTMENT
and	O
Secretary	O
Robert	PERSON
J.	PERSON
Picciano	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Analytics	DEPARTMENT
Michael	PERSON
D.	PERSON
Rhodin	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Watson	DEPARTMENT
Tom	PERSON
Rosamilia	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Systems	DEPARTMENT
Martin	PERSON
Schroeter	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Stanley	O
J.	O
Sutula	O
III	O
Vice	O
President	O
and	O
Controller	O
Bridget	PERSON
A.	PERSON
van	PERSON
Kralingen	PERSON
Senior	O
Vice	O
President	O
,	O
IBM	DEPARTMENT
Global	DEPARTMENT
Business	DEPARTMENT
Services	DEPARTMENT
Back	O
to	O
top	O
,	O
FAQ	O
,	O
Glossary	O
,	O
Guide	O
to	O
financial	O
statements	O
,	O
How	O
to	O
read	O
annual	O
reports	O
,	O
Provide	O
feedback	O
,	O
Investor	O
relations	O
search	O
Search	O
in	O
:	O
All	O
of	O
IBMInvestor	O
relationsInvestor	O
relations	O
FAQ	O
For	O
:	O
Learn	O
about	O
IBM	O
About	O
IBM	O
Our	O
strategy	O
Latest	O
news	O
Investor	O
related	O
news	O
Corporate	O
responsibility	O
IBM	O
Archives	O
Help	O
and	O
feedback	O
FAQ	O
Glossary	O
Guide	O
to	O
financial	O
statements	O
How	O
to	O
read	O
annual	O
reports	O
Provide	O
feedback	O
Investor	O
relations	O
subscriptions	O
RSS	O
feeds	O
,	O
www.ibm.com/investor/governance/executive-officers.html	O
