Overview	O
,	O
Stock	O
Information	O
,	O
Analyst	O
Coverage	O
,	O
Press	O
Releases	O
,	O
Events	O
&	O
Presentations	O
,	O
Financial	O
Information	O
,	O
Asset	O
List	O
,	O
Investor	O
FAQs	O
,	O
Contact	O
Us	O
,	O
Corporate	O
Governance	O
,	O
Conflict	O
Minerals	O
Policy	O
,	O
Liberty	O
Announces	O
When-Issued	O
Trading	O
,	O
Ex-Dividend	O
Date	O
and	O
Trading	O
Tier	O
Information	O
for	O
Spin-Off	O
of	O
CommerceHub	O
,	O
07/20/16	O
Liberty	O
Interactive	O
Corporation	O
Announces	O
Completion	O
of	O
CommerceHub	O
Spin-Off	O
07/22/16	O
Liberty	O
Announces	O
When-Issued	O
Trading	O
,	O
Ex-Dividend	O
Date	O
and	O
Trading	O
Tier	O
Information	O
for	O
Spin-Off	O
of	O
CommerceHub	O
07/20/16	O
Liberty	O
Announces	O
Semi-Annual	O
Interest	O
Payment	O
and	O
Excess	O
Regular	O
Cash	O
Dividend	O
Amount	O
on	O
3.5	O
%	O
Senior	O
Exchangeable	O
Debentures	O
Due	O
2031 07/15	O
/	O
16	O
Liberty	O
Announces	O
New	O
Proposed	O
Distribution	O
Date	O
for	O
Spin-off	O
of	O
CommerceHub	O
07/08/16	O
View	O
all	O
''	O
,	O
Management	O
Liberty	O
Interactive	O
Corporation	O
Display	O
all	O
Bios	O
,	O
John	PERSON
C.	PERSON
Malone	PERSON
Chairman	O
Dr.	O
John	PERSON
C.	PERSON
Malone	PERSON
-	O
is	O
Chairman	O
of	O
the	O
Board	O
of	O
Liberty	O
Media	O
Corporation	O
,	O
Liberty	O
Interactive	O
Corporation	O
,	O
Liberty	O
Broadband	O
Corporation	O
and	O
Liberty	O
Global	O
plc.	O
.	O
From	O
1996	O
to	O
March	O
1999	O
,	O
when	O
Tele-Communications	O
,	O
Inc.	O
-LRB-	O
TCI	O
-RRB-	O
merged	O
with	O
AT&T	O
Corp.	O
,	O
he	O
was	O
Chairman	O
and	O
Chief	O
Executive	O
Officer	O
of	O
TCI	O
.	O
Previous	O
to	O
that	O
,	O
from	O
1973	O
to	O
1996	O
,	O
Dr.	O
Malone	O
served	O
as	O
President	O
and	O
Chief	O
Executive	O
Officer	O
of	O
TCI	O
.	O
He	O
currently	O
serves	O
on	O
the	O
Board	O
of	O
Directors	O
for	O
Discovery	O
Communications	O
,	O
Inc.	O
,	O
Charter	O
Communications	O
,	O
Inc.	O
,	O
Expedia	O
,	O
Inc.	O
and	O
Lions	O
Gate	O
Entertainment	O
Corp.	O
.	O
Additionally	O
,	O
Dr.	O
Malone	O
is	O
Chairman	O
Emeritus	O
of	O
the	O
Board	O
for	O
Cable	O
Television	O
Laboratories	O
,	O
Inc.	O
.	O
Born	O
in	O
1941	O
in	O
Milford	O
,	O
Connecticut	O
,	O
Dr.	O
Malone	O
was	O
a	O
Phi	O
Beta	O
Kappa	O
and	O
merit	O
scholar	O
at	O
Yale	O
University	O
where	O
he	O
obtained	O
a	O
Bachelor	O
of	O
Science	O
in	O
Electrical	O
Engineering	O
and	O
Economics	O
in	O
1963	O
.	O
He	O
also	O
received	O
a	O
Master	O
of	O
Science	O
in	O
Industrial	O
Management	O
from	O
Johns	O
Hopkins	O
in	O
1964	O
and	O
a	O
Doctor	O
of	O
Philosophy	O
-LRB-	O
Ph.D.	O
-RRB-	O
in	O
Operations	O
Research	O
from	O
Johns	O
Hopkins	O
in	O
1967	O
.	O
He	O
has	O
received	O
two	O
Honorary	O
Degrees	O
for	O
Doctorate	O
of	O
Human	O
Letters	O
;	O
the	O
first	O
from	O
Denver	O
University	O
in	O
1992	O
and	O
the	O
second	O
from	O
Johns	O
Hopkins	O
University	O
in	O
2012	O
.	O
Dr.	O
Malone	O
began	O
his	O
career	O
in	O
1963	O
at	O
Bell	O
Telephone	O
Laboratories/AT	O
&	O
T	O
in	O
economic	O
planning	O
and	O
research	O
and	O
development	O
.	O
In	O
1968	O
,	O
he	O
joined	O
McKinsey	O
&	O
Company	O
and	O
in	O
1970	O
he	O
became	O
Group	O
Vice	O
President	O
at	O
General	O
Instrument	O
Corporation	O
-LRB-	O
GI	O
-RRB-	O
.	O
He	O
was	O
later	O
named	O
President	O
of	O
Jerrold	O
Electronics	O
,	O
a	O
GI	O
subsidiary	O
.	O
He	O
served	O
as	O
Director	O
of	O
the	O
National	O
Cable	O
Television	O
Association	O
-LRB-	O
NCTA	O
-RRB-	O
from	O
1974	O
to	O
1977	O
and	O
again	O
from	O
1980	O
to	O
1993	O
.	O
During	O
the	O
1977-1978	O
term	O
,	O
Dr.	O
Malone	O
was	O
the	O
NCTA	O
's	O
Treasurer	O
.	O
In	O
1983	O
,	O
Dr.	O
Malone	O
received	O
the	O
NCTA	O
Vanguard	O
Award	O
,	O
one	O
of	O
the	O
highest	O
honors	O
in	O
the	O
cable	O
television	O
industry	O
.	O
He	O
has	O
received	O
many	O
other	O
awards	O
and	O
honors	O
which	O
include	O
:	O
TVC	O
Magazine	O
Man	O
of	O
the	O
Year	O
Award	O
-	O
1981	O
;	O
Wall	O
Street	O
Transcript	O
's	O
Gold	O
Award	O
for	O
the	O
cable	O
industry	O
's	O
best	O
Chief	O
Executive	O
Officer	O
-	O
1982	O
,	O
1985	O
,	O
1986	O
and	O
1987	O
;	O
Wall	O
Street	O
Transcript	O
's	O
Silver	O
Award	O
in	O
1984	O
and	O
1989	O
;	O
Women	O
In	O
Cable	O
's	O
Betsy	O
Magness	O
Fellowship	O
Honoree	O
;	O
University	O
of	O
Pennsylvania	O
Wharton	O
School	O
Sol	O
C.	O
Snider	O
Entrepreneurial	O
Center	O
Award	O
of	O
Merit	O
for	O
Distinguished	O
Entrepreneurship	O
;	O
American	O
Jewish	O
Committee	O
Sherrill	O
C.	O
Corwin	O
Human	O
Relations	O
Award	O
;	O
Communications	O
Technology	O
Magazine	O
Service	O
and	O
Technology	O
Award	O
;	O
Bronze	O
Award	O
-	O
1993	O
Financial	O
World	O
CEO	O
of	O
the	O
Year	O
Competition	O
;	O
The	O
Hopkins	O
Distinguished	O
Alumnus	O
Award	O
in	O
1994	O
and	O
in	O
2004	O
the	O
Hopkins	O
Medal	O
,	O
the	O
school	O
's	O
highest	O
award	O
.	O
He	O
is	O
also	O
recognized	O
as	O
a	O
Yale	O
Sterling	O
Fellow	O
