Executive	O
Leadership	O
,	O
Board	O
of	O
Directors	O
,	O
James	PERSON
S.	PERSON
Tisch	PERSON
Office	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
President	TITLE
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
James	PERSON
S.	PERSON
Tisch	PERSON
Office	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
President	TITLE
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
James	PERSON
S.	PERSON
Tisch	PERSON
has	O
been	O
president	O
and	O
chief	O
executive	O
officer	O
of	O
Loews	O
Corporation	O
since	O
1998	O
.	O
Read	O
More	O
,	O
Andrew	PERSON
H.	PERSON
Tisch	PERSON
Office	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
President	TITLE
,	O
Co-Chairman	TITLE
of	O
the	O
Board	O
,	O
and	O
Chairman	TITLE
of	O
the	O
Executive	DEPARTMENT
Committee	DEPARTMENT
,	O
Andrew	PERSON
H.	PERSON
Tisch	PERSON
Office	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
President	TITLE
,	O
Co-Chairman	TITLE
of	O
the	O
Board	O
,	O
and	O
Chairman	TITLE
of	O
the	O
Executive	DEPARTMENT
Committee	DEPARTMENT
Andrew	PERSON
H.	PERSON
Tisch	PERSON
is	O
co-chairman	O
of	O
the	O
board	O
and	O
chairman	O
of	O
the	O
executive	O
committee	O
of	O
Loews	O
Corporation	O
.	O
Read	O
More	O
,	O
Jonathan	PERSON
M.	PERSON
Tisch	PERSON
Office	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
President	TITLE
,	O
Co-Chairman	TITLE
of	O
the	O
Board	O
,	O
Chairman	TITLE
of	O
Loews	DEPARTMENT
Hotels	DEPARTMENT
,	O
Jonathan	PERSON
M.	PERSON
Tisch	PERSON
Office	DEPARTMENT
of	DEPARTMENT
the	DEPARTMENT
President	TITLE
,	O
Co-Chairman	TITLE
of	O
the	O
Board	O
,	O
Chairman	TITLE
of	O
Loews	DEPARTMENT
Hotels	DEPARTMENT
Jonathan	PERSON
M.	PERSON
Tisch	PERSON
is	O
co-chairman	O
of	O
the	O
board	O
of	O
Loews	O
Corporation	O
and	O
chairman	O
of	O
its	O
Loews	DEPARTMENT
Hotels	DEPARTMENT
subsidiary	O
.	O
Read	O
More	O
,	O
David	PERSON
B.	PERSON
Edelson	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
David	PERSON
B.	PERSON
Edelson	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
David	O
Edelson	O
is	O
senior	O
vice	O
president	O
and	O
chief	O
financial	O
officer	O
of	O
Loews	O
Corporation	O
.	O
Read	O
More	O
,	O
Richard	PERSON
W.	PERSON
Scott	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Investment	TITLE
Officer	TITLE
,	O
Richard	PERSON
W.	PERSON
Scott	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Investment	TITLE
Officer	TITLE
Richard	PERSON
W.	PERSON
Scott	PERSON
joined	O
Loews	O
as	O
senior	O
vice	O
president	O
,	O
chief	O
investment	O
officer	O
in	O
January	O
2009	O
.	O
Read	O
More	O
,	O
Kenneth	PERSON
I.	PERSON
Siegel	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Kenneth	PERSON
I.	PERSON
Siegel	PERSON
is	O
senior	O
vice	O
president	O
of	O
Loews	O
Corporation	O
,	O
which	O
he	O
joined	O
in	O
2009.	O
,	O
Read	O
More	O
,	O
Susan	PERSON
Becker	PERSON
Vice	TITLE
President	TITLE
,	O
Tax	DEPARTMENT
,	O
Susan	PERSON
Becker	PERSON
is	O
vice	O
president	O
of	O
tax	O
for	O
Loews	O
Corporation.	O
,	O
Read	O
More	O
,	O
Robert	PERSON
F.	PERSON
Crook	PERSON
Vice	TITLE
President	TITLE
,	O
Internal	DEPARTMENT
Audit	DEPARTMENT
,	O
Robert	PERSON
F.	PERSON
Crook	PERSON
Vice	TITLE
President	TITLE
,	O
Internal	DEPARTMENT
Audit	DEPARTMENT
Robert	PERSON
F.	PERSON
Crook	PERSON
joined	O
Loews	O
Corporation	O
in	O
May	O
2005	O
as	O
director	O
of	O
compliance	O
and	O
was	O
promoted	O
to	O
his	O
current	O
position	O
in	O
November	O
2006	O
.	O
Read	O
More	O
,	O
Laura	PERSON
K.	PERSON
Cushing	PERSON
Vice	TITLE
President	TITLE
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
,	O
Laura	PERSON
K.	PERSON
Cushing	PERSON
Vice	TITLE
President	TITLE
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Laura	O
Cushing	O
is	O
vice	O
president	O
of	O
human	O
resources	O
for	O
Loews	O
Corporation	O
.	O
Read	O
More	O
,	O
Herb	PERSON
E.	PERSON
Hofmann	PERSON
Vice	TITLE
President	TITLE
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
,	O
Herb	PERSON
E.	PERSON
Hofmann	PERSON
Vice	TITLE
President	TITLE
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
Herb	O
Hofmann	O
is	O
vice	O
president	O
of	O
information	O
technology	O
for	O
Loews	O
Corporation	O
.	O
Read	O
More	O
,	O
Jonathan	PERSON
Koplovitz	PERSON
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Development	DEPARTMENT
,	O
Jonathan	PERSON
Koplovitz	PERSON
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Development	DEPARTMENT
Jonathan	PERSON
Koplovitz	PERSON
is	O
vice	O
president	O
,	O
corporate	O
development	O
for	O
Loews	O
Corporation	O
.	O
Read	O
More	O
,	O
Audrey	PERSON
A.	PERSON
Rampinelli	PERSON
Vice	TITLE
President	TITLE
,	O
Risk	DEPARTMENT
Management	DEPARTMENT
,	O
Audrey	PERSON
A.	PERSON
Rampinelli	PERSON
Vice	TITLE
President	TITLE
,	O
Risk	DEPARTMENT
Management	DEPARTMENT
As	O
vice	O
president	O
,	O
risk	O
management	O
,	O
Audrey	PERSON
A.	PERSON
Rampinelli	PERSON
is	O
responsible	O
for	O
the	O
risk	O
management	O
and	O
insurance	O
operations	O
for	O
Loews	O
and	O
its	O
subsidiaries	O
.	O
Read	O
More	O
,	O
Mark	PERSON
S.	PERSON
Schwartz	PERSON
Vice	TITLE
President	TITLE
,	O
Chief	DEPARTMENT
Accounting	DEPARTMENT
Officer	DEPARTMENT
,	O
Mark	PERSON
S.	PERSON
Schwartz	PERSON
Vice	TITLE
President	TITLE
,	O
Chief	DEPARTMENT
Accounting	DEPARTMENT
Officer	DEPARTMENT
Mark	PERSON
S.	PERSON
Schwartz	PERSON
is	O
vice	O
president	O
and	O
chief	O
accounting	O
officer	O
-LRB-	O
CAO	O
-RRB-	O
of	O
Loews	O
Corporation	O
.	O
Read	O
More	O
,	O
Mary	PERSON
Skafidas	PERSON
Vice	TITLE
President	TITLE
,	O
Investor	DEPARTMENT
Relations	DEPARTMENT
and	DEPARTMENT
Corporate	DEPARTMENT
Communications	DEPARTMENT
,	O
Mary	PERSON
Skafidas	PERSON
Vice	TITLE
President	TITLE
,	O
Investor	DEPARTMENT
Relations	DEPARTMENT
and	DEPARTMENT
Corporate	DEPARTMENT
Communications	DEPARTMENT
Mary	PERSON
Skafidas	PERSON
is	O
vice	O
president	O
of	O
investor	O
relations	O
and	O
corporate	O
communications	O
for	O
Loews	O
.	O
Read	O
More	O
,	O
Edmund	PERSON
Unneland	PERSON
Treasurer	TITLE
,	O
Edmund	PERSON
Unneland	PERSON
Treasurer	TITLE
As	O
treasurer	O
,	O
Edmund	PERSON
Unneland	PERSON
oversees	O
all	O
activities	O
regarding	O
cash	O
management	O
and	O
securities	O
operations	O
.	O
Read	O
More	O
,	O
www.loews.com/leadershipcategory/executive-leadership/	O
