Improving	O
Agriculture	O
,	O
Featured	O
Advancing	O
Products	O
and	O
Practices	O
to	O
Fight	O
Climate	DEPARTMENT
Change	O
In	O
December	O
2015	O
,	O
Monsanto	O
announced	O
a	O
first-of-its-kind	O
program	O
to	O
introduce	O
a	O
model	O
for	O
carbon	O
neutral	O
crop	O
production	O
that	O
will	O
help	O
reduce	O
the	O
carbon	O
footprint	O
of	O
crop	O
production	O
.	O
Partnerships	O
&	O
Projects	O
Conservation	O
International	O
Field	O
to	O
Market	O
Honey	O
Bee	O
Health	O
The	O
Monarch	O
Butterfly	O
Monsanto	O
's	O
Beachell-Borlaug	O
International	O
Scholars	O
Program	O
Seedbed	O
of	O
the	O
Future	O
WEMA	O
Youth	O
Focused	O
Partnerships	O
In	O
This	O
Section	O
Why	O
Does	O
Agriculture	O
Need	O
to	O
Be	O
Improved	O
?	O
What	O
Is	O
Monsanto	O
Doing	O
to	O
Help	O
?	O
How	O
Are	O
We	O
Doing	O
It	O
?	O
Features	O
Featured	O
Advancing	O
Products	O
and	O
Practices	O
to	O
Fight	O
Climate	DEPARTMENT
Change	O
,	O
In	O
December	O
2015	O
,	O
Monsanto	O
announced	O
a	O
first-of-its-kind	O
program	O
to	O
introduce	O
a	O
model	O
for	O
carbon	O
neutral	O
crop	O
production	O
that	O
will	O
help	O
reduce	O
the	O
carbon	O
footprint	O
of	O
crop	O
production	O
.	O
Home	O
/	O
Who	O
We	O
Are	O
/	O
Company	O
Leadership	O
,	O
Company	O
Leadership	O
Hugh	O
GrantChairman	O
and	O
Chief	O
Executive	O
Officer	O
Brett	O
D.	O
BegemannPresident	O
and	O
Chief	O
Operating	O
Officer	O
Pierre	O
CourdurouxSenior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Dr.	O
Robert	O
T.	O
FraleyExecutive	O
Vice	O
President	O
and	O
Chief	O
Technology	O
Officer	O
Michael	O
J.	O
FrankVice	O
President	O
,	O
Chief	O
Commercial	O
Officer	O
Janet	O
M.	O
HollowaySenior	O
Vice	O
President	O
,	O
Chief	O
of	O
Staff	O
and	O
Community	O
Relations	O
Steven	O
C.	O
MizellExecutive	O
Vice	O
President	O
and	O
Chief	O
Human	O
Resources	O
Officer	O
Duraiswami	O
NarainVice	O
President	O
and	O
Treasurer	O
Kerry	O
J.	O
PreeteExecutive	O
Vice	O
President	O
and	O
Chief	O
Strategy	O
Officer	O
Nicole	O
M.	O
RingenbergVice	O
President	O
and	O
Controller	O
David	O
F.	O
SnivelyExecutive	O
Vice	O
President	O
,	O
Secretary	O
and	O
General	O
Counsel	O
Dr.	O
Michael	O
K.	O
SternVice	O
President	O
,	O
and	O
Chief	O
Executive	O
Officer	O
,	O
Climate	DEPARTMENT
Related	O
Resources	O
Board	O
of	O
Directors	O
''	O
Hugh	PERSON
Grant	PERSON
,	O
Chairman	O
and	O
Chief	O
Executive	O
Officer	O
Brett	PERSON
D.	PERSON
Begemann	PERSON
,	O
President	O
and	O
Chief	O
Operating	O
Officer	O
Pierre	PERSON
Courduroux	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Dr.	PERSON
Robert	PERSON
T.	PERSON
Fraley	PERSON
,	O
Executive	O
Vice	O
President	O
and	O
Chief	O
Technology	O
Officer	O
Michael	PERSON
J.	PERSON
Frank	PERSON
,	O
Vice	O
President	O
,	O
Chief	O
Commercial	O
Officer	O
Janet	PERSON
M.	PERSON
Holloway	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Chief	O
of	O
Staff	O
and	O
Community	O
Relations	O
Steven	PERSON
C.	PERSON
Mizell	PERSON
,	O
Executive	O
Vice	O
President	O
and	O
Chief	O
Human	O
Resources	O
Officer	O
Duraiswami	PERSON
Narain	PERSON
,	O
Vice	O
President	O
and	O
Treasurer	O
Kerry	PERSON
J.	PERSON
Preete	PERSON
,	O
Executive	O
Vice	O
President	O
and	O
Chief	O
Strategy	O
Officer	O
Nicole	PERSON
M.	PERSON
Ringenberg	PERSON
,	O
Vice	O
President	O
and	O
Controller	O
David	PERSON
F.	PERSON
Snively	PERSON
,	O
Executive	O
Vice	O
President	O
,	O
Secretary	O
and	O
General	O
Counsel	O
Dr.	PERSON
Michael	PERSON
K.	PERSON
Stern	PERSON
,	O
Vice	O
President	O
,	O
and	O
Chief	O
Executive	O
Officer	O
,	O
Climate	DEPARTMENT
www.monsanto.com/whoweare/pages/monsanto-leadership.aspx	O
