Michael	PERSON
B.	PERSON
Polk	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Newell	DEPARTMENT
Brands	DEPARTMENT
,	O
Mark	PERSON
S.	PERSON
Tarchetti	PERSON
,	O
President	TITLE
,	O
Newell	DEPARTMENT
Brands	DEPARTMENT
,	O
Ralph	PERSON
Nicoletti	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Newell	DEPARTMENT
Brands	DEPARTMENT
,	O
William	PERSON
A.	PERSON
Burke	PERSON
III	PERSON
,	O
President	TITLE
,	O
Jarden	DEPARTMENT
Group	DEPARTMENT
,	O
Bill	O
Burke	O
leads	O
the	O
Jarden	O
,	O
Group	O
in	O
alignment	O
with	O
Newell	DEPARTMENT
Brands	DEPARTMENT
strategy	O
and	O
direction	O
.	O
He	O
is	O
responsible	O
for	O
developing	O
best-in-class	O
processes	O
and	O
capabilities	O
,	O
achieving	O
optimal	O
efficiencies	O
and	O
delivering	O
against	O
aggressive	O
business	O
objectives	O
.	O
,	O
Joseph	PERSON
A.	PERSON
Arcuri	PERSON
,	O
Chief	TITLE
Commercial	TITLE
Officer	TITLE
,	O
Newell	DEPARTMENT
Rubbermaid	DEPARTMENT
Group	DEPARTMENT
,	O
Fiona	PERSON
Laird	PERSON
,	O
Chief	TITLE
Human	TITLE
Resources	TITLE
and	TITLE
Communications	TITLE
Officer	TITLE
,	O
Newell	DEPARTMENT
Brands	DEPARTMENT
,	O
Bradford	O
Turner	O
,	O
Chief	O
Legal	O
Officer	O
and	O
Corporate	O
Secretary	O
,	O
Newell	DEPARTMENT
Brands	DEPARTMENT
,	O
Brad	O
Turner	O
is	O
the	O
Chief	O
Legal	O
Officer	O
and	O
Corporate	O
Secretary	O
of	O
Newell	DEPARTMENT
Brands	DEPARTMENT
.	O
Brad	O
was	O
appointed	O
Senior	O
Vice	O
President	TITLE
,	O
General	O
Counsel	O
and	O
Corporate	O
Secretary	O
of	O
Newell	O
Rubbermaid	O
in	O
April	O
2015	O
,	O
leading	O
the	O
company	O
's	O
legal	O
,	O
ethics	O
and	O
compliance	O
and	O
government	O
affairs	O
functions.	O
,	O
A	O
Newell	O
Rubbermaid	O
veteran	O
of	O
11	O
years	O
,	O
Brad	O
also	O
served	O
as	O
the	O
company	O
's	O
Vice	O
President	TITLE
and	O
Deputy	O
General	O
Counsel	O
.	O
Since	O
joining	O
the	O
company	O
in	O
2004	O
,	O
Brad	O
has	O
served	O
in	O
several	O
roles	O
including	O
Vice	O
President	TITLE
,	O
Securities	O
Counsel	O
and	O
Assistant	O
Corporate	O
Secretary	O
and	O
Group	O
General	O
Counsel	O
for	O
the	O
company	O
's	O
Office	O
Products	O
group	O
.	O
Prior	O
to	O
joining	O
Newell	O
Rubbermaid	O
,	O
he	O
was	O
an	O
associate	O
focusing	O
on	O
mergers	O
&	O
acquisitions	O
and	O
corporate	O
securities	O
with	O
Troutman	O
Sanders	O
LLP	O
.	O
Brad	O
is	O
a	O
member	O
of	O
the	O
Georgia	O
Bar	O
Association	O
,	O
and	O
serves	O
as	O
Chair	O
of	O
the	O
Executive	O
Committee	O
of	O
the	O
Corporate	O
Counsel	O
Section	O
.	O
He	O
also	O
serves	O
as	O
President	TITLE
of	O
the	O
Writing	O
Instrument	O
Manufacturers	O
Association.	O
,	O
Brad	O
earned	O
a	O
law	O
degree	O
and	O
an	O
accounting	O
degree	O
from	O
the	O
University	O
of	O
Georgia	O
,	O
both	O
with	O
magna	O
cum	O
laude	O
honors.	O
,	O
Russ	PERSON
Torres	PERSON
,	O
Chief	TITLE
Transformation	TITLE
Officer	TITLE
,	O
Newell	DEPARTMENT
Brands	DEPARTMENT
,	O
Richard	PERSON
Davies	PERSON
,	O
Chief	TITLE
Development	TITLE
Officer	TITLE
,	O
Newell	DEPARTMENT
Rubbermaid	DEPARTMENT
Group	DEPARTMENT
,	O
