Chief	TITLE
Executive	TITLE
Rupert	PERSON
Murdoch	PERSON
Executive	TITLE
Chairman	TITLE
Lachlan	PERSON
Murdoch	PERSON
Co-Chairman	TITLE
Robert	PERSON
Thomson	PERSON
Chief	TITLE
Executive	TITLE
Bedi	PERSON
A.	PERSON
Singh	PERSON
Chief	TITLE
Financial	TITLE
Officer	TITLE
Keisha	PERSON
Smith-Jeremie	PERSON
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
Antoinette	PERSON
Bush	PERSON
Global	TITLE
Head	TITLE
of	TITLE
Government	TITLE
Affairs	TITLE
Paul	PERSON
Cheesbrough	PERSON
Chief	TITLE
Technology	TITLE
Officer	TITLE
Anoushka	PERSON
Healy	PERSON
Chief	TITLE
Strategy	TITLE
Officer	TITLE
Jim	PERSON
Kennedy	PERSON
Chief	TITLE
Communications	TITLE
Officer	TITLE
David	PERSON
Pitofsky	PERSON
General	TITLE
Counsel	TITLE
Brian	PERSON
Murray	PERSON
CEO	TITLE
Rebekah	PERSON
Brooks	PERSON
CEO	TITLE
Michael	PERSON
Miller	PERSON
Executive	TITLE
Chairman	TITLE
William	PERSON
Lewis	PERSON
CEO	TITLE
CEO	TITLE
Jesse	PERSON
Angelo	PERSON
CEO	TITLE
Martin	PERSON
Garofalo	PERSON
CEO	TITLE
Rahul	PERSON
Chopra	PERSON
CEO	TITLE
Sarah	PERSON
Wood	PERSON
Co-Founder	TITLE
Co-CEO	TITLE
Scott	PERSON
Button	PERSON
Co-Founder	TITLE
Co-CEO	TITLE
