>	O
Meet	O
Our	O
Board	O
of	O
Directors	O
,	O
PG&E	O
Corporation	O
Anthony	PERSON
F.	PERSON
Earley	PERSON
Jr.	PERSON
.	O
Chairman	O
of	O
the	O
Board	O
,	O
Chief	O
Executive	O
Officer	O
and	O
President	O
of	O
PG&E	O
Corporation	O
Mallik	PERSON
Angalakudati	PERSON
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Strategy	DEPARTMENT
Nicholas	PERSON
M.	PERSON
Bijur	PERSON
Vice	O
President	O
and	O
Treasurer	O
Helen	PERSON
A.	PERSON
Burt	PERSON
Senior	O
Vice	O
President	O
,	O
External	DEPARTMENT
Affairs	DEPARTMENT
and	DEPARTMENT
Public	DEPARTMENT
Policy	DEPARTMENT
Stephen	PERSON
J.	PERSON
Cairns	PERSON
Vice	O
President	O
,	O
Internal	DEPARTMENT
Audit	DEPARTMENT
Mark	PERSON
T.	PERSON
Caron	PERSON
Vice	O
President	O
,	O
Tax	DEPARTMENT
Linda	PERSON
Y.H.	PERSON
Cheng	PERSON
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Governance	DEPARTMENT
and	DEPARTMENT
Corporate	DEPARTMENT
Secretary	DEPARTMENT
Julie	PERSON
M.	PERSON
Kane	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Ethics	O
and	O
Compliance	O
Officer	O
Melissa	PERSON
A.	PERSON
Lavinson	PERSON
Vice	O
President	O
,	O
Federal	O
Affairs	O
and	O
Policy	O
and	O
Chief	O
Sustainability	O
Officer	O
Janet	PERSON
C.	PERSON
Loduca	PERSON
Vice	O
President	O
,	O
Investor	DEPARTMENT
Relations	DEPARTMENT
Dinyar	PERSON
B.	PERSON
Mistry	PERSON
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Hyun	PERSON
Park	PERSON
Senior	O
Vice	O
President	O
and	O
General	O
Counsel	O
John	PERSON
R.	PERSON
Simon	PERSON
Executive	O
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Services	DEPARTMENT
and	DEPARTMENT
Human	DEPARTMENT
Resources	DEPARTMENT
Anil	PERSON
K.	PERSON
Suri	PERSON
Vice	O
President	O
and	O
Chief	O
Risk	O
and	O
Audit	O
Officer	O
David	PERSON
S.	PERSON
Thomason	PERSON
,	O
Vice	O
President	O
and	O
Controller	O
Jason	PERSON
P.	PERSON
Wells	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Pacific	O
Gas	DEPARTMENT
and	O
Electric	O
Company	O
Nick	PERSON
Stavropoulos	PERSON
President	O
,	O
Gas	DEPARTMENT
Geisha	PERSON
J.	PERSON
Williams	PERSON
President	O
,	O
Electric	O
Deborah	PERSON
T.	PERSON
Affonsa	PERSON
Vice	O
President	O
,	O
Customer	DEPARTMENT
Service	DEPARTMENT
Barry	PERSON
D.	PERSON
Anderson	PERSON
Vice	O
President	O
,	O
Electric	DEPARTMENT
Distribution	DEPARTMENT
William	O
-LRB-	O
Bill	O
-RRB-	O
D.	O
Arndt	O
Vice	O
President	O
,	O
Electric	DEPARTMENT
Business	DEPARTMENT
&	DEPARTMENT
Performance	DEPARTMENT
Management	DEPARTMENT
Karen	PERSON
A.	PERSON
Austin	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Information	O
Officer	O
Desmond	O
-LRB-	O
Des	O
-RRB-	O
A.	O
Bell	O
Senior	O
Vice	O
President	O
,	O
Safety	DEPARTMENT
and	DEPARTMENT
Shared	DEPARTMENT
Services	DEPARTMENT
Valerie	PERSON
J.	PERSON
Bell	PERSON
Vice	O
President	O
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
Operations	DEPARTMENT
Nicholas	PERSON
M.	PERSON
Bijur	PERSON
Vice	O
President	O
and	O
Treasurer	O
Helen	PERSON
A.	PERSON
Burt	PERSON
Senior	O
Vice	O
President	O
,	O
External	DEPARTMENT
Affairs	DEPARTMENT
and	DEPARTMENT
Public	DEPARTMENT
Policy	DEPARTMENT
Laura	PERSON
L.	PERSON
Butler	PERSON
Vice	O
President	O
,	O
Talent	DEPARTMENT
Management	DEPARTMENT
and	O
Chief	O
Diversity	O
Officer	O
Stephen	PERSON
J.	PERSON
Cairns	PERSON
Vice	O
President	O
,	O
Internal	DEPARTMENT
Audit	DEPARTMENT
Mark	PERSON
T.	PERSON
Caron	PERSON
Vice	O
President	O
,	O
Tax	DEPARTMENT
Linda	PERSON
Y.H.	PERSON
Cheng	PERSON
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Governance	DEPARTMENT
and	DEPARTMENT
Corporate	DEPARTMENT
Secretary	DEPARTMENT
Bernard	PERSON
A.	PERSON
Cowens	PERSON
Vice	O
President	O
and	O
Chief	O
Security	O
Officer	O
Tim	PERSON
Fitzpatrick	PERSON
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Relations	DEPARTMENT
and	O
Chief	O
Communications	O
Officer	O
Laurie	PERSON
M.	PERSON
Giammona	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Customer	O
Officer	O
Ed	PERSON
D.	PERSON
Halpin	PERSON
Senior	O
Vice	O
President	O
,	O
Generation	DEPARTMENT
and	DEPARTMENT
Chief	DEPARTMENT
Nuclear	DEPARTMENT
Officer	DEPARTMENT
DeAnn	O
-LRB-	O
Dede	O
-RRB-	O
Hapner	O
Vice	O
President	O
,	O
FERC	DEPARTMENT
and	DEPARTMENT
ISO	DEPARTMENT
Relations	DEPARTMENT
Sanford	O
-LRB-	O
Sandy	O
-RRB-	O
L.	O
Hartman	O
Vice	O
President	O
and	O
Managing	O
Director	O
,	O
Law	DEPARTMENT
John	PERSON
C.	PERSON
Higgins	PERSON
Vice	O
President	O
,	O
Gas	DEPARTMENT
Transmission	DEPARTMENT
and	DEPARTMENT
Distribution	DEPARTMENT
Operations	DEPARTMENT
Patrick	O
-LRB-	O
Pat	O
-RRB-	O
M.	O
Hogan	O
Senior	O
Vice	O
President	O
,	O
Electric	DEPARTMENT
Transmission	DEPARTMENT
and	DEPARTMENT
Distribution	DEPARTMENT
Aaron	PERSON
J.	PERSON
Johnson	PERSON
Vice	O
President	O
,	O
Customer	DEPARTMENT
Energy	DEPARTMENT
Solutions	DEPARTMENT
M.	PERSON
Kirk	PERSON
Johnson	PERSON
Vice	O
President	O
,	O
Gas	DEPARTMENT
Major	DEPARTMENT
Projects	DEPARTMENT
and	DEPARTMENT
Programs	DEPARTMENT
Julie	PERSON
M.	PERSON
Kane	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Ethics	O
and	O
Compliance	O
Officer	O
Kathleen	PERSON
B.	PERSON
Kay	PERSON
Vice	O
President	O
,	O
Business	DEPARTMENT
Technology	DEPARTMENT
Robert	PERSON
S.	PERSON
Kenney	PERSON
Vice	O
President	O
,	O
CPUC	DEPARTMENT
Regulatory	DEPARTMENT
Relations	DEPARTMENT
Mary	PERSON
K.	PERSON
King	PERSON
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Travis	PERSON
T.	PERSON
Kiyota	PERSON
Vice	O
President	O
,	O
Community	DEPARTMENT
Relations	DEPARTMENT
and	DEPARTMENT
Public	DEPARTMENT
Affairs	DEPARTMENT
Roy	PERSON
M.	PERSON
Kuga	PERSON
Vice	O
President	O
,	O
Energy	DEPARTMENT
Supply	DEPARTMENT
Management	DEPARTMENT
Gregg	PERSON
L.	PERSON
Lemler	PERSON
Vice	O
President	O
,	O
Electric	DEPARTMENT
Transmission	DEPARTMENT
Operations	DEPARTMENT
Steven	O
-LRB-	O
Steve	O
-RRB-	O
E.	O
Malnight	O
Senior	O
Vice	O
President	O
,	O
Regulatory	DEPARTMENT
Affairs	DEPARTMENT
Dinyar	PERSON
B.	PERSON
Mistry	PERSON
Senior	O
Vice	O
President	O
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
Gun	PERSON
S.	PERSON
Shim	PERSON
Vice	O
President	O
,	O
Supply	DEPARTMENT
Chain	DEPARTMENT
Management	DEPARTMENT
Sumeet	PERSON
Singh	PERSON
Vice	O
President	O
,	O
Gas	DEPARTMENT
Asset	DEPARTMENT
&	DEPARTMENT
Risk	DEPARTMENT
Management	DEPARTMENT
Jesus	PERSON
Soto	PERSON
Jr.	PERSON
.	O
Senior	O
Vice	O
President	O
,	O
Gas	DEPARTMENT
Operations	DEPARTMENT
Anil	PERSON
K.	PERSON
Suri	PERSON
Vice	O
President	O
and	O
Chief	O
Risk	O
and	O
Audit	O
Officer	O
David	PERSON
S.	PERSON
Thomason	PERSON
Vice	O
President	O
,	O
Chief	O
Financial	O
Officer	O
,	O
and	O
Controller	O
Albert	O
-LRB-	O
Al	O
-RRB-	O
F.	O
Torres	O
Vice	O
President	O
,	O
Customer	DEPARTMENT
Operations	DEPARTMENT
Roland	PERSON
I.	PERSON
Trevino	PERSON
Vice	O
President	O
,	O
Gas	DEPARTMENT
