Gas	O
Generators	O
,	O
Hose	O
,	O
Piping	O
,	O
Tubing	O
and	O
T-slot	O
Framing	O
,	O
Medical	O
and	O
Dental	O
Equipment	O
,	O
Motors	O
,	O
Drives	O
and	O
Controllers	O
,	O
Power	O
Take	O
Offs	O
and	O
Drive	O
Systems	O
,	O
Pumps	O
,	O
Products	O
Aerospace	O
Systems	O
and	O
Technologies	O
Air	O
Preparation	O
-LRB-	O
FRL	O
-RRB-	O
and	O
Dryers	O
Cylinders	O
and	O
Actuators	O
EMI	O
Shielding	O
Filters	O
,	O
Separators	O
,	O
Purifiers	O
Fittings	O
Gas	O
Generators	O
Hose	O
,	O
Piping	O
,	O
Tubing	O
and	O
T-slot	O
Framing	O
Medical	O
and	O
Dental	O
Equipment	O
Motors	O
,	O
Drives	O
and	O
Controllers	O
Power	O
Take	O
Offs	O
and	O
Drive	O
Systems	O
Pumps	O
Refrigeration	O
and	O
Air	O
Conditioning	O
Regulators	O
,	O
Flow	O
Control	O
and	O
Measurement	O
Seals	O
and	O
O-Rings	O
Thermal	O
and	O
Power	O
Management	O
Valves	O
Support	O
,	O
Divisions	O
,	O
Where	O
to	O
Buy	O
,	O
About	O
Parker	O
About	O
Parker	O
Company	O
Culture	O
Global	O
Operations	O
History	O
Innovation	O
Integrity	O
and	O
Ethics	O
News	O
Room	O
Parker	O
Communities	O
Strategy	O
Sustainability	O
Terms	O
and	O
Conditions	O
Video	O
Gallery	O
Working	O
with	O
Parker	O
About	O
Parker	O
,	O
About	O
Parker	O
,	O
Company	O
Culture	O
Global	O
Operations	O
History	O
Innovation	O
Integrity	O
and	O
Ethics	O
News	O
Room	O
Parker	O
Communities	O
Strategy	O
Sustainability	O
Terms	O
and	O
Conditions	O
Video	O
Gallery	O
Working	O
with	O
Parker	O
About	O
Parker	O
,	O
Company	O
Culture	O
Global	O
Operations	O
History	O
Innovation	O
Integrity	O
and	O
Ethics	O
News	O
Room	O
Parker	O
Communities	O
Strategy	O
Sustainability	O
Terms	O
and	O
Conditions	O
Video	O
Gallery	O
Working	O
with	O
Parker	O
Parker	O
Communities	O
,	O
Strategy	O
,	O
Sustainability	O
,	O
Terms	O
and	O
Conditions	O
,	O
Video	O
Gallery	O
,	O
Working	O
with	O
Parker	O
,	O
About	O
Us	O
,	O
Company	O
Overview	O
Culture	O
Global	O
Operations	O
History	O
Innovation	O
Integrity	O
and	O
Ethics	O
News	O
Room	O
Parker	O
Communities	O
Strategy	O
Sustainability	O
Terms	O
and	O
Conditions	O
Video	O
Gallery	O
Working	O
with	O
Parker	O
Company	O
,	O
Overview	O
,	O
Culture	O
,	O
Global	O
Operations	O
,	O
History	O
,	O
Innovation	O
,	O
Integrity	O
and	O
Ethics	O
,	O
News	O
Room	O
,	O
Parker	O
Communities	O
,	O
Strategy	O
,	O
Sustainability	O
,	O
Terms	O
and	O
Conditions	O
,	O
Video	O
Gallery	O
,	O
Working	O
with	O
Parker	O
,	O
Parker	O
prides	O
itself	O
on	O
it	O
ability	O
to	O
develop	O
and	O
sustain	O
a	O
strong	O
leadership	O
team	O
that	O
has	O
extensive	O
experience	O
in	O
our	O
business	O
.	O
Many	O
of	O
our	O
senior	O
leaders	O
have	O
spent	O
their	O
entire	O
career	O
learning	O
and	O
developing	O
skills	O
across	O
our	O
organization	O
.	O
This	O
provides	O
a	O
deep	O
talent	O
pool	O
and	O
clear	O
succession	O
plan	O
to	O
ensure	O
continuity	O
and	O
stability	O
in	O
the	O
growth	O
of	O
Parker	PERSON
Hannifin	PERSON
.	O
Section	O
16	O
Executive	O
Officers	O
,	O
Thomas	PERSON
L.	PERSON
Williams	PERSON
Chairman	O
and	O
Chief	O
Executive	O
Officer	O
Lee	PERSON
C.	PERSON
Banks	PERSON
President	O
and	O
Chief	O
Operating	O
Officer	O
Jon	PERSON
P.	PERSON
Marten	PERSON
Executive	O
Vice	O
President	O
-	O
Finance	DEPARTMENT
&	DEPARTMENT
Administration	DEPARTMENT
and	O
Chief	O
Financial	O
Officer	O
Michael	PERSON
Chung	PERSON
Vice	O
President	O
and	O
President	O
-	O
Automation	DEPARTMENT
Group	DEPARTMENT
John	PERSON
R.	PERSON
Greco	PERSON
Vice	O
President	O
and	O
President	O
-	O
Instrumentation	DEPARTMENT
Group	DEPARTMENT
Kurt	PERSON
Keller	PERSON
Vice	O
President	O
and	O
President	O
-	O
Asia	DEPARTMENT
Pacific	DEPARTMENT
Group	DEPARTMENT
Robert	PERSON
Malone	PERSON
Vice	O
President	O
and	O
President	O
-	O
Filtration	DEPARTMENT
Group	DEPARTMENT
Jennifer	PERSON
A.	PERSON
Parmentier	PERSON
Vice	O
President	O
and	O
President	O
-	O
Engineered	DEPARTMENT
Materials	DEPARTMENT
Group	DEPARTMENT
Andrew	PERSON
D.	PERSON
Ross	PERSON
Vice	O
President	O
and	O
President	O
-	O
Fluid	DEPARTMENT
Connectors	DEPARTMENT
Group	DEPARTMENT
Roger	PERSON
S.	PERSON
Sherrard	PERSON
Vice	O
President	O
and	O
President	O
-	O
Aerospace	DEPARTMENT
Group	DEPARTMENT
Andrew	PERSON
M.	PERSON
Weeks	PERSON
Vice	O
President	O
and	O
President	O
-	O
Hydraulics	DEPARTMENT
Group	DEPARTMENT
Robert	PERSON
W.	PERSON
Bond	PERSON
Vice	O
President	O
-	O
eBusiness	O
,	O
IoT	O
and	O
Services	O
John	PERSON
G.	PERSON
Dedinsky	PERSON
Vice	O
President	O
--	O
Global	DEPARTMENT
Supply	DEPARTMENT
Chain	DEPARTMENT
and	DEPARTMENT
Procurement	DEPARTMENT
William	PERSON
G.	PERSON
Eline	PERSON
Vice	O
President	O
-	O
Chief	O
Information	O
Officer	O
Mark	PERSON
J.	PERSON
Hart	PERSON
Executive	O
Vice	O
President	O
-	O
Human	DEPARTMENT
Resources	DEPARTMENT
and	DEPARTMENT
External	DEPARTMENT
Affairs	DEPARTMENT
Joseph	PERSON
R.	PERSON
Leonti	PERSON
Vice	O
President	O
,	O
General	O
Counsel	O
and	O
Secretary	O
M.	PERSON
Craig	PERSON
Maxwell	PERSON
Vice	O
President	O
-	O
Chief	O
Technology	O
and	O
Innovation	O
Officer	O
Daniel	PERSON
S.	PERSON
Serbin	PERSON
Vice	O
President	O
Catherine	PERSON
A.	PERSON
Suever	PERSON
Vice	O
President	O
and	O
Controller	O
Other	O
Group	O
Presidents	O
Joachim	PERSON
Guhe	PERSON
President	O
-	O
Europe	O
,	O
Middle	O
East	O
and	O
Africa	O
-LRB-	O
EMEA	O
-RRB-	O
Group	O
Candido	PERSON
Lima	PERSON
President	O
-	O
Latin	DEPARTMENT
America	DEPARTMENT
Group	DEPARTMENT
Investor	O
Relations	O
,	O
External	O
Affairs	O
and	O
Corporate	O
Communications	O
Robin	PERSON
J.	PERSON
Davenport	PERSON
Vice	O
President	O
,	O
Corporate	DEPARTMENT
Finance	DEPARTMENT
Christopher	PERSON
M.	PERSON
Farage	PERSON
,	O
Ph.D.	O
.	O
Vice	O
President	O
-	O
International	O
Human	O
Resources	O
&	O
External	O
Affairs	O
Aidan	PERSON
Gormley	PERSON
Director	O
-	O
Global	DEPARTMENT
Communications	DEPARTMENT
&	DEPARTMENT
Branding	DEPARTMENT
Thomas	PERSON
L.	PERSON
Williams	PERSON
,	O
Chairman	O
and	O
Chief	O
Executive	O
Officer	O
Lee	PERSON
C.	PERSON
Banks	PERSON
,	O
President	O
and	O
Chief	O
Operating	O
Officer	O
Jon	PERSON
P.	PERSON
Marten	PERSON
,	O
Executive	O
Vice	O
President	O
-	O
Finance	DEPARTMENT
&	DEPARTMENT
Administration	DEPARTMENT
and	O
Chief	O
Financial	O
Officer	O
Michael	PERSON
Chung	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Automation	DEPARTMENT
Group	DEPARTMENT
John	PERSON
R.	PERSON
Greco	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Instrumentation	DEPARTMENT
Group	DEPARTMENT
Kurt	PERSON
Keller	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Asia	DEPARTMENT
Pacific	DEPARTMENT
Group	DEPARTMENT
Robert	PERSON
Malone	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Filtration	DEPARTMENT
Group	DEPARTMENT
Jennifer	PERSON
A.	PERSON
Parmentier	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Engineered	DEPARTMENT
Materials	DEPARTMENT
Group	DEPARTMENT
Andrew	PERSON
D.	PERSON
Ross	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Fluid	DEPARTMENT
Connectors	DEPARTMENT
Group	DEPARTMENT
Roger	PERSON
S.	PERSON
Sherrard	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Aerospace	DEPARTMENT
Group	DEPARTMENT
Andrew	PERSON
M.	PERSON
Weeks	PERSON
,	O
Vice	O
President	O
and	O
President	O
-	O
Hydraulics	DEPARTMENT
Group	DEPARTMENT
Robert	PERSON
W.	PERSON
Bond	PERSON
,	O
Vice	O
President	O
-	O
eBusiness	O
,	O
IoT	O
and	O
Services	O
John	PERSON
G.	PERSON
