CEO	TITLE
Letter	O
,	O
Goals	O
&	O
Performance	O
,	O
Recognition	O
&	O
Awards	O
,	O
Diversity	O
&	O
Inclusion	O
,	O
Diversity	O
&	O
Inclusion	O
,	O
CEO	TITLE
Diversity	O
Statement	O
Diversity	O
at	O
Work	O
Employee	O
Groups	O
&	O
Mentoring	O
CEO	TITLE
Diversity	O
Statement	O
,	O
Diversity	O
at	O
Work	O
,	O
Employee	O
Groups	O
&	O
Mentoring	O
,	O
Corporate	O
Governance	O
,	O
Corporate	O
Governance	O
,	O
Committee	O
Composition	O
Directors	O
and	O
Executive	O
Officers	O
Committee	O
Composition	O
,	O
Directors	O
and	O
Executive	O
Officers	O
,	O
Financial	O
Measures/Other	O
Data	O
,	O
Financial	O
Measures/Other	O
Data	O
,	O
Analyst	O
Coverage	O
Earnings	O
Estimates	O
Stock	O
Ownership	O
Analyst	O
Coverage	O
,	O
Earnings	O
Estimates	O
,	O
Stock	O
Ownership	O
,	O
Back	O
to	O
:	O
About	O
Us	O
,	O
Investor	O
Relations	O
,	O
Directors	O
and	O
Executive	O
Officers	O
Shira	PERSON
Goodman	PERSON
,	O
Interim	TITLE
CEO	TITLE
Shira	PERSON
Goodman	PERSON
,	O
Interim	TITLE
CEO	TITLE
,	O
Ms.	O
Goodman	O
was	O
named	O
interim	O
CEO	TITLE
in	O
June	O
2016	O
having	O
served	O
as	O
President	TITLE
,	O
North	O
America	O
Operations	O
since	O
January	O
2016	O
.	O
Previously	O
,	O
she	O
served	O
as	O
President	TITLE
,	O
North	O
American	O
Contract	O
since	O
February	O
2014	O
,	O
Executive	O
Vice	TITLE
President	TITLE
of	O
Global	O
Growth	O
since	O
February	O
2012	O
,	O
Executive	O
Vice	TITLE
President	TITLE
of	O
Human	O
Resources	O
from	O
March	O
2009	O
,	O
and	O
Executive	O
Vice	TITLE
President	TITLE
of	O
M.	O
.	O
.	O
Interim	TITLE
CEO	TITLE
,	O
Shira	PERSON
Goodman	PERSON
,	O
Interim	TITLE
CEO	TITLE
,	O
Ms.	O
Goodman	O
was	O
named	O
interim	O
CEO	TITLE
in	O
June	O
2016	O
having	O
served	O
as	O
President	TITLE
,	O
North	O
America	O
Operations	O
since	O
January	O
2016	O
.	O
Previously	O
,	O
she	O
served	O
as	O
President	TITLE
,	O
North	O
American	O
Contract	O
since	O
February	O
2014	O
,	O
Executive	O
Vice	TITLE
President	TITLE
of	O
Global	O
Growth	O
since	O
February	O
2012	O
,	O
Executive	O
Vice	TITLE
President	TITLE
of	O
Human	O
Resources	O
from	O
March	O
2009	O
,	O
and	O
Executive	O
Vice	TITLE
President	TITLE
of	O
M.	O
.	O
.	O
Shira	PERSON
Goodman	PERSON
,	O
Interim	TITLE
CEO	TITLE
,	O
Ms.	O
Goodman	O
was	O
named	O
interim	O
CEO	TITLE
in	O
June	O
2016	O
having	O
served	O
as	O
President	TITLE
,	O
North	O
America	O
Operations	O
since	O
January	O
2016	O
.	O
Previously	O
,	O
she	O
served	O
as	O
President	TITLE
,	O
North	O
American	O
Contract	O
since	O
February	O
2014	O
,	O
Executive	O
Vice	TITLE
President	TITLE
of	O
Global	O
Growth	O
since	O
February	O
2012	O
,	O
Executive	O
Vice	TITLE
President	TITLE
of	O
Human	O
Resources	O
from	O
March	O
2009	O
,	O
and	O
Executive	O
Vice	TITLE
President	TITLE
of	O
M.	O
.	O
.	O
,	O
Christine	PERSON
T.	PERSON
Komola	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
Christine	PERSON
T.	PERSON
Komola	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Ms.	O
Komola	O
has	O
served	O
as	O
Senior	O
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
since	O
February	O
2012	O
.	O
Prior	O
to	O
that	O
,	O
she	O
served	O
as	O
the	O
Senior	O
Vice	TITLE
President	TITLE
and	O
Corporate	TITLE
Controller	TITLE
from	O
July	O
2004	O
to	O
January	O
2012	O
.	O
She	O
also	O
served	O
as	O
the	O
Senior	O
Vice	TITLE
President	TITLE
,	O
General	O
Merchandise	O
Manager	O
for	O
furniture	O
from	O
January	O
2002	O
to	O
July	O
2004	O
.	O
She	O
has	O
also	O
held	O
other	O
roles	O
within	O
Staples	O
since	O
joining	O
in	O
Apri	O
...	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Christine	PERSON
T.	PERSON
Komola	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Ms.	O
Komola	O
has	O
served	O
as	O
Senior	O
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
since	O
February	O
2012	O
.	O
Prior	O
to	O
that	O
,	O
she	O
served	O
as	O
the	O
Senior	O
Vice	TITLE
President	TITLE
and	O
Corporate	TITLE
Controller	TITLE
from	O
July	O
2004	O
to	O
January	O
2012	O
.	O
She	O
also	O
served	O
as	O
the	O
Senior	O
Vice	TITLE
President	TITLE
,	O
General	O
Merchandise	O
Manager	O
for	O
furniture	O
from	O
January	O
2002	O
to	O
July	O
2004	O
.	O
She	O
has	O
also	O
held	O
other	O
roles	O
within	O
Staples	O
since	O
joining	O
in	O
Apri	O
...	O
Christine	PERSON
T.	PERSON
Komola	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Ms.	O
Komola	O
has	O
served	O
as	O
Senior	O
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
since	O
February	O
2012	O
.	O
Prior	O
to	O
that	O
,	O
she	O
served	O
as	O
the	O
Senior	O
Vice	TITLE
President	TITLE
and	O
Corporate	TITLE
Controller	TITLE
from	O
July	O
2004	O
to	O
January	O
2012	O
.	O
She	O
also	O
served	O
as	O
the	O
Senior	O
Vice	TITLE
President	TITLE
,	O
General	O
Merchandise	O
Manager	O
for	O
furniture	O
from	O
January	O
2002	O
to	O
July	O
2004	O
.	O
She	O
has	O
also	O
held	O
other	O
roles	O
within	O
Staples	O
since	O
joining	O
in	O
Apri	O
...	O
,	O
Joseph	PERSON
G.	PERSON
Doody	PERSON
,	O
Vice	TITLE
Chairman	TITLE
Joseph	PERSON
G.	PERSON
Doody	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
Mr.	O
Doody	O
has	O
served	O
as	O
Vice	TITLE
Chairman	TITLE
since	O
February	O
2014	O
.	O
Previously	O
,	O
Mr.	O
Doody	O
served	O
as	O
President	TITLE
,	O
North	O
American	O
Commercial	O
since	O
January	O
2013	O
and	O
as	O
President	TITLE
,	O
Staples	O
North	O
American	O
Delivery	O
since	O
March	O
2002	O
.	O
Prior	O
to	O
that	O
,	O
he	O
served	O
as	O
President	TITLE
,	O
Staples	O
Contract	O
&	O
Commercial	O
since	O
November	O
1998	O
,	O
when	O
he	O
first	O
joined	O
Staples.	O
,	O
...	O
Vice	TITLE
Chairman	TITLE
,	O
Joseph	PERSON
G.	PERSON
Doody	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
Mr.	O
Doody	O
has	O
served	O
as	O
Vice	TITLE
Chairman	TITLE
,	O
since	O
February	O
2014	O
.	O
Previously	O
,	O
Mr.	O
Doody	O
served	O
as	O
President	TITLE
,	O
North	O
American	O
Commercial	O
since	O
January	O
2013	O
and	O
as	O
President	TITLE
,	O
Staples	O
North	O
American	O
Delivery	O
since	O
March	O
2002	O
.	O
Prior	O
to	O
that	O
,	O
he	O
served	O
as	O
President	TITLE
,	O
Staples	O
Contract	O
&	O
Commercial	O
since	O
November	O
1998	O
,	O
when	O
he	O
first	O
joined	O
Staples.	O
,	O
...	O
Joseph	PERSON
G.	PERSON
Doody	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
Mr.	O
Doody	O
has	O
served	O
as	O
Vice	TITLE
Chairman	TITLE
since	O
February	O
2014	O
.	O
