Español	O
,	O
Pay	O
Bill	O
,	O
Robert	PERSON
D.	PERSON
Marcus	PERSON
,	O
*	O
,	O
Chairman	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Dinesh	PERSON
C.	PERSON
Jain	PERSON
,	O
*	O
,	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Ellen	PERSON
M.	PERSON
East	PERSON
,	O
*	O
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Communications	TITLE
Officer	TITLE
,	O
Joan	PERSON
Hogan	PERSON
Gillman	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Media	O
Services	O
,	O
Hamid	PERSON
Heidary	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Technology	TITLE
Officer	TITLE
,	O
John	PERSON
H.	PERSON
Keib	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Residential	O
Services	O
,	O
Marc	PERSON
Lawrence-Apfelbaum	PERSON
,	O
*	O
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
General	O
Counsel	O
&	O
Secretary	O
,	O
Gail	PERSON
G.	PERSON
MacKinnon	PERSON
,	O
*	O
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Government	TITLE
Relations	TITLE
Officer	TITLE
,	O
Philip	PERSON
G.	PERSON
Meeks	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
&	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Business	O
Services	O
,	O
William	O
F.	O
Osbourn	O
,	O
Jr.	O
,	O
*	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Controller	O
&	O
Chief	O
Accounting	O
Officer	O
and	O
Acting	O
Co-Chief	O
Financial	O
Officer	O
,	O
Matthew	PERSON
Siegel	PERSON
,	O
*	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
&	O
Treasurer	O
and	O
Acting	O
Co-Chief	O
Financial	O
Officer	O
,	O
Peter	PERSON
C.	PERSON
Stern	PERSON
,	O
*	O
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	O
Product	O
,	O
People	O
and	O
Strategy	O
Officer	O
,	O
Melinda	PERSON
C.	PERSON
Witmer	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Video	TITLE
Officer	TITLE
&	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
Time	O
Warner	O
Cable	O
Networks	O
,	O
*	O
Executive	O
Officer	O
-LRB-	O
effective	O
as	O
of	O
6/1/15	O
-RRB-	O
Learn	O
about	O
our	O
Board	O
of	O
Directors	O
,	O
Mi	O
Cultura	O
,	O
www.timewarnercable.com/en/our-company/leadership/overview.html	O
