Oh-Hyun	O
Kwon	O
Vice	O
Chairman	O
&	O
CEO	O
Vice	O
Chairman	O
&	O
CEO	O
-LSB-	O
2012	O
~	O
Present	O
-RSB-	O
Vice	O
Chairman	O
&	O
Head	O
,	O
Samsung	O
Advanced	DEPARTMENT
Institute	DEPARTMENT
of	DEPARTMENT
Technology	DEPARTMENT	
-LSB-	O
2013	O
~	O
Present	O
-RSB-	O
Vice	O
Chairman	O
&	O
Head	O
,	O
Device	DEPARTMENT
Solutions	DEPARTMENT
-LSB-	O
2011	O
~	O
Present	O
-RSB-	O
President	O
&	O
Head	O
,	O
Device	DEPARTMENT
Solutions	DEPARTMENT
-LSB-	O
2011	O
~	O
2011	O
-RSB-	O
President	O
&	O
Head	O
,	O
Semiconductor	DEPARTMENT
Business	DEPARTMENT
-LSB-	O
2008	O
~	O
2011	O
-RSB-	O
President	O
&	O
Head	O
,	O
System	DEPARTMENT
LSI	DEPARTMENT
Division	DEPARTMENT
-LSB-	O
2004	O
~	O
2008	O
-RSB-	O
Head	O
,	O
LSI	DEPARTMENT
Technology	DEPARTMENT
-LSB-	O
2000	O
~	O
2004	O
-RSB-	O
Head	O
,	O
ASIC	DEPARTMENT
Business	DEPARTMENT
-LSB-	O
1998	O
~	O
2000	O
-RSB-	O
Boo-Keun	O
Yoon	O
President	O
&	O
CEO	O
President	O
&	O
CEO	O
-LSB-	O
2013	O
~	O
Present	O
-RSB-	O
President	O
&	O
Head	O
,	O
Consumer	DEPARTMENT
Electronics	DEPARTMENT
-LSB-	O
2012	O
~	O
Present	O
-RSB-	O
Head	O
,	O
Consumer	DEPARTMENT
Electronics	DEPARTMENT
Division	DEPARTMENT
-LSB-	O
2011	O
~	O
2012	O
-RSB-	O
Head	O
,	O
Visual	DEPARTMENT
Display	DEPARTMENT
Business	DEPARTMENT
-LSB-	O
2007	O
~	O
2011	O
-RSB-	O
Head	O
,	O
R&D	O
Team	O
,	O
Visual	DEPARTMENT
Display	DEPARTMENT
Business	DEPARTMENT
-LSB-	O
2003	O
~	O
2007	O
-RSB-	O
Jong-Kyun	O
Shin	O
President	O
&	O
CEO	O
President	O
&	O
CEO	O
-LSB-	O
2013	O
~	O
Present	O
-RSB-	O
President	O
&	O
Head	O
,	O
IT	DEPARTMENT
&	DEPARTMENT
Mobile	DEPARTMENT
Communications	DEPARTMENT
-LSB-	O
2012	O
~	O
Present	O
-RSB-	O
Head	O
,	O
IT	DEPARTMENT
&	DEPARTMENT
Mobile	DEPARTMENT
Communications	DEPARTMENT
Division	DEPARTMENT
-LSB-	O
2011	O
~	O
2012	O
-RSB-	O
Head	O
,	O
Mobile	DEPARTMENT
Communications	DEPARTMENT
Business	DEPARTMENT
-LSB-	O
2009	O
~	O
2011	O
-RSB-	O
Head	O
,	O
R&D	O
Team	O
,	O
Mobile	DEPARTMENT
Communications	DEPARTMENT
Business	DEPARTMENT
-LSB-	O
2006	O
~	O
2009	O
-RSB-	O
Sang-Hoon	O
Lee	O
President	O
&	O
CFO	O
President	O
&	O
CFO	O
,	O
Corporate	DEPARTMENT
Management	DEPARTMENT
Office	DEPARTMENT
-LSB-	O
2012	O
~	O
Present	O
-RSB-	O
Head	O
,	O
Strategy	O
Team	O
1	O
,	O
Samsung	O
Corporate	O
Strategy	DEPARTMENT
Office	DEPARTMENT
-LSB-	O
2010	O
~	O
2012	O
-RSB-	O
Head	O
,	O
Corporate	DEPARTMENT
Management	DEPARTMENT
Support	DEPARTMENT
Team	DEPARTMENT
-LSB-	O
2008	O
~	O
2010	O
-RSB-	O
Strategy	DEPARTMENT
&	DEPARTMENT
Planning	DEPARTMENT
Office	DEPARTMENT
-LSB-	O
2006	O
~	O
2008	O
-RSB-	O
In-Ho	O
Lee	O
Independent	O
Director	O
Independent	O
Director	O
-LSB-	O
2010	O
~	O
Present	O
-RSB-	O
Corporate	O
Advisor	O
,	O
Shinhan	O
Bank	O
-LSB-	O
2009	O
~	O
2011	O
-RSB-	O
Chief	O
Executive	O
Officer	O
,	O
Shinhan	O
Financial	DEPARTMENT
Group	O
-LSB-	O
