Phillip	PERSON
B.	PERSON
Daniele	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Commercial	DEPARTMENT
,	O
Customer	O
Satisfaction	O
,	O
Phillip	PERSON
B.	PERSON
Daniele	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Commercial	DEPARTMENT
,	O
Customer	O
Satisfaction	O
Phillip	O
B.	O
Daniel	O
was	O
named	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Commercial	DEPARTMENT
in	O
October	O
,	O
2015	O
.	O
Previously	O
,	O
he	O
was	O
Vice	O
President	TITLE
-	O
Commercial	DEPARTMENT
Support	O
since	O
2008	O
and	O
Divisional	O
Vice	O
President	TITLE
from	O
2005	O
to	O
2008	O
.	O
Prior	O
to	O
2005	O
,	O
Mr.	O
Daniele	O
held	O
several	O
key	O
management	O
positions	O
with	O
the	O
company.	O
,	O
Mark	PERSON
A.	PERSON
Finestone	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
-	O
Merchandising	DEPARTMENT
,	O
Supply	DEPARTMENT
Chain	DEPARTMENT
and	O
Marketing	DEPARTMENT
,	O
Customer	O
Satisfaction	O
,	O
Mark	PERSON
A.	PERSON
Finestone	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
-	O
Merchandising	DEPARTMENT
,	O
Supply	DEPARTMENT
Chain	DEPARTMENT
and	O
Marketing	DEPARTMENT
,	O
Customer	O
Satisfaction	O
Mark	PERSON
A.	PERSON
Finestone	PERSON
was	O
named	O
Executive	TITLE
Vice	TITLE
President	TITLE
-	O
Merchandising	DEPARTMENT
,	O
Supply	DEPARTMENT
Chain	DEPARTMENT
and	O
Marketing	DEPARTMENT
in	O
October	O
,	O
2015	O
.	O
Previously	O
,	O
he	O
was	O
Senior	TITLE
Vice	TITLE
President	TITLE
-	O
Merchandising	DEPARTMENT
since	O
fiscal	O
2008	O
and	O
Vice	O
President	TITLE
-	O
Merchandising	DEPARTMENT
since	O
2002	O
.	O
Prior	O
to	O
joining	O
AutoZone	O
in	O
2002	O
,	O
Mr.	O
Finestone	O
worked	O
for	O
May	O
Department	O
Stores	O
for	O
19	O
years	O
where	O
he	O
held	O
a	O
variety	O
of	O
leadership	O
roles	O
which	O
included	O
Divisional	O
Vice	O
President	TITLE
,	O
Merchandising.	O
,	O
William	PERSON
T.	PERSON
Giles	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Finance	DEPARTMENT
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
and	O
ALLDATA	DEPARTMENT
,	O
Customer	O
Satisfaction	O
,	O
William	PERSON
T.	PERSON
Giles	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Finance	DEPARTMENT
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
and	O
ALLDATA	DEPARTMENT
,	O
Customer	O
Satisfaction	O
William	PERSON
T.	PERSON
Giles	PERSON
was	O
named	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Finance	DEPARTMENT
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
and	O
ALLDATA	DEPARTMENT
during	O
October	O
2012	O
.	O
Prior	O
to	O
that	O
,	O
he	O
was	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Finance	DEPARTMENT
,	O
Information	DEPARTMENT
Technology	DEPARTMENT
and	O
Store	O
Development	O
from	O
fiscal	O
2007	O
to	O
October	O
2012	O
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Treasurer	O
from	O
June	O
2006	O
to	O
December	O
2006	O
,	O
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
since	O
May	O
2006	O
.	O
From	O
1991	O
to	O
May	O
2006	O
,	O
he	O
held	O
several	O
positions	O
with	O
Linens	O
N	O
'	O
Things	O
,	O
Inc.	O
,	O
most	O
recently	O
as	O
the	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
.	O
Prior	O
to	O
1991	O
,	O
he	O
was	O
with	O
Melville	O
,	O
Inc.	O
and	O
PricewaterhouseCoopers.	O
,	O
William	PERSON
W.	PERSON
Graves	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
-	O
Mexico	O
,	O
Brazil	O
,	O
IMC	O
and	O
Store	O
Development	O
,	O
Customer	O
Satisfaction	O
,	O
William	PERSON
W.	PERSON
Graves	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
-	O
Mexico	O
,	O
Brazil	O
,	O
IMC	O
and	O
Store	O
Development	O
,	O
Customer	O
Satisfaction	O
William	PERSON
W.	PERSON
Graves	PERSON
was	O
named	O
Executive	TITLE
Vice	TITLE
President	TITLE
-	O
Mexico	O
,	O
Brazil	O
,	O
IMC	O
and	O
Store	O
Development	O
in	O
October	O
,	O
2015	O
.	O
Previously	O
,	O
he	O
was	O
Senior	TITLE
Vice	TITLE
President	TITLE
-	O
Supply	DEPARTMENT
Chain	DEPARTMENT
and	O
International	O
since	O
October	O
,	O
2012	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Supply	DEPARTMENT
Chain	DEPARTMENT
from	O
fiscal	O
2006	O
to	O
October	O
2012	O
and	O
Vice	O
President	TITLE
--	O
Supply	DEPARTMENT
Chain	DEPARTMENT
from	O
fiscal	O
2000	O
to	O
fiscal	O
2006	O
.	O
From	O
1992	O
to	O
2000	O
,	O
Mr.	O
Graves	O
served	O
in	O
various	O
capacities	O
with	O
the	O
Company.	O
,	O
Ronald	PERSON
B.	PERSON
Griffin	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
,	O
Customer	O
Satisfaction	O
,	O
Ronald	PERSON
B.	PERSON
Griffin	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
,	O
Customer	O
Satisfaction	O
Ronald	PERSON
B.	PERSON
Griffin	PERSON
was	O
elected	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
in	O
June	O
2012	O
.	O
Prior	O
to	O
that	O
,	O
he	O
was	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Global	O
Information	DEPARTMENT
Technology	DEPARTMENT
at	O
Hewlett-Packard	O
Company	O
.	O
During	O
his	O
tenure	O
at	O
Hewlett-Packard	O
Company	O
,	O
he	O
also	O
served	O
as	O
the	O
Chief	TITLE
Information	TITLE
Officer	TITLE
for	O
the	O
Enterprise	O
Business	O
Division	O
.	O
Prior	O
to	O
that	O
,	O
Mr.	O
Griffin	O
was	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
for	O
Fleming	O
Companies	O
,	O
Inc.	O
.	O
He	O
also	O
spent	O
over	O
12	O
years	O
with	O
The	O
Home	O
Depot	O
,	O
Inc.	O
,	O
with	O
the	O
last	O
eight	O
years	O
in	O
the	O
role	O
of	O
Chief	TITLE
Information	TITLE
Officer	TITLE
.	O
Mr.	O
Griffin	O
also	O
served	O
at	O
Deloitte	O
&	O
Touche	O
LLP	O
and	O
Delta	O
Air	O
Lines	O
,	O
Inc.	O
,	O
James	PERSON
C.	PERSON
Griffith	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
,	O
Customer	O
Satisfaction	O
,	O
James	PERSON
C.	PERSON
Griffith	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
,	O
Customer	O
Satisfaction	O
James	PERSON
C.	PERSON
Griffith	PERSON
was	O
named	O
Senior	TITLE
Vice	TITLE
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
in	O
November	O
,	O
2015	O
.	O
Previously	O
he	O
was	O
Vice	O
President	TITLE
--	O
Store	O
Development	O
since	O
October	O
2010	O
and	O
Vice	O
President	TITLE
--	O
Store	DEPARTMENT
Operations	DEPARTMENT
from	O
June	O
2007	O
to	O
October	O
2010	O
.	O
Prior	O
to	O
2007	O
,	O
Mr.	O
Griffith	O
held	O
several	O
key	O
management	O
positions	O
with	O
the	O
Company.	O
,	O
William	PERSON
R.	PERSON
Hackney	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
Merchandising	DEPARTMENT
,	O
Customer	O
Satisfaction	O
,	O
William	PERSON
R.	PERSON
Hackney	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
Merchandising	DEPARTMENT
,	O
Customer	O
Satisfaction	O
William	PERSON
R.	PERSON
Hackney	PERSON
was	O
named	O
Senior	TITLE
Vice	TITLE
President	TITLE
Merchandising	DEPARTMENT
in	O
October	O
,	O
2015	O
.	O
Previously	O
he	O
was	O
Vice	O
President	TITLE
Merchandising	DEPARTMENT
Pricing	O
and	O
Analysis	O
--	O
since	O
November	O
2008	O
and	O
prior	O
to	O
that	O
held	O
the	O
title	O
of	O
Vice	O
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
Support	O
from	O
fiscal	O
2000	O
to	O
October	O
2012	O
.	O
Prior	O
to	O
2000	O
,	O
Mr.	O
Hackney	O
held	O
several	O
key	O
management	O
positions	O
with	O
the	O
Company.	O
,	O
Rodney	PERSON
C.	PERSON
Halsell	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Supply	DEPARTMENT
Chain	DEPARTMENT
,	O
Customer	O
Satisfaction	O
,	O
Rodney	PERSON
C.	PERSON
Halsell	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Supply	DEPARTMENT
Chain	DEPARTMENT
,	O
Customer	O
Satisfaction	O
Rodney	PERSON
C.	PERSON
Halsell	PERSON
was	O
named	O
Senior	TITLE
Vice	TITLE
President	TITLE
-	O
Supply	DEPARTMENT
Chain	DEPARTMENT
in	O
October	O
,	O
2015	O
.	O
Previously	O
,	O
he	O
was	O
Vice	O
President	TITLE
-	O
Supply	DEPARTMENT
Chain	DEPARTMENT
Distribution	O
from	O
fiscal	O
2006	O
to	O
October	O
2015	O
.	O
From	O
1985	O
to	O
2006	O
,	O
Mr.	O
Halsell	O
served	O
in	O
various	O
capacities	O
with	O
the	O
Company.	O
,	O
Thomas	PERSON
B.	PERSON
Newbern	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
,	O
Commercial	DEPARTMENT
and	O
Loss	O
Prevention	O
,	O
Customer	O
Satisfaction	O
,	O
Thomas	PERSON
B.	PERSON
Newbern	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
,	O
Commercial	DEPARTMENT
and	O
Loss	O
Prevention	O
,	O
Customer	O
Satisfaction	O
Thomas	PERSON
B.	PERSON
Newbern	PERSON
was	O
named	O
Executive	TITLE
Vice	TITLE
President	TITLE
Store	DEPARTMENT
Operations	DEPARTMENT
,	O
Commercial	DEPARTMENT
and	O
Loss	O
Prevention	O
in	O
October	O
,	O
2015	O
.	O
Previously	O
he	O
was	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Store	DEPARTMENT
Operations	DEPARTMENT
and	O
Loss	O
Prevention	O
since	O
December	O
2013	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Store	DEPARTMENT
Operations	DEPARTMENT
and	O
Store	O
Development	O
from	O
October	O
2012	O
to	O
December	O
2013	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Store	DEPARTMENT
Operations	DEPARTMENT
from	O
fiscal	O
2007	O
to	O
October	O
2012	O
and	O
Vice	O
President	TITLE
--	O
Store	DEPARTMENT
Operations	DEPARTMENT
from	O
fiscal	O
1998	O
to	O
fiscal	O
2007	O
.	O
Prior	O
to	O
1998	O
,	O
Mr.	O
Newbern	O
held	O
several	O
key	O
management	O
positions	O
with	O
the	O
Company.	O
,	O
Charlie	PERSON
Pleas	PERSON
,	O
III	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Controller	TITLE
,	O
Customer	O
Satisfaction	O
,	O
Charlie	PERSON
Pleas	PERSON
,	O
III	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Controller	TITLE
,	O
Customer	O
Satisfaction	O
Charlie	PERSON
Pleas	PERSON
,	O
III	O
,	O
was	O
elected	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Controller	TITLE
during	O
fiscal	O
2007	O
.	O
Prior	O
to	O
that	O
,	O
he	O
was	O
Vice	O
President	TITLE
and	O
Controller	TITLE
since	O
2003	O
.	O
Previously	O
,	O
he	O
was	O
Vice	O
President	TITLE
--	O
Accounting	O
since	O
2000	O
,	O
and	O
Director	O
of	O
General	O
Accounting	O
since	O
1996	O
.	O
Prior	O
to	O
joining	O
