Executive	O
biographies	O
,	O
Analyst	O
presentation	O
,	O
Home	O
Newsroom	O
Executive	O
biographies	O
,	O
Executive	O
biographies	O
,	O
Board	O
of	O
directors	O
Avnet	O
executive	O
board	O
Global	O
executive	O
council	O
Board	O
of	O
directors	O
,	O
Avnet	O
executive	O
board	O
,	O
Global	O
executive	O
council	O
,	O
Analyst	O
presentation	O
,	O
Executive	O
biographies	O
,	O
Analyst	O
presentation	O
,	O
Christine	PERSON
Dotts	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Corporate	O
Communications	O
,	O
Email	O
,	O
Blog	O
:	O
Avnet	O
Voices	O
,	O
Maureen	PERSON
O'Leary	PERSON
,	O
Director	TITLE
,	O
Media	O
Relations	O
,	O
Corporate	O
Communications	O
,	O
Email	O
,	O
Blog	O
:	O
Avnet	O
Voices	O
,	O
Global	O
Contacts	O
,	O
Executive	O
Biographies	O
,	O
Board	O
of	O
Directors	O
,	O
Avnet	O
Executive	O
Board	O
,	O
Global	O
Executive	O
Council	O
,	O
Board	O
of	O
Directors	O
,	O
Chairman	O
of	O
the	O
Board	O
William	O
H.	O
Schumann	O
,	O
III	O
presides	O
over	O
the	O
nine-member	O
board	O
of	O
directors	O
.	O
Each	O
director	O
brings	O
value	O
and	O
experience	O
to	O
the	O
board	O
in	O
areas	O
such	O
as	O
international	O
business	O
,	O
finance	O
,	O
operations	O
,	O
government	O
,	O
human	O
resources	O
,	O
engineering	O
and	O
academia	O
.	O
Avnet	O
Executive	O
Board	O
,	O
The	O
Avnet	O
Executive	O
Board	O
,	O
chaired	O
by	O
Interim	O
CEO	O
William	O
Amelio	O
,	O
consists	O
of	O
eight	O
C-level	O
executives	O
whose	O
recommendations	O
have	O
major	O
influence	O
and	O
impact	O
on	O
Mr.	O
Amelio	O
's	O
decisions	O
as	O
chief	O
executive	O
.	O
Global	O
Executive	O
Council	O
,	O
Serving	O
customers	O
in	O
more	O
than	O
115	O
countries	O
,	O
Avnet	O
recognizes	O
the	O
need	O
for	O
meaningful	O
dialogue	O
,	O
collaboration	O
and	O
idea	O
sharing	O
among	O
its	O
leadership	O
team	O
.	O
The	O
Global	O
Executive	O
Council	O
,	O
was	O
formed	O
to	O
address	O
high-level	O
issues	O
,	O
build	O
international	O
relationships	O
and	O
to	O
encourage	O
thinking	O
globally	O
while	O
acting	O
locally	O
.	O
http://ir.avnet.com/management.cfm	O
