Europe	O
,	O
English	O
|	O
Polski	O
|	O
Deutsch	O
English	O
,	O
|	O
Polski	O
,	O
|	O
Deutsch	O
,	O
Analyst	O
Coverage	O
,	O
Mills	O
,	O
Joseph	PERSON
Alvarado	PERSON
Chairman	TITLE
of	TITLE
the	TITLE
Board	TITLE
,	O
President	TITLE
and	O
CEO	TITLE
,	O
Barbara	PERSON
R.	PERSON
Smith	PERSON
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Paul	PERSON
Kirkpatrick	PERSON
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
and	O
Corporate	TITLE
Secretary	TITLE
,	O
Terry	PERSON
Hatten	PERSON
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
,	O
Mary	PERSON
Lindsey	PERSON
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
John	PERSON
Elmore	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
President	TITLE
,	O
CMC	DEPARTMENT
International	DEPARTMENT
Division	DEPARTMENT
,	O
Tracy	PERSON
Porter	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
President	TITLE
,	O
CMC	DEPARTMENT
Americas	DEPARTMENT
Division	DEPARTMENT
,	O
Adam	PERSON
Hickey	PERSON
Vice	TITLE
President	TITLE
and	O
Controller	TITLE
,	O
Carey	PERSON
Dubois	PERSON
Vice	TITLE
President	TITLE
and	O
Treasurer	TITLE
,	O
Santiago	PERSON
Gil	PERSON
Vice	TITLE
President	TITLE
and	O
Director	TITLE
,	O
Internal	DEPARTMENT
Audit	DEPARTMENT
,	O
Adam	PERSON
B.	PERSON
Batchelor	PERSON
Vice	TITLE
President	TITLE
,	O
Strategy	DEPARTMENT
and	DEPARTMENT
Planning	DEPARTMENT
,	O
https://www.cmc.com/en/americas/ourcompany/pages/leadership.aspx	O
