Analyst	O
Coverage	O
,	O
Careers	O
,	O
Physician	O
and	O
Advanced	O
Practitioner	O
Opportunities	O
Job	O
Opportunities	O
Career	O
Information	O
Physician	O
and	O
Advanced	O
Practitioner	O
Opportunities	O
,	O
Job	O
Opportunities	O
,	O
Career	O
Information	O
,	O
Wayne	PERSON
T.	PERSON
Smith	PERSON
,	O
Chairman	TITLE
of	O
the	O
Board	O
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Wayne	O
Smith	O
serves	O
as	O
Chairman	TITLE
of	O
the	O
Board	O
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
Community	O
Health	O
Systems	O
,	O
Inc.	O
.	O
He	O
is	O
one	O
of	O
the	O
most	O
tenured	O
executives	O
in	O
the	O
hospital	O
industry	O
and	O
has	O
led	O
the	O
Company	O
's	O
growth	O
from	O
a	O
small	O
rural	O
hospital	O
organization	O
to	O
become	O
the	O
largest	O
operator	O
of	O
hospitals	O
in	O
the	O
nation	O
,	O
as	O
measured	O
by	O
number	O
of	O
facilities	O
.	O
Smith	O
has	O
been	O
named	O
one	O
of	O
the	O
100	O
Most	O
Influential	O
People	O
in	O
Healthcare	O
by	O
Modern	O
Healthcare	O
,	O
magazine	O
for	O
the	O
past	O
14	O
years	O
and	O
a	O
Top	O
CEO	TITLE
for	O
the	O
healthcare	O
facilities	O
sector	O
by	O
Institutional	O
Investor	O
,	O
several	O
times	O
in	O
the	O
past	O
decade.	O
,	O
Read	O
Bio	O
,	O
W.	PERSON
Larry	PERSON
Cash	PERSON
,	O
President	TITLE
,	O
Financial	DEPARTMENT
Services	DEPARTMENT
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
David	PERSON
L.	PERSON
Miller	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
Lynn	PERSON
T.	PERSON
Simon	PERSON
,	O
M.D.	O
,	O
President	TITLE
,	O
Clinical	DEPARTMENT
Services	DEPARTMENT
and	O
Chief	TITLE
Quality	TITLE
Officer	TITLE
Tim	PERSON
L.	PERSON
Hingtgen	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Operations	DEPARTMENT
Rachel	PERSON
A.	PERSON
Seifert	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Secretary	TITLE
and	O
General	TITLE
Counsel	TITLE
Martin	PERSON
G.	PERSON
Schweinhart	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Administration	DEPARTMENT
Martin	PERSON
J.	PERSON
Bonick	PERSON
,	O
President	TITLE
,	O
Division	DEPARTMENT
I	DEPARTMENT
Operations	DEPARTMENT
Michael	PERSON
T.	PERSON
Portacci	PERSON
,	O
President	TITLE
,	O
Division	DEPARTMENT
II	DEPARTMENT
Operations	DEPARTMENT
Robert	PERSON
O.	PERSON
Horrar	PERSON
,	O
President	TITLE
,	O
Division	DEPARTMENT
III	DEPARTMENT
Operations	DEPARTMENT
John	PERSON
McClellan	PERSON
,	O
President	TITLE
,	O
Division	DEPARTMENT
IV	DEPARTMENT
Operations	DEPARTMENT
Paul	PERSON
Smith	PERSON
,	O
President	TITLE
,	O
Division	DEPARTMENT
V	DEPARTMENT
Operations	DEPARTMENT
Andrea	O
E.	O
-LRB-	O
Andi	O
-RRB-	O
Bosshart	O
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Compliance	DEPARTMENT
and	O
Privacy	TITLE
Officer	TITLE
T.	PERSON
Mark	PERSON
Buford	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Internal	DEPARTMENT
