Kent	PERSON
J.	PERSON
Thiry	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
DaVita	O
HealthCare	O
Partners	O
Inc.	O
,	O
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
HealthCare	O
Partners	O
,	O
Javier	PERSON
J.	PERSON
Rodriguez	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Kidney	O
Care	O
,	O
Michael	PERSON
D.	PERSON
Staffieri	PERSON
,	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Kidney	O
Care	O
,	O
Dennis	PERSON
L.	PERSON
Kogod	PERSON
,	O
President	TITLE
,	O
HealthCare	O
Partners	O
,	O
Joseph	PERSON
C.	PERSON
Mello	PERSON
,	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
HealthCare	O
Partners	O
,	O
James	PERSON
K.	PERSON
Hilger	PERSON
,	O
Interim	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
of	O
DaVita	O
HealthCare	O
Partners	O
Inc.	O
,	O
Jeanine	PERSON
M.	PERSON
Jiganti	PERSON
,	O
Chief	TITLE
Compliance	TITLE
Officer	TITLE
of	O
DaVita	O
HealthCare	O
Partners	O
Inc.	O
,	O
LeAnne	PERSON
M.	PERSON
Zumwalt	PERSON
,	O
Group	TITLE
Vice	TITLE
President	TITLE
,	O
Purchasing	DEPARTMENT
and	DEPARTMENT
Public	DEPARTMENT
Affairs	DEPARTMENT
of	O
DaVita	O
HealthCare	O
Partners	O
Inc.	O
,	O
Dr.	O
Allen	PERSON
R.	PERSON
Nissenson	PERSON
,	O
Chief	TITLE
Medical	TITLE
Officer	TITLE
,	O
Kidney	O
Care	O
,	O
Kathleen	PERSON
A.	PERSON
Waters	PERSON
,	O
Chief	TITLE
Legal	TITLE
Officer	TITLE
of	O
DaVita	O
HealthCare	O
Partners	O
Inc.	O
,	O
http://investors.davitahealthcarepartners.com/phoenix.zhtml?c=76556&p=irol-governance	O
