Results	O
Center	O
,	O
Financial	O
Releases	O
,	O
SEC	O
Filings	O
,	O
Presentations	O
&	O
Webcasts	O
,	O
Annual	O
Reports	O
&	O
Proxy	O
,	O
Reg	O
.	O
G	O
Information	O
,	O
Analyst	O
Coverage	O
,	O
Stock	O
Quote	O
&	O
Chart	O
,	O
Dividends	O
,	O
Splits	O
&	O
Repurchases	O
,	O
Results	O
Center	O
,	O
Financial	O
Releases	O
,	O
SEC	O
Filings	O
,	O
Presentations	O
&	O
Webcasts	O
,	O
Annual	O
Reports	O
&	O
Proxy	O
,	O
Reg	O
.	O
G	O
Information	O
,	O
Analyst	O
Coverage	O
,	O
Stock	O
Quote	O
&	O
Chart	O
,	O
Dividends	O
,	O
Splits	O
&	O
Repurchases	O
,	O
Edward	PERSON
W.	PERSON
Stack	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
DICK	O
'S	O
Sporting	O
Goods	O
,	O
Chairman	TITLE
of	TITLE
the	TITLE
Board	TITLE
since	O
1984	O
André	PERSON
J.	PERSON
Hawaux	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
Lauren	PERSON
R.	PERSON
Hobart	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Chief	TITLE
Marketing	TITLE
Officer	TITLE
Teri	PERSON
L.	PERSON
List-Stoll	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
Lee	PERSON
J.	PERSON
Belitsky	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Product	O
Development	O
and	O
Planning	O
,	O
Allocations	O
and	O
Replenishment	O
Michele	PERSON
B.	PERSON
Willoughby	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
eCommerce	DEPARTMENT
and	O
Supply	DEPARTMENT
Chain	DEPARTMENT
Ronald	PERSON
E.	PERSON
Baime	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
GMM	DEPARTMENT
George	PERSON
P.	PERSON
Giacobbe	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Supply	DEPARTMENT
Chain	DEPARTMENT
John	PERSON
E.	PERSON
Hayes	PERSON
III	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
General	TITLE
Counsel	TITLE
and	O
Secretary	TITLE
George	PERSON
S.	PERSON
Hill	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Retail	DEPARTMENT
Joseph	PERSON
R.	PERSON
Oliver	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
Daniel	PERSON
L.	PERSON
Ostrowski	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Store	DEPARTMENT
Environment	DEPARTMENT
Kurt	PERSON
J.	PERSON
Schnieders	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Information	DEPARTMENT
Technology	DEPARTMENT
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
Alexander	PERSON
L.	PERSON
Tomey	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
GMM	DEPARTMENT
Deborah	PERSON
M.	PERSON
Victorelli	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
--	O
Human	DEPARTMENT
Resources	DEPARTMENT
Only	O
at	O
Dick	O
's	O
,	O
http://investors.dicks.com/company-information/management.aspx	O
