EMC	O
Executive	O
Bios	O
,	O
Executive	O
Team	O
,	O
Business	O
Executives	O
,	O
Joseph	O
M.	O
Tucci	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
William	PERSON
J.	PERSON
Teuber	PERSON
Jr.	PERSON
.	O
Vice	TITLE
Chairman	TITLE
,	O
David	PERSON
I.	PERSON
Goulden	PERSON
CEO	O
,	O
EMC	DEPARTMENT
Information	DEPARTMENT
Infrastructure	DEPARTMENT
,	O
Howard	PERSON
D.	PERSON
Elias	PERSON
President	TITLE
and	O
COO	TITLE
,	O
Global	DEPARTMENT
Enterprise	DEPARTMENT
Services	DEPARTMENT
;	O
Co-leader	TITLE
,	O
Dell/EMC	DEPARTMENT
Value	DEPARTMENT
Creation	DEPARTMENT
and	DEPARTMENT
Integration	DEPARTMENT
Office	DEPARTMENT
,	O
Jeremy	PERSON
Burton	PERSON
President	TITLE
,	O
Products	DEPARTMENT
and	DEPARTMENT
Marketing	DEPARTMENT
,	O
Bill	PERSON
Scannell	PERSON
President	TITLE
,	O
Global	DEPARTMENT
Sales	DEPARTMENT
and	DEPARTMENT
Customer	DEPARTMENT
Operations	DEPARTMENT
,	O
Paul	PERSON
T.	PERSON
Dacier	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
General	TITLE
Counsel	TITLE
,	O
Erin	PERSON
McSweeney	PERSON
Global	DEPARTMENT
Human	DEPARTMENT
Resources	DEPARTMENT
,	O
Denis	PERSON
G.	PERSON
Cashman	PERSON
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Joe	PERSON
Tucci	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
William	PERSON
J.	PERSON
Teuber	PERSON
Jr.	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
David	PERSON
I.	PERSON
Goulden	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
EMC	DEPARTMENT
Information	DEPARTMENT
Infrastructure	DEPARTMENT
,	O
Goulden	O
was	O
appointed	O
CEO	O
of	O
EMC	DEPARTMENT
Information	DEPARTMENT
Infrastructure	DEPARTMENT
in	O
January	O
2014	O
,	O
after	O
serving	O
as	O
President	TITLE
and	O
Chief	O
Operating	O
Officer	O
of	O
the	O
business	O
unit	O
since	O
2012	O
,	O
when	O
he	O
assumed	O
full	O
responsibility	O
for	O
Engineering	O
and	O
Product	O
Development	O
,	O
Sales	O
and	O
Customer	O
Operations	O
,	O
Services	O
,	O
Marketing	O
and	O
G&A	O
functions	O
.	O
He	O
is	O
a	O
12-year	O
EMC	O
veteran	O
who	O
also	O
served	O
as	O
EMC	O
's	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
from	O
2006	O
until	O
2014	O
,	O
holding	O
full	O
responsibility	O
for	O
financial	O
operations	O
of	O
EMC	O
Corporation	O
's	O
consolidated	O
business	O
,	O
including	O
all	O
of	O
EMC	O
's	O
financial	O
planning	O
and	O
reporting	O
,	O
balance	O
sheet	O
management	O
,	O
foreign	O
exchange	O
,	O
audit	O
,	O
tax	O
,	O
investment	O
banking	O
and	O
investor	O
relations	O
programs	O
.	O
Since	O
joining	O
EMC	O
in	O
2002	O
,	O
Goulden	O
has	O
been	O
a	O
key	O
leader	O
in	O
making	O
mergers	O
and	O
acquisitions	O
a	O
core	O
competency	O
at	O
EMC	O
by	O
playing	O
a	O
major	O
role	O
in	O
more	O
than	O
75	O
acquisitions	O
as	O
well	O
as	O
business	O
model	O
innovations	O
such	O
as	O
the	O
corporate	O
structure	O
of	O
EMC	O
majority-owned	O
VMware	O
and	O
the	O
formation	O
of	O
VCE	O
,	O
EMC	O
's	O
joint	O
venture	O
with	O
Cisco	O
,	O
supported	O
by	O
investments	O
from	O
VMware	O
and	O
Intel	O
.	O
In	O
2011	O
,	O
analysts	O
surveyed	O
by	O
Institutional	O
Investor	O
,	O
magazine	O
named	O
Goulden	O
the	O
best	O
CFO	O
in	O
IT	O
Hardware	O
.	O
Howard	PERSON
D.	PERSON
Elias	PERSON
,	O
President	TITLE
and	O
COO	TITLE
,	O
Global	DEPARTMENT
Enterprise	DEPARTMENT
Services	DEPARTMENT
;	O
Co-leader	TITLE
,	O
Dell/EMC	DEPARTMENT
Value	DEPARTMENT
Creation	DEPARTMENT
and	DEPARTMENT
Integration	DEPARTMENT
Office	DEPARTMENT
,	O
Jeremy	PERSON
Burton	PERSON
,	O
President	TITLE
,	O
Products	DEPARTMENT
and	DEPARTMENT
Marketing	DEPARTMENT
,	O
Bill	PERSON
Scannell	PERSON
,	O
President	TITLE
,	O
Global	DEPARTMENT
Sales	DEPARTMENT
and	DEPARTMENT
Customer	DEPARTMENT
Operations	DEPARTMENT
,	O
Paul	PERSON
T.	PERSON
Dacier	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
General	TITLE
Counsel	TITLE
,	O
Dacier	O
has	O
received	O
numerous	O
recognitions	O
including	O
being	O
named	O
one	O
of	O
the	O
Most	O
Influential	O
Attorneys	O
in	O
the	O
state	O
by	O
Massachusetts	O
Lawyers	O
Weekly	O
,	O
and	O
receiving	O
Massachusetts	O
Appleseed	O
's	O
Good	O
Apple	O
award	O
in	O
2010	O
.	O
His	O
team	O
of	O
approximately	O
120	O
lawyers	O
has	O
also	O
received	O
wide	O
acclaim	O
for	O
their	O
dedication	O
and	O
service	O
in	O
their	O
profession	O
,	O
including	O
being	O
named	O
Corporate	O
Secretary	O
,	O
magazine	O
's	O
2009	O
Corporate	O
Governance	O
Team	O
of	O
the	O
Year	O
.	O
Erin	PERSON
McSweeney	PERSON
,	O
Global	DEPARTMENT
Human	DEPARTMENT
Resources	DEPARTMENT
,	O
Denis	PERSON
G.	PERSON
Cashman	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Email	O
General	O
Inquiries	O
,	O
Sales	O
Inquiries	O
,	O
Call	O
1-866-GET-EMC2	O
,	O
Call	O
1-866-GET-EMC2	O
,	O
