Crude	O
Oil	O
Pipelines	O
,	O
Delaware	O
Basin	O
Crude	O
Gathering	O
Pipeline	O
Bakken	O
Lake	O
Charles	O
&	O
St.	O
James	O
Delaware	O
Basin	O
Crude	O
Gathering	O
Pipeline	O
,	O
Bakken	O
,	O
Lake	O
Charles	O
&	O
St.	O
James	O
,	O
Financial	O
Profile	O
,	O
Stock	O
Information	O
Fundamentals	O
Annual	O
Reports	O
Analyst	O
Coverage	O
Stock	O
Information	O
,	O
Fundamentals	O
,	O
Annual	O
Reports	O
,	O
Analyst	O
Coverage	O
,	O
Audit	O
Committee	O
Charter	O
,	O
Board	O
of	O
Directors	O
,	O
Committee	O
Composition	O
,	O
Code	O
of	O
Business	O
Conduct	O
and	O
Ethics	O
,	O
Compensation	O
Committee	O
Charter	O
,	O
Contacting	O
a	O
Director	O
,	O
Corporate	O
Governance	O
Guidelines	O
,	O
Ethics	O
for	O
Senior	O
Financial	O
Officers	O
,	O
Partnership	O
Agreements	O
,	O
Kelcy	PERSON
L.	PERSON
Warren	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Chairman	TITLE
of	TITLE
the	TITLE
Board	TITLE
of	TITLE
Directors	TITLE
,	O
Matthew	PERSON
S.	PERSON
Ramsey	PERSON
,	O
ETP	O
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Thomas	PERSON
E.	PERSON
Long	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Greg	PERSON
Brazaitis	PERSON
,	O
Chief	TITLE
Compliance	TITLE
Officer	TITLE
,	O
Jim	PERSON
Wright	PERSON
,	O
ETP	O
General	TITLE
Counsel	TITLE
,	O
John	PERSON
W.	PERSON
McReynolds	PERSON
,	O
President	TITLE
,	O
Marshall	PERSON
S.	PERSON
McCrea	PERSON
,	O
ETE	O
Group	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
and	O
Chief	TITLE
Commercial	TITLE
Officer	TITLE
,	O
Thomas	PERSON
P.	PERSON
Mason	PERSON
,	O
ETE	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
,	O
Brad	PERSON
Whitehurst	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Head	TITLE
of	TITLE
Tax	TITLE
,	O
http://www.energytransfer.com/senior_mgt.aspx	O
