Barry	PERSON
Diller	PERSON
,	O
Chairman	TITLE
and	O
Senior	TITLE
Executive	TITLE
,	O
Victor	PERSON
Kaufman	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
Dara	PERSON
Khosrowshahi	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Expedia	O
,	O
Inc.	O
,	O
Mark	PERSON
Okerstrom	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
Operations	DEPARTMENT
,	O
Robert	PERSON
Dzielak	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
and	TITLE
Secretary	TITLE
,	O
Dara	PERSON
Khosrowshahi	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Expedia	O
,	O
Inc.	O
,	O
Mark	PERSON
Okerstrom	PERSON
,	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
and	O
Executive	TITLE
Vice	TITLE
President	TITLE
Operations	DEPARTMENT
,	O
Robert	PERSON
Dzielak	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
General	TITLE
Counsel	TITLE
and	TITLE
Secretary	TITLE
,	O
Aman	PERSON
Bhutani	PERSON
,	O
President	TITLE
,	O
Brand	DEPARTMENT
Expedia	DEPARTMENT
Group	DEPARTMENT
,	O
Ariane	PERSON
Gorin	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
General	TITLE
Manager	TITLE
,	O
Expedia	DEPARTMENT
Affiliate	DEPARTMENT
Network	DEPARTMENT
,	O
Rob	PERSON
Greyber	PERSON
,	O
President	TITLE
,	O
Egencia	O
,	O
Eric	PERSON
Hart	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Head	TITLE
of	O
Corporate	DEPARTMENT
Development	DEPARTMENT
,	O
Henrik	PERSON
Kjellberg	PERSON
,	O
President	TITLE
,	O
Hotwire	DEPARTMENT
Group	DEPARTMENT
,	O
Tucker	PERSON
Moodey	PERSON
,	O
President	TITLE
,	O
eCommerce	DEPARTMENT
Platform	DEPARTMENT
,	O
Cyril	PERSON
Ranque	PERSON
,	O
President	TITLE
,	O
Expedia	DEPARTMENT
Lodging	DEPARTMENT
Partner	TITLE
Services	DEPARTMENT
,	O
Brian	PERSON
Sharples	PERSON
,	O
Co-founder	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
HomeAway	DEPARTMENT
,	O
Johan	PERSON
Svanstrom	PERSON
,	O
President	TITLE
,	O
Hotels.com	O
,	O
Venere.com	O
&	O
Expedia	DEPARTMENT
Affiliate	DEPARTMENT
Network	DEPARTMENT
brands	O
,	O
Barry	PERSON
Diller	PERSON
,	O
Chairman	TITLE
and	O
Senior	TITLE
Executive	TITLE
,	O
IAC/InterActiveCorp	O
,	O
Victor	PERSON
Kaufman	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
IAC/InterActiveCorp	O
,	O
Dara	PERSON
Khosrowshahi	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Expedia	O
,	O
Inc.	O
,	O
Susan	PERSON
C.	PERSON
Athey	PERSON
,	O
Economics	DEPARTMENT
of	DEPARTMENT
Technology	DEPARTMENT
Professor	TITLE
,	O
Stanford	DEPARTMENT
Graduate	DEPARTMENT
School	DEPARTMENT
of	DEPARTMENT
Business	DEPARTMENT
,	O
A.	O
George	O
`	O
Skip	O
'	O
Battle	O
,	O
Chairman	TITLE
,	O
Fair	O
Isaac	O
Corporation	O
,	O
Pamela	PERSON
L.	PERSON
Coe	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Deputy	TITLE
General	TITLE
Counsel	TITLE
and	TITLE
Secretary	TITLE
,	O
Liberty	O
Interactive	O
Corporation	O
,	O
Jonathan	PERSON
L.	PERSON
Dolgen	PERSON
,	O
Principal	TITLE
,	O
Wood	O
River	O
Ventures	O
,	O
LLC	O
,	O
Craig	PERSON
A.	PERSON
Jacobson	PERSON
,	O
Partner	TITLE
,	O
Hansen	O
,	O
Jacobson	O
,	O
Teller	O
,	O
Hoberman	O
,	O
Newman	O
,	O
Warren	O
,	O
Richman	O
,	O
Rush	O
&	O
Kaller	O
,	O
L.L.P.	O
,	O
Peter	PERSON
M.	PERSON
Kern	PERSON
,	O
Managing	TITLE
Partner	TITLE
,	O
InterMedia	O
Partners	O
VII	O
,	O
LP	O
,	O
John	PERSON
C.	PERSON
Malone	PERSON
,	O
Chairman	TITLE
,	O
Liberty	O
Media	O
Corporation	O
and	O
Liberty	O
Media	O
Corporation	O
,	O
Scott	PERSON
Rudin	PERSON
,	O
Film	TITLE
and	TITLE
Theatre	TITLE
Producer	TITLE
,	O
Christopher	PERSON
W.	PERSON
Shean	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Liberty	O
Media	O
Corporation	O
,	O
José	PERSON
A.	PERSON
Tazón	PERSON
,	O
Chairman	TITLE
,	O
Amadeus	O
IT	O
Group	O
S.A.	O
,	O
Alexandre	PERSON
von	PERSON
Furstenberg	PERSON
,	O
Founder	TITLE
and	O
Chief	TITLE
Investment	TITLE
Officer	TITLE
,	O
Ranger	O
Global	O
Advisors	O
,	O
LLC	O
,	O
www.expediainc.com/about/leadership	O
