Marine	O
,	O
Jeff	PERSON
Immelt	PERSON
letter	O
to	O
shareowners	O
,	O
Careers	O
,	O
Overview	O
Culture	O
Opportunities	O
Career	O
Guide	O
Overview	O
,	O
Culture	O
,	O
Opportunities	O
,	O
Career	O
Guide	O
,	O
Jeff	PERSON
Immelt	PERSON
,	O
CEO	TITLE
,	O
Corporate	TITLE
Executives	TITLE
,	O
Business	TITLE
Executives	TITLE
,	O
Board	TITLE
Of	TITLE
Directors	TITLE
,	O
Steve	PERSON
Bolze	PERSON
,	O
Steve	PERSON
Bolze	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Power	DEPARTMENT
Responsible	O
for	O
the	O
world-leading	O
provider	O
of	O
traditional	O
and	O
renewable	O
power	O
generation	O
technology	O
.	O
Steve	PERSON
Bolze	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Power	DEPARTMENT
Lynn	PERSON
Calpeter	PERSON
,	O
Lynn	PERSON
Calpeter	PERSON
,	O
VP	TITLE
&	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
GE	DEPARTMENT
Power	DEPARTMENT
Leads	O
all	O
financial	O
operations	O
for	O
GE	DEPARTMENT
Power	DEPARTMENT
,	O
serving	O
global	O
energy	O
needs	O
with	O
modern	O
technologies	O
.	O
Lynn	PERSON
Calpeter	PERSON
,	O
VP	TITLE
&	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
GE	DEPARTMENT
Power	DEPARTMENT
John	PERSON
L.	PERSON
Flannery	PERSON
,	O
John	PERSON
L.	PERSON
Flannery	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Healthcare	DEPARTMENT
Responsible	O
for	O
the	O
global	O
leader	O
in	O
medical	O
diagnostic	O
technology	O
and	O
biosciences	O
.	O
John	PERSON
L.	PERSON
Flannery	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Healthcare	DEPARTMENT
David	PERSON
L.	PERSON
Joyce	PERSON
,	O
David	PERSON
L.	PERSON
Joyce	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Aviation	DEPARTMENT
Leads	O
GE	DEPARTMENT
Aviation	DEPARTMENT
,	O
appointed	O
to	O
his	O
current	O
role	O
in	O
2008	O
having	O
been	O
with	O
GE	O
since	O
1980	O
.	O
David	PERSON
L.	PERSON
Joyce	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Aviation	DEPARTMENT
Richard	PERSON
A.	PERSON
Laxer	PERSON
,	O
Richard	PERSON
A.	PERSON
Laxer	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Capital	DEPARTMENT
International	DEPARTMENT
Responsible	O
for	O
financial	O
operations	O
in	O
27	O
countries	O
with	O
22	O
,	O
000	O
employees	O
and	O
close	O
to	O
$	O
117	O
billion	O
in	O
assets	O
.	O
Richard	PERSON
A.	PERSON
Laxer	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Capital	DEPARTMENT
International	DEPARTMENT
Paul	PERSON
A.	PERSON
McElhinney	PERSON
,	O
Paul	PERSON
A.	PERSON
McElhinney	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
and	O
CEO	TITLE
,	O
Power	DEPARTMENT
Services	DEPARTMENT
Responsible	O
for	O
a	O
global	O
services	O
strategy	O
that	O
offers	O
electric	O
utility	O
and	O
industrial	O
customers	O
the	O
technology	O
,	O
knowledge	O
and	O
insight	O
they	O
need	O
.	O
Paul	PERSON
A.	PERSON
McElhinney	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
and	O
CEO	TITLE
,	O
Power	DEPARTMENT
Services	DEPARTMENT
Jamie	PERSON
S.	PERSON
Miller	PERSON
,	O
Jamie	PERSON
S.	PERSON
Miller	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Transportation	DEPARTMENT
Leads	O
GE	O
's	O
rail	O
,	O
mining	O
and	O
marine	O
industries	O
with	O
annual	O
revenues	O
of	O
$	O
5.7	O
billion	O
.	O
Jamie	PERSON
S.	PERSON
Miller	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Transportation	DEPARTMENT
Jérôme	PERSON
Pécresse	PERSON
,	O
Jérôme	PERSON
Pécresse	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Renewable	DEPARTMENT
Energy	DEPARTMENT
Leads	O
GE	DEPARTMENT
Renewable	DEPARTMENT
Energy	DEPARTMENT
,	O
which	O
has	O
the	O
broadest	O
renewable	O
energy	O
portfolio	O
in	O
the	O
industry	O
.	O
Jérôme	PERSON
Pécresse	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Renewable	DEPARTMENT
Energy	DEPARTMENT
William	PERSON
Ruh	PERSON
,	O
William	PERSON
Ruh	PERSON
,	O
SVP	TITLE
&	O
Chief	TITLE
Digital	TITLE
Officer	TITLE
,	O
GE	O
,	O
CEO	TITLE
,	O
GE	DEPARTMENT
Digital	DEPARTMENT
Leads	O
GE	O
's	O
digital	O
software	O
solutions	O
and	O
services	O
,	O
as	O
well	O
as	O
global	O
IT	O
,	O
and	O
is	O
responsible	O
for	O
GE	O
's	O
Digital	O
Thread	O
initiatives	O
.	O
William	PERSON
Ruh	PERSON
,	O
SVP	TITLE
&	O
Chief	TITLE
Digital	TITLE
Officer	TITLE
,	O
GE	O
,	O
CEO	TITLE
,	O
GE	DEPARTMENT
Digital	DEPARTMENT
Keith	PERSON
S.	PERSON
Sherin	PERSON
,	O
Keith	PERSON
S.	PERSON
Sherin	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
GE	O
,	O
Chairman	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Capital	DEPARTMENT
Vice	TITLE
Chairman	TITLE
GE	O
and	O
Chairman	TITLE
and	O
CEO	TITLE
of	O
GE	DEPARTMENT
Capital	DEPARTMENT
Keith	PERSON
S.	PERSON
Sherin	PERSON
,	O
Vice	TITLE
Chairman	TITLE
,	O
GE	O
,	O
Chairman	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Capital	DEPARTMENT
Khozema	PERSON
Z.	PERSON
Shipchandler	PERSON
,	O
Khozema	PERSON
Z.	PERSON
Shipchandler	PERSON
,	O
VP	TITLE
&	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
GE	DEPARTMENT
Digital	DEPARTMENT
Leads	O
all	O
financial	O
activities	O
for	O
GE	DEPARTMENT
Digital	DEPARTMENT
,	O
helping	O
transform	O
GE	O
into	O
the	O
world	O
's	O
leading	O
digital	O
industrial	O
company	O
.	O
Khozema	PERSON
Z.	PERSON
Shipchandler	PERSON
,	O
VP	TITLE
&	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
GE	DEPARTMENT
Digital	DEPARTMENT
Lorenzo	PERSON
Simonelli	PERSON
,	O
Lorenzo	PERSON
Simonelli	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Oil	DEPARTMENT
&	DEPARTMENT
Gas	DEPARTMENT
Leads	O
GE	DEPARTMENT
Oil	DEPARTMENT
&	DEPARTMENT
Gas	DEPARTMENT
,	O
an	O
advanced	O
technology	O
equipment	O
and	O
services	O
company	O
.	O
Lorenzo	PERSON
Simonelli	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Oil	DEPARTMENT
&	DEPARTMENT
Gas	DEPARTMENT
Richard	PERSON
L.	PERSON
Stanley	PERSON
,	O
Richard	PERSON
L.	PERSON
Stanley	PERSON
,	O
VP	TITLE
&	O
Chief	TITLE
Technology	TITLE
Officer	TITLE
,	O
GE	DEPARTMENT
Power	DEPARTMENT
Leads	O
all	O
GE	DEPARTMENT
Power	DEPARTMENT
technical	O
efforts	O
including	O
research	O
,	O
development	O
,	O
technology	O
,	O
and	O
product	O
design	O
.	O
Richard	PERSON
L.	PERSON
Stanley	PERSON
,	O
VP	TITLE
&	O
Chief	TITLE
Technology	TITLE
Officer	TITLE
,	O
GE	DEPARTMENT
Power	DEPARTMENT
Dmitri	PERSON
Stockton	PERSON
,	O
Dmitri	PERSON
Stockton	PERSON
,	O
SVP	TITLE
,	O
GE	O
,	O
Chairman	TITLE
,	O
President	TITLE
&	O
CEO	TITLE
,	O
GE	DEPARTMENT
Asset	DEPARTMENT
Management	DEPARTMENT
Leads	O
GE	DEPARTMENT
Asset	DEPARTMENT
Management	DEPARTMENT
,	O
a	O
leading	O
global	O
asset	O
manager	O
