Dealer	O
Locator	O
,	O
Analyst	O
Coverage	O
,	O
Mary	PERSON
T.	PERSON
Barra	PERSON
,	O
Chairman	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
General	O
Motors	O
Company	O
,	O
Mary	PERSON
T.	PERSON
Barra	PERSON
Chairman	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
General	O
Motors	O
Company	O
Mary	O
Barra	O
is	O
Chairman	TITLE
&	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
General	O
Motors	O
Company	O
.	O
Barra	O
was	O
elected	O
Chairman	TITLE
of	O
the	O
GM	O
Board	O
of	O
Directors	O
on	O
January	O
4	O
,	O
2016	O
,	O
and	O
has	O
served	O
as	O
CEO	TITLE
of	O
GM	O
since	O
January	O
15	O
,	O
2014	O
.	O
Learn	O
More	O
,	O
Dan	PERSON
Ammann	PERSON
,	O
President	TITLE
,	O
General	O
Motors	O
Company	O
,	O
Dan	PERSON
Ammann	PERSON
President	TITLE
,	O
General	O
Motors	O
Company	O
Dan	PERSON
Ammann	PERSON
was	O
named	O
president	O
of	O
General	O
Motors	O
in	O
January	O
2014	O
.	O
Ammann	O
is	O
responsible	O
for	O
managing	O
the	O
company	O
's	O
business	O
operations	O
around	O
the	O
world	O
,	O
the	O
global	O
Chevrolet	O
and	O
Cadillac	O
brand	O
organizations	O
,	O
global	O
product	O
planning	O
,	O
new	O
business	O
development	O
and	O
GM	DEPARTMENT
Financial	DEPARTMENT
.	O
Learn	O
More	O
,	O
Alan	PERSON
Batey	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
President	TITLE
,	O
North	O
America	O
,	O
Alan	PERSON
Batey	PERSON
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
President	TITLE
,	O
North	O
America	O
Alan	O
S.	O
Batey	O
was	O
appointed	O
executive	O
vice	O
president	O
and	O
president	O
,	O
North	O
America	O
,	O
in	O
January	O
2014	O
.	O
Batey	O
also	O
serves	O
on	O
the	O
board	O
of	O
GM	O
China	O
's	O
joint	O
venture	O
,	O
Shanghai	O
General	O
Motors	O
Co.	O
,	O
Ltd.	O
-LRB-	O
SGM	O
-RRB-	O
,	O
and	O
the	O
GM	O
Foundation	O
.	O
Learn	O
More	O
,	O
Daniel	PERSON
E.	PERSON
Berce	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
GM	DEPARTMENT
Financial	DEPARTMENT
,	O
Daniel	PERSON
E.	PERSON
Berce	PERSON
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
GM	DEPARTMENT
Financial	DEPARTMENT
Daniel	PERSON
E.	PERSON
Berce	PERSON
has	O
been	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
GM	DEPARTMENT
Financial	DEPARTMENT
since	O
October	O
2010	O
,	O
when	O
the	O
company	O
was	O
purchased	O
by	O
General	O
Motors	O
.	O
Previously	O
,	O
he	O
served	O
as	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
AmeriCredit	O
Corp.	O
from	O
August	O
2005	O
to	O
September	O
2010	O
,	O
President	TITLE
from	O
2003	O
to	O
2005	O
,	O
and	O
was	O
