Corporate	O
Leadership	O
Thomas	PERSON
J.	PERSON
McInerney	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
Kelly	PERSON
L.	PERSON
Groh	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
Kevin	PERSON
D.	PERSON
Schneider	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
U.S.	O
Life	O
Insurance	O
segment	O
,	O
David	O
O'Leary	O
,	O
President	TITLE
&	O
CEO	TITLE
U.S.	O
Mortgage	O
Insurance	O
segment	O
,	O
Rohit	PERSON
Gupta	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
Canada	O
Mortgage	O
Insurance	O
segment	O
,	O
Stuart	PERSON
Levings	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
Australia	O
Mortgage	O
Insurance	O
segment	O
,	O
Georgette	PERSON
C.	PERSON
Nicholas	PERSON
,	O
President	TITLE
&	O
CEO	TITLE
Ward	PERSON
E.	PERSON
Bobitz	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
General	O
Counsel	O
Lori	PERSON
M.	PERSON
Evangel	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Risk	TITLE
Officer	TITLE
Michael	PERSON
S.	PERSON
Laming	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Human	DEPARTMENT
Resources	DEPARTMENT
Scott	PERSON
J.	PERSON
McKay	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Chief	TITLE
Strategy	TITLE
Officer	TITLE
Daniel	PERSON
J.	PERSON
Sheehan	PERSON
IV	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
--	O
Chief	TITLE
Investment	TITLE
Officer	TITLE
,	O
http://investor.genworth.com/investors/corporate-governance/corporate-leadership/default.aspx	O
