analyst	O
coverage	O
,	O
Richard	PERSON
A.	PERSON
Noll	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Richard	PERSON
A.	PERSON
Noll	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
As	O
CEO	TITLE
since	O
2006	O
and	O
Chairman	TITLE
of	TITLE
the	TITLE
Board	TITLE
since	O
2009	O
,	O
Mr.	O
Noll	O
has	O
transformed	O
HanesBrands	O
-LRB-	O
NYSE	O
:	O
HBI	O
-RRB-	O
into	O
an	O
industry	O
leader	O
by	O
driving	O
its	O
Innovate-to-Elevate	O
strategy	O
,	O
building	O
a	O
global	O
supply	O
chain	O
with	O
60	O
,	O
000	O
Hanes	O
employees	O
,	O
and	O
completing	O
eight	O
acquisitions	O
to	O
expand	O
the	O
company	O
's	O
capabilities	O
and	O
international	O
business	O
.	O
Under	O
Mr.	O
Noll	O
's	O
leadership	O
,	O
Hanes	O
has	O
strengthened	O
its	O
brands	O
and	O
global	O
market	O
positions	O
,	O
increased	O
sales	O
from	O
$	O
4	O
billion	O
to	O
$	O
6	O
billion	O
,	O
quintupled	O
EPS	O
,	O
a.	O
.	O
.	O
Richard	PERSON
A.	PERSON
Noll	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
As	O
CEO	TITLE
since	O
2006	O
and	O
Chairman	TITLE
of	TITLE
the	TITLE
Board	TITLE
since	O
2009	O
,	O
Mr.	O
Noll	O
has	O
transformed	O
HanesBrands	O
-LRB-	O
NYSE	O
:	O
HBI	O
-RRB-	O
into	O
an	O
industry	O
leader	O
by	O
driving	O
its	O
Innovate-to-Elevate	O
strategy	O
,	O
building	O
a	O
global	O
supply	O
chain	O
with	O
60	O
,	O
000	O
Hanes	O
employees	O
,	O
and	O
completing	O
eight	O
acquisitions	O
to	O
expand	O
the	O
company	O
's	O
capabilities	O
and	O
international	O
business	O
.	O
Under	O
Mr.	O
Noll	O
's	O
leadership	O
,	O
Hanes	O
has	O
strengthened	O
its	O
brands	O
and	O
global	O
market	O
positions	O
,	O
increased	O
sales	O
from	O
$	O
4	O
billion	O
to	O
$	O
6	O
billion	O
,	O
quintupled	O
EPS	O
,	O
a.	O
.	O
.	O
,	O
Gerald	PERSON
W.	PERSON
Evans	PERSON
Jr.	PERSON
,	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
and	O
CEO-Elect	O
,	O
Gerald	PERSON
W.	PERSON
Evans	PERSON
Jr.	PERSON
,	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
and	O
CEO-Elect	O
,	O
Gerald	O
Evans	O
has	O
served	O
as	O
the	O
chief	O
operating	O
officer	O
of	O
HanesBrands	O
since	O
2013	O
with	O
responsibility	O
for	O
the	O
day-to-day	O
running	O
of	O
the	O
$	O
6	O
billion	O
company	O
with	O
direct	O
oversight	O
of	O
all	O
global	O
commercial	O
businesses	O
and	O
supply-chain	O
operations	O
.	O
He	O
was	O
appointed	O
CEO-Elect	O
and	O
a	O
member	O
of	O
the	O
Board	O
of	O
Directors	O
in	O
June	O
2016	O
and	O
is	O
scheduled	O
to	O
assume	O
the	O
CEO	TITLE
role	O
Oct.	O
1	O
,	O
2016	O
.	O
Under	O
his	O
leadership	O
as	O
COO	O
,	O
Mr.	O
Evans	O
has	O
directed	O
the	O
execution	O
of	O
the	O
company	O
's	O
Innovate-to-Elevate	O
and	O
acquisi	O
...	O
Gerald	PERSON
W.	PERSON
Evans	PERSON
Jr.	PERSON
,	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
and	O
CEO-Elect	O
