Job	O
Search	O
,	O
Nursing	O
,	O
Therapy	O
,	O
Administration	O
,	O
Benefits	O
,	O
For	O
Physicians	O
,	O
Recruitment	O
Scam	O
,	O
Executive	O
Fellow	O
Program	O
,	O
Executive	O
Officers	O
&	O
Board	O
of	O
Directors	O
,	O
Home	O
,	O
''	O
Investors	O
,	O
''	O
Executive	O
Officers	O
Highlights	O
,	O
|	O
,	O
Board	O
of	O
Directors	O
,	O
|	O
,	O
Executive	O
Officers	O
,	O
|	O
,	O
Committee	O
Composition	O
,	O
|	O
,	O
False	O
Claims	O
and	O
Whistleblower	O
Laws	O
,	O
Benjamin	PERSON
A.	PERSON
Breier	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Benjamin	PERSON
A.	PERSON
Breier	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Benjamin	PERSON
A.	PERSON
Breier	PERSON
became	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
of	O
Kindred	O
Healthcare	O
,	O
Inc.	O
on	O
March	O
31	O
,	O
2015	O
.	O
Mr.	O
Breier	O
had	O
served	O
as	O
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
of	O
Kindred	O
since	O
May	O
2012	O
.	O
He	O
was	O
named	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
in	O
August	O
2010	O
.	O
Previously	O
he	O
served	O
as	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
President	TITLE
of	O
Kindred	O
Healthcare	O
's	O
Hospital	DEPARTMENT
Division	DEPARTMENT
from	O
March	O
2008	O
to	O
August	O
2010	O
.	O
Mr.	O
Breier	O
served	O
as	O
President	TITLE
of	O
Kindred	O
's	O
Rehabilitation	O
Division	O
from	O
August	O
2005	O
to	O
March	O
2008	O
.	O
...	O
Benjamin	PERSON
A.	PERSON
Breier	PERSON
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Benjamin	PERSON
A.	PERSON
Breier	PERSON
became	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
of	O
Kindred	O
Healthcare	O
,	O
Inc.	O
on	O
March	O
31	O
,	O
2015	O
.	O
Mr.	O
Breier	O
had	O
served	O
as	O
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
of	O
Kindred	O
since	O
May	O
2012	O
.	O
He	O
was	O
named	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
in	O
August	O
2010	O
.	O
Previously	O
he	O
served	O
as	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
President	TITLE
of	O
Kindred	O
Healthcare	O
's	O
Hospital	DEPARTMENT
Division	DEPARTMENT
from	O
March	O
2008	O
to	O
August	O
2010	O
.	O
Mr.	O
Breier	O
served	O
as	O
President	TITLE
of	O
Kindred	O
's	O
Rehabilitation	O
Division	O
from	O
August	O
2005	O
to	O
March	O
2008	O
.	O
...	O
,	O
Kent	PERSON
H.	PERSON
Wallace	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Kent	PERSON
H.	PERSON
Wallace	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Kent	PERSON
H.	PERSON
Wallace	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Operating	TITLE
Officer	TITLE
,	O
Stephen	PERSON
D.	PERSON
Farber	PERSON
,	O
Executive	TITLE
