David	PERSON
P.	PERSON
King	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
David	PERSON
P.	PERSON
King	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
David	PERSON
P.	PERSON
King	PERSON
,	O
Chairman	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Glenn	PERSON
A.	PERSON
Eisenberg	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Glenn	PERSON
A.	PERSON
Eisenberg	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Glenn	PERSON
A.	PERSON
Eisenberg	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Deborah	PERSON
Keller	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Covance	DEPARTMENT
Drug	DEPARTMENT
Development	DEPARTMENT
,	O
Deborah	PERSON
Keller	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Covance	DEPARTMENT
Drug	DEPARTMENT
Development	DEPARTMENT
,	O
Deborah	PERSON
Keller	PERSON
,	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Covance	DEPARTMENT
Drug	DEPARTMENT
Development	DEPARTMENT
,	O
Lance	PERSON
V.	PERSON
Berberian	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
,	O
Lance	PERSON
V.	PERSON
Berberian	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
,	O
Lance	PERSON
V.	PERSON
Berberian	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
,	O
Edward	PERSON
T.	PERSON
Dodson	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
,	O
Edward	PERSON
T.	PERSON
Dodson	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
,	O
Edward	PERSON
T.	PERSON
Dodson	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Accounting	TITLE
Officer	TITLE
,	O
F.	PERSON
Samuel	PERSON
Eberts	PERSON
III	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Legal	TITLE
Officer	TITLE
and	O
Secretary	TITLE
,	O
F.	PERSON
Samuel	PERSON
Eberts	PERSON
III	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Legal	TITLE
Officer	TITLE
and	O
Secretary	TITLE
,	O
F.	PERSON
Samuel	PERSON
Eberts	PERSON
III	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Chief	TITLE
Legal	TITLE
Officer	TITLE
and	O
Secretary	TITLE
,	O
Lisa	PERSON
J.	PERSON
Uthgenannt	PERSON
,	O
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
,	O
Lisa	PERSON
J.	PERSON
Uthgenannt	PERSON
,	O
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
,	O
Lisa	PERSON
J.	PERSON
Uthgenannt	PERSON
,	O
Chief	TITLE
Human	TITLE
Resources	TITLE
Officer	TITLE
,	O
http://phx.corporate-ir.net/phoenix.zhtml?c=84636&p=irol-govManage	O
