Message	O
from	O
CEO	O
,	O
Executive	O
Highlights	O
,	O
Gary	PERSON
R.	PERSON
Heminger	PERSON
,	O
Donald	PERSON
C.	PERSON
Templin	PERSON
,	O
Randy	PERSON
S.	PERSON
Nickerson	PERSON
,	O
Anthony	PERSON
R.	PERSON
Kenney	PERSON
,	O
Raymond	PERSON
L.	PERSON
Brooks	PERSON
,	O
Timothy	PERSON
T.	PERSON
Griffith	PERSON
,	O
Thomas	PERSON
M.	PERSON
Kelley	PERSON
,	O
Rodney	PERSON
P.	PERSON
Nichols	PERSON
,	O
C.	PERSON
Michael	PERSON
Palmer	PERSON
,	O
John	PERSON
S.	PERSON
Swearingen	PERSON
,	O
Molly	PERSON
R.	PERSON
Benson	PERSON
,	O
Suzanne	PERSON
Gagle	PERSON
,	O
John	PERSON
R.	PERSON
Haley	PERSON
,	O
James	PERSON
P.	PERSON
Heintschel	PERSON
,	O
Thomas	PERSON
Kaczynski	PERSON
,	O
John	PERSON
J.	PERSON
Quaid	PERSON
,	O
Donald	PERSON
W.	PERSON
Wehrly	PERSON
,	O
David	PERSON
L.	PERSON
Whikehart	PERSON
,	O
Gary	PERSON
R.	PERSON
Heminger	PERSON
,	O
Chairman	TITLE
,	O
President	TITLE
and	O
Chief	TITLE
Executive	TITLE
Officer	TITLE
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Donald	PERSON
C.	PERSON
Templin	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Randy	PERSON
S.	PERSON
Nickerson	PERSON
,	O
Executive	TITLE
Vice	TITLE
President	TITLE
,	O
Corporate	DEPARTMENT
Strategy	DEPARTMENT
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Anthony	PERSON
R.	PERSON
Kenney	PERSON
,	O
President	TITLE
,	O
Speedway	DEPARTMENT
LLC	DEPARTMENT
Raymond	PERSON
L.	PERSON
Brooks	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Refining	DEPARTMENT
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Timothy	PERSON
T.	PERSON
Griffith	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Financial	TITLE
Officer	TITLE
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Thomas	PERSON
M.	PERSON
Kelley	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Marketing	DEPARTMENT
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Rodney	PERSON
P.	PERSON
Nichols	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Human	DEPARTMENT
Resources	DEPARTMENT
and	DEPARTMENT
Administrative	DEPARTMENT
Services	DEPARTMENT
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
C.	PERSON
Michael	PERSON
Palmer	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Supply	O
,	O
Distribution	O
and	O
Planning	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
John	PERSON
S.	PERSON
Swearingen	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
,	O
Transportation	O
and	O
Logistics	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Molly	PERSON
R.	PERSON
Benson	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Corporate	O
Secretary	O
and	O
Chief	O
Compliance	O
Officer	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Suzanne	PERSON
Gagle	PERSON
,	O
Vice	TITLE
President	TITLE
and	O
General	TITLE
Counsel	TITLE
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
John	PERSON
R.	PERSON
Haley	PERSON
,	O
,	O
Vice	TITLE
President	TITLE
,	O
Tax	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
James	PERSON
P.	PERSON
Heintschel	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Business	O
Development	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Thomas	PERSON
Kaczynski	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Finance	O
and	O
Treasurer	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
,	O
John	PERSON
J.	PERSON
Quaid	PERSON
,	O
Vice	TITLE
President	TITLE
and	O
Controller	TITLE
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
Donald	PERSON
W.	PERSON
Wehrly	PERSON
,	O
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Information	TITLE
Officer	TITLE
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
David	PERSON
L.	PERSON
Whikehart	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Environment	O
,	O
Safety	O
and	O
Corporate	O
Affairs	O
,	O
Marathon	DEPARTMENT
Petroleum	DEPARTMENT
Corporation	DEPARTMENT
http://www.marathonpetroleum.com/About_MPC/Corporate_Profile/Corporate_Officers/	O
