Jerome_Peribere.jpg	O
,	O
Jerome	PERSON
Peribere	PERSON
President	TITLE
and	O
CEO	TITLE
Jerome	PERSON
Peribere	PERSON
,	O
President	TITLE
and	O
CEO	TITLE
Ilham_Kadri.jpg	O
,	O
Dr.	PERSON
Ilham	PERSON
Kadri	PERSON
President	TITLE
,	O
Diversey	DEPARTMENT
Care	DEPARTMENT
Dr.	PERSON
Ilham	PERSON
Kadri	PERSON
,	O
President	TITLE
,	O
Diversey	DEPARTMENT
Care	DEPARTMENT
EmileChammas.jpg	O
,	O
Emile	PERSON
Chammas	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Supply	TITLE
Chain	TITLE
Officer	TITLE
Emile	PERSON
Chammas	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
Chief	TITLE
Supply	TITLE
Chain	TITLE
Officer	TITLE
CarolLowe.jpg	O
,	O
Carol	PERSON
Lowe	PERSON
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
CFO	TITLE
Carol	PERSON
Lowe	PERSON
,	O
Senior	TITLE
Vice	TITLE
President	TITLE
and	O
CFO	TITLE
Ken-Chrisman.jpg	O
,	O
Ken	PERSON
Chrisman	PERSON
President	TITLE
,	O
Product	DEPARTMENT
Care	DEPARTMENT
Ken	PERSON
Chrisman	PERSON
,	O
President	TITLE
,	O
Product	DEPARTMENT
Care	DEPARTMENT
Chip-Cook.jpg	O
,	O
Chip	PERSON
Cook	PERSON
Vice	TITLE
President	TITLE
,	O
Customer	DEPARTMENT
Service	DEPARTMENT
and	DEPARTMENT
Sales	DEPARTMENT
Operations	DEPARTMENT
Chip	PERSON
Cook	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
Customer	DEPARTMENT
Service	DEPARTMENT
and	DEPARTMENT
Sales	DEPARTMENT
Operations	DEPARTMENT
Ruth_Roper.jpg	O
,	O
Ruth	PERSON
Roper	PERSON
Vice	TITLE
President	TITLE
,	O
New	DEPARTMENT
Ventures	DEPARTMENT
and	DEPARTMENT
Medical	DEPARTMENT
Applications	DEPARTMENT
Ruth	PERSON
Roper	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
New	DEPARTMENT
Ventures	DEPARTMENT
and	DEPARTMENT
Medical	DEPARTMENT
Applications	DEPARTMENT
Karl-Deily.jpg	O
,	O
Karl	PERSON
Deily	PERSON
President	TITLE
,	O
Food	DEPARTMENT
Care	DEPARTMENT
Karl	PERSON
Deily	PERSON
,	O
President	TITLE
,	O
Food	DEPARTMENT
Care	DEPARTMENT
Robert	O
Tatterson	O
headshot.jpg	O
,	O
Dr.	PERSON
Robert	PERSON
Tatterson	PERSON
Vice	TITLE
President	TITLE
,	O
R&D	DEPARTMENT
and	O
Chief	TITLE
Technology	TITLE
Officer	TITLE
Dr.	PERSON
Robert	PERSON
Tatterson	PERSON
,	O
Vice	TITLE
President	TITLE
,	O
R&D	DEPARTMENT
and	O
Chief	TITLE
Technology	TITLE
Officer	TITLE
NormFinch	O
-LRB-	O
2	O
-RRB-	O
.	O
jpg	O
,	O
Norman	O
D.	O
Finch	O
,	O
Jr.	O
.	O
Vice	TITLE
President	TITLE
,	O
Gen.	TITLE
Counsel	TITLE
&	O
Secretary	TITLE
and	O
HR	O
Norman	O
D.	O
Finch	O
,	O
Jr.	O
,	O
Vice	TITLE
President	TITLE
,	O
Gen.	TITLE
Counsel	TITLE
&	O
Secretary	TITLE
and	O
HR	O
Jim_Whaley-0997.jpg	O
,	O
Jim	O
Whaley	O
Vice	TITLE
President	TITLE
,	O
Corporate	O
Communications	O
&	O
Sustainability	O
Jim	O
Whaley	O
,	O
Vice	TITLE
President	TITLE
,	O
Corporate	O
Communications	O
&	O
Sustainability	O
http://www.sealedair.com/company/leadership-team	O
