//Apple	http://www.apple.com/pr/bios/
Tim Cook	title	CEO	Tim Cook, CEO
Angela Ahrendts	title	Senior Vice President	Angela Ahrendts, Senior Vice President Retail and Online Stores
Eddy Cue	title	Senior Vice President	Eddy Cue, Senior Vice President Internet Software and Services
Craig Federighi	title	Senior Vice President	Craig Federighi, Senior Vice President Software Engineering
Jonathan Ive	title	Chief Design Officer	Jonathan Ive, Chief Design Officer
Luca Maestri	title	Senior Vice President	Luca Maestri, Senior Vice President and Chief Financial Officer
Dan Riccio	title	Senior Vice President	Dan Riccio, Senior Vice President Hardware Engineering
Philip W. Schiller	title	Senior Vice President	Philip W. Schiller, Senior Vice President Worldwide Marketing
Bruce Sewell	title	Senior Vice President	Bruce Sewell, Senior Vice President and General Counsel
Johny Srouji	title	Senior Vice President	Johny Srouji, Senior Vice President Hardware Technologies
Jeff Williams	title	Chief Operating Officer	Jeff Williams, Chief Operating Officer
