H. Michael Krimbill	title	Chief Executive Officer	H. Michael Krimbill,  Chief Executive Officer,
Jack Eberhardt	title	Executive Vice President	Jack Eberhardt,  Executive Vice President – NGL Liquids,
Don Robinson	title	Executive Vice President	Don Robinson,  Executive Vice President – NGL Crude Logistics,
Don Robinson	title	Executive Vice President	Don Robinson Executive Vice President – NGL Crude Logistics Shawn W. Coady President – Retail Division,
Todd M. Coady	title	Chief Administrative Officer	Todd M. Coady Chief Administrative Officer,  Vincent J. Osterman President – Eastern Retail Operations,
Aaron Reece	title	Senior Vice President	Aaron Reece,  Senior Vice President – NGL Liquids,
Charles Wilkin	title	Senior Vice President	Charles Wilkin Senior Vice President Administration & Legal Counsel,  Don Jensen Senior Vice President – NGL Refined Products Marketing,
Charles Wilkin	title	Administration	Charles Wilkin Senior Vice President Administration & Legal Counsel,  Don Jensen Senior Vice President – NGL Refined Products Marketing,
Charles Wilkin	title	Legal Counsel	Charles Wilkin Senior Vice President Administration & Legal Counsel,  Don Jensen Senior Vice President – NGL Refined Products Marketing,
Todd Tanory	title	Senior Vice President	Todd Tanory Senior Vice President – NGL Asset Management,  Brian Cannon Senior Vice President – Marketing (Refined Products),
James F. Winter	title	Senior Vice President	James F. Winter,  Senior Vice President – NGL Water Solutions,
James F. Winter	title	Senior Vice President	James F. Winter Senior Vice President – NGL Water Solutions Christian Dobrauc Senior Vice President – Mergers & Acquisitions,
Jay Furman	title	Senior Vice President	Jay Furman Senior Vice President – NGL Commercial Development,  Greg Blais Senior Vice President – Business Development,
Ben Borgen	title	Senior Vice President	Ben Borgen Senior Vice President – NGL Ethanol,  Grant Vangilder Senior Vice President – NGL Bio Diesel,
