Michael H. McGarry*	title	President	Michael H. McGarry* President and Chief,  Executive Officer View biography,
Michael H. McGarry*	title	Chief,  Executive Officer	Michael H. McGarry* President and Chief,  Executive Officer View biography,
Charles E. Bunch	title	Executive Chairman	Charles E. Bunch Executive Chairman View biography Michael H. McGarry* President and Chief Executive Officer View biography Viktoras R. Sekmakas* Executive Vice President,
Frank S. Sklarsky*	title	Executive Vice President	Frank S. Sklarsky* Executive Vice President and Chief Financial Officer,  Glenn E. Bost II* Senior Vice President and General Counsel,   
Frank S. Sklarsky*	title	Chief Financial Officer	Frank S. Sklarsky* Executive Vice President and Chief Financial Officer,  Glenn E. Bost II* Senior Vice President and General Counsel,   
Marcos Achar Levy	title	Vice President	  Marcos Achar Levy Vice President,,  PPG Architectural Coatings, Latin America, and Chief Executive Officer,,  PPG-Comex,
Radhika Batra	title	Vice President	  Radhika Batra Vice President, Purchasing and Logistics,   
Radhika Batra	employee_of	Purchasing and Logistics	  Radhika Batra Vice President, Purchasing and Logistics,   
Marcos Achar Levy	title	Vice President	  Marcos Achar Levy Vice President, PPG Architectural Coatings, Latin America, and Chief Executive Officer, PPG-Comex   Radhika Batra Vice President, Purchasing and Logistics   Shelley J. Bausch* Vice President, Industrial Coatings,
David S. Bem*	title	Vice President	David S. Bem* Vice President, Science,  and Technology and Chief Technology Officer,
David S. Bem*	title	Chief Technology Officer	David S. Bem* Vice President, Science,  and Technology and Chief Technology Officer,
Kevin D. Braun	title	Vice President	Kevin D. Braun Vice President, Industrial Coatings, Americas,  Christopher R. Caruso Vice President, Information Technology,  David J. Cole Vice President, Architectural Coatings, United States and Canada,
Gary R. Danowski	title	Vice President	Gary R. Danowski Vice President, Automotive Coatings Operations, Automotive Parts and Accessories-Decorative and Commercial Vehicles,  Jeffrey C. Davies Vice President, Corporate Development,  Anne M. Foulkes Vice President, Associate General Counsel and Secretary,
Barry N. Gillespie*	title	Vice President	Barry N. Gillespie* Vice President, Aerospace Products,  Jean-Marie Greindl* Senior Vice President, Architectural Coatings and President, PPG EMEA Michael Horton President, PPG Asia/Pacific, and Vice President, Protective and Marine Coatings, Asia/Pacific
Jean-Marie Greindl*	title	Senior Vice President	Jean-Marie Greindl* Senior Vice President, Architectural Coatings and,  President, PPG EMEA,
Bryan N. Iams	title	Vice President	Bryan N. Iams Vice President, Corporate and Government Affairs,  Anup Jain Vice President, Specialty Coatings and Materials,  John A. Jankowski Vice President and Treasurer,
Diane M. Kappas	title	Vice President	Diane M. Kappas Vice President, Protective and Marine Coatings, Americas,  Mark C. Kelly Vice President and Controller,  Timothy M. Knavish* Senior Vice President,  Automotive Coatings,
Johann (John) F. Kolling	title	Vice President	Johann (John) F. Kolling Vice President, Tax Administration,  Rajesh Lall Vice President Operations, Industrial Coatings and PPG Asia/Pacific,  Adriana Macouzet Vice President, PPG Latin America and General Manager, Protective and Marine Coatings, Latin America,
Johann (John) F. Kolling	employee_of	Tax Administration	Johann (John) F. Kolling Vice President, Tax Administration,  Rajesh Lall Vice President Operations, Industrial Coatings and PPG Asia/Pacific,  Adriana Macouzet Vice President, PPG Latin America and General Manager, Protective and Marine Coatings, Latin America,
Matthew C. Marek	title	Vice President	Matthew C. Marek Vice President, Automotive Coatings,,  Americas,
Matthew C. Marek	employee_of	Automotive Coatings	Matthew C. Marek Vice President, Automotive Coatings,,  Americas,
Vincent J. Morales	title	Vice President	Vincent J. Morales Vice President, Finance,  David P. Morris General Manager and Vice President, Americas, Aerospace,  Jeffrey J. Oravitz Vice President, PPG Coatings Services and President, MetoKote,
