"Doug McMillon","President; CEO","Wal-Mart Stores; Inc."
"Greg Foran","President; CEO","Walmart U.S."
"David Cheesewright","President; CEO","Walmart International"
"Rosalind Brewer","President; CEO","Sam 's Club"
"Neil M. Ashe","President; CEO","Global eCommerce; Technology"
"Claire Babineaux-Fontenot","Executive Vice President; Treasurer",""
"Andy Barron","Executive Vice President","Softlines; General Merchandise; Walmart U.S."
"Dan Bartlett","Executive Vice President",", Corporate Affairs"
"Michael J. Bender","Chief Operating Officer","Global eCommerce"
"Brett Biggs","Executive Vice President; Chief Financial Officer",""
"Steve Bratspies","Chief Merchandising Officer","Walmart U.S."
"Jacqui Canney","Executive Vice President","Global People Division"
"Michael Dastugue","Executive Vice President; Chief Financial Officer","Walmart U.S."
"Rollin L. Ford","Executive Vice President; Chief Administrative Officer",""
"Don Frieson","Executive Vice President","Operations; Sam 's Club"
"John Furner","Executive Vice","Sam 's Club"
"Jeffrey J. Gearhart","Executive Vice President","Global Governance; Corporate Secretary"
"Michelle Gloeckler; Lead","Executive Vice President","Consumables; Health; Wellness; U.S. Manufacturing"
"Scott Huff","Executive Vice President","Merchandising Operations; Walmart U.S."
"Jamie Iannone","President; CEO","Samsclub.com"
"Mark Ibbotson","Executive Vice President","Central Operations"
"Jay T. Jorgensen","Executive Vice President; Global Chief Ethics; Compliance Officer",""
"Fernando Madeira","President; CEO","Walmart.com"
"Richard Mayfield","Senior Vice President; Chief Financial Officer","EMEA Region"
"Judith McKenna","Chief Operating Officer","Walmart U.S."
"Michael S. Moore","Executive Vice President","Supercenters; Walmart U.S."
"Julie Murphy","Executive Vice President","Neighborhood Markets; Walmart U.S."
"Enrique Ostalé","Executive Vice President; CEO; Chairman","Walmart Latin America; India; Africa; Board of Directors; Walmart Mexico; Central America"
"Scott Price","President; CEO; Chief Administrative Officer","Walmart Asia; Walmart International"
"Charles Redfield","Executive Vice President","Food; Walmart U.S."
"Karen Roberts","Executive Vice President; General Counsel","Wal-Mart Stores; Inc."
"Tony Rogers","Senior Vice President; Chief Marketing Officer","Walmart U.S."
"Gisel Ruiz",", Executive Vice President","International People Division"
"Linda Simon","Executive Vice President","Walmart U.S. People"
"Chris Sultemeier","Executive Vice President","Logistics; Walmart U.S."
"Karenann Terrell","Executive Vice President; Chief Information Officer",""
"Steven P. Whaley","Senior Vice; Controller",""
"Gregory B. Penner","Chairman","Walmart Board of Directors"
"James I. Cash; Jr.",", Lead Independent Director",""
"Pamela J. Craig","Retired Chief Financial Officer","Accenture plc"
"Timothy P. Flynn","Retired Chairman","KPMG International"
"Tom Horton","Senior Advisor; Former Chairman; CEO","Warburg Pincus; American Airlines"
"Marissa A. Mayer","President; CEO","Yahoo!; Inc."
"Doug McMillon","President; CEO","Wal-Mart Stores; Inc."
"Steven S Reinemund","Retired Dean; Professor","Business; Leadership; Strategy; Wake Forest University"
"Kevin Systrom","CEO; Co-Founder","Instagram"
"S. Robson Walton; Rob Walton","Retired Chairman","Board of Directors; Wal-Mart Stores; Inc."
"Steuart Walton","CEO","Game Composites Ltd."
"Linda S. Wolf","Former Chairman; CEO","Leo Burnett Worldwide; Inc.; Leo Burnett"
