<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
< [a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4} >	EMAIL	2
((([a-za-z]{3,9}:(?:\\?\/\\?\/)?)(?:[-;:&=\+\$,\w]+@)?[a-za-z0-9.-]+|(?:www.|[-;:&=\+\$,\w]+@)[a-za-z0-9.-]+)(?::[0-9]+)?((?:\\?\/[\+~%\\?\/.\w_-]*)?\??(?:[-\+=&;%@.\w_]*)#?(?:[.\!\\?\/\\w]*))?)	URL	1
.*\.(ca|gov|com|edu|net|org|uk|us)	URL	1
activist	TITLE	MISC	1
chairman	TITLE	MISC	1
vocalist	TITLE	MISC	1
songstress	TITLE	MISC	1
pop star	TITLE	MISC	1
pop-star	TITLE	MISC	1
blogger	TITLE	MISC	1
director	TITLE	MISC	1
creator	TITLE	MISC	1
creator/producer	TITLE	MISC	1
general	TITLE	MISC	1
colonel	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
warrant officer	TITLE	MISC	1
warrant-officer	TITLE	MISC	1
sergeant	TITLE	MISC	1
specialist	TITLE	MISC	1
corporal	TITLE	MISC	1
admiral	TITLE	MISC	1
commodore	TITLE	MISC	1
commander	TITLE	MISC	1
lieutenant	TITLE	MISC	1
lieutenant colonel	TITLE	MISC	1
lieutenant-colonel	TITLE	MISC	1
lieutenant governor	TITLE	MISC	1
lieutenant-governor	TITLE	MISC	1
ensign	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
warrant officer	TITLE	MISC	1
warrant-officer	TITLE	MISC	1
master chief petty officer	TITLE	MISC	1
master-chief-petty-officer	TITLE	MISC	1
master chief	TITLE	MISC	1
master-chief	TITLE	MISC	1
senior chief petty officer	TITLE	MISC	1
senior-chief-petty-officer	TITLE	MISC	1
senior chief	TITLE	MISC	1
senior-chief	TITLE	MISC	1
chief petty officer	TITLE	MISC	1
chief-petty-officer	TITLE	MISC	1
petty officer 1st class	TITLE	MISC	1
petty-officer-1st-class	TITLE	MISC	1
petty officer	TITLE	MISC	1
petty-officer	TITLE	MISC	1
seaman	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
warrant officer	TITLE	MISC	1
warrant-officer	TITLE	MISC	1
master gunnery sgt\.	TITLE	MISC	1
master-gunnery-sgt\.	TITLE	MISC	1
gunnery sgt\.	TITLE	MISC	1
gunnery-sgt\.	TITLE	MISC	1
sergeant	TITLE	MISC	1
lance cpl\.	TITLE	MISC	1
lance-cpl\.	TITLE	MISC	1
corporal	TITLE	MISC	1
gen\. of the air force	TITLE	MISC	1
gen\.-of-the-air-force	TITLE	MISC	1
general	TITLE	MISC	1
as for army	TITLE	MISC	1
as-for-army	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
chief master sgt\.	TITLE	MISC	1
chief-master-sgt\.	TITLE	MISC	1
senior master sgt\.	TITLE	MISC	1
senior-master-sgt\.	TITLE	MISC	1
tech\. sgt\.	TITLE	MISC	1
tech\.-sgt\.	TITLE	MISC	1
sergeant	TITLE	MISC	1
airman 1st class	TITLE	MISC	1
airman-1st-class	TITLE	MISC	1
airman	TITLE	MISC	1
master sgt\.	TITLE	MISC	1
master-sgt\.	TITLE	MISC	1
sergeant major	TITLE	MISC	1
sergeant-major	TITLE	MISC	1
staff sgt\.	TITLE	MISC	1
staff-sgt\.	TITLE	MISC	1
accountant	TITLE	MISC	1
accountant	TITLE	MISC	1
acrobat	TITLE	MISC	1
actor	TITLE	MISC	1
actress	TITLE	MISC	1
actuary	TITLE	MISC	1
acupuncturist	TITLE	MISC	1
administrator	TITLE	MISC	1
aerospace engineer	TITLE	MISC	2
aerospace-engineer	TITLE	MISC	2
air traffic controller	TITLE	MISC	3
air-traffic-controller	TITLE	MISC	3
alchemist	TITLE	MISC	1
alderman	TITLE	MISC	1
ambassador	TITLE	MISC	1
analyst	TITLE	MISC	1
anesthetist	TITLE	MISC	1
anesthesiologist	TITLE	MISC	1
anchorman	TITLE	MISC	1
animator	TITLE	MISC	1
animal trainer	TITLE	MISC	2
animal-trainer	TITLE	MISC	2
announcer	TITLE	MISC	1
antique dealer	TITLE	MISC	2
antique-dealer	TITLE	MISC	2
arborist	TITLE	MISC	1
archaeologist	TITLE	MISC	1
archbishop	TITLE	MISC	1
architect	TITLE	MISC	1
archivist	TITLE	MISC	1
art dealer	TITLE	MISC	2
art-dealer	TITLE	MISC	2
art director	TITLE	MISC	2
art-director	TITLE	MISC	2
artist	TITLE	MISC	1
assayer	TITLE	MISC	1
assessor	TITLE	MISC	1
assistant	TITLE	MISC	1
astrologer	TITLE	MISC	1
astronaut	TITLE	MISC	1
astronomer	TITLE	MISC	1
astrophysicist	TITLE	MISC	1
athlete	TITLE	MISC	1
athletic trainer	TITLE	MISC	2
athletic-trainer	TITLE	MISC	2
attorney	TITLE	MISC	1
auctioneer	TITLE	MISC	1
author	TITLE	MISC	1
automobile racer	TITLE	MISC	2
automobile-racer	TITLE	MISC	2
automotive designer	TITLE	MISC	2
automotive-designer	TITLE	MISC	2
audiologist	TITLE	MISC	1
auditor	TITLE	MISC	1
audio analyser	TITLE	MISC	2
audio-analyser	TITLE	MISC	2
babysitter	TITLE	MISC	1
bachelor	TITLE	MISC	1
bachelorette	TITLE	MISC	1
bacteriologist	TITLE	MISC	1
bailiff	TITLE	MISC	1
baker	TITLE	MISC	1
balloonist	TITLE	MISC	1
bank teller	TITLE	MISC	2
bank-teller	TITLE	MISC	2
banker	TITLE	MISC	1
bar keeper	TITLE	MISC	2
bar-keeper	TITLE	MISC	2
barber	TITLE	MISC	1
